ID,NUM_EXPEDIENTE,FECHA/HORA,CALLE,NUMERO,DISTRITO,TIPO_ACCIDENTE,TIPO_PERSONA,RANGO_EDAD,SEXO,LESIVIDAD
21,2021S000017,2021-01-01T11:30:00Z,CALL. BRAVO MURILLO,173,TETUAN,Alcance,Conductor,DE 25 A 29 AÑOS,Mujer,14
22,2021S000017,2021-01-01T11:30:00Z,CALL. BRAVO MURILLO,173,TETUAN,Alcance,Pasajero,DE 21 A 24 AÑOS,Hombre,14
23,2021S000017,2021-01-01T11:30:00Z,CALL. BRAVO MURILLO,173,TETUAN,Alcance,Conductor,DE 25 A 29 AÑOS,Hombre,14
24,2021S000017,2021-01-01T11:30:00Z,CALL. BRAVO MURILLO,173,TETUAN,Alcance,Pasajero,DE 25 A 29 AÑOS,Mujer,14
25,2021S000017,2021-01-01T11:30:00Z,CALL. BRAVO MURILLO,173,TETUAN,Alcance,Pasajero,DE 25 A 29 AÑOS,Hombre,14
26,2021S000017,2021-01-01T11:30:00Z,CALL. BRAVO MURILLO,173,TETUAN,Alcance,Pasajero,DE 25 A 29 AÑOS,Mujer,14
27,2021S000016,2021-01-01T09:25:00Z,CALL. PUERTO DE SANTA MARIA,12,HORTALEZA,Choque contra obstáculo fijo,Conductor,DE 25 A 29 AÑOS,Hombre,14
28,2021S000014,2021-01-01T09:00:00Z,CALL. MARQUES DE JURA REAL,2,CARABANCHEL,Colisión fronto-lateral,Conductor,DESCONOCIDA,Desconocido,0
29,2021S000014,2021-01-01T09:00:00Z,CALL. MARQUES DE JURA REAL,2,CARABANCHEL,Colisión fronto-lateral,Conductor,DE 21 A 24 AÑOS,Hombre,0
30,2021S000010,2021-01-01T08:20:00Z,CALL. SOR ANGELA DE LA CRUZ / CALL. ORENSE,0,TETUAN,Choque contra obstáculo fijo,Conductor,DESCONOCIDA,Desconocido,0
31,2021S000011,2021-01-01T08:05:00Z,CALL. VIA CARPETANA / AVDA. NUESTRA SEÑORA DE VALVANERA,0,CARABANCHEL,Alcance,Conductor,DE 50 A 54 AÑOS,Hombre,7
32,2021S000011,2021-01-01T08:05:00Z,CALL. VIA CARPETANA / AVDA. NUESTRA SEÑORA DE VALVANERA,0,CARABANCHEL,Alcance,Conductor,DE 50 A 54 AÑOS,Hombre,14
33,2021S000015,2021-01-01T06:30:00Z,AVDA. LOGROÑO / GENERAL,0,BARAJAS,Choque contra obstáculo fijo,Conductor,DE 25 A 29 AÑOS,Hombre,0
34,2021S000015,2021-01-01T06:30:00Z,AVDA. LOGROÑO / GENERAL,0,BARAJAS,Choque contra obstáculo fijo,Pasajero,DE 30 A 34 AÑOS,Mujer,0
35,2020S019534,2021-01-01T04:30:00Z,AVDA. PABLO NERUDA / CALL. LEONESES,0,PUENTE DE VALLECAS,Colisión fronto-lateral,Conductor,DESCONOCIDA,Desconocido,0
36,2020S019534,2021-01-01T04:30:00Z,AVDA. PABLO NERUDA / CALL. LEONESES,0,PUENTE DE VALLECAS,Colisión fronto-lateral,Conductor,DE 30 A 34 AÑOS,Mujer,14
37,2020S019534,2021-01-01T04:30:00Z,AVDA. PABLO NERUDA / CALL. LEONESES,0,PUENTE DE VALLECAS,Colisión fronto-lateral,Pasajero,DE 35 A 39 AÑOS,Mujer,14
38,2020S019534,2021-01-01T04:30:00Z,AVDA. PABLO NERUDA / CALL. LEONESES,0,PUENTE DE VALLECAS,Colisión fronto-lateral,Pasajero,DE 10 A 14 AÑOS,Hombre,14
39,2020S019534,2021-01-01T04:30:00Z,AVDA. PABLO NERUDA / CALL. LEONESES,0,PUENTE DE VALLECAS,Colisión fronto-lateral,Conductor,DE 35 A 39 AÑOS,Hombre,7
40,2021S001513,2021-01-01T02:10:00Z,AVDA. GRAN VIA DE VILLAVERDE - ROTONDA,0,VILLAVERDE,Solo salida de la vía,Conductor,DE 25 A 29 AÑOS,Hombre,7
41,2021S000006,2021-01-01T01:35:00Z,CALL. JULIAN CAMARILLO,21,SAN BLAS - CANILLEJAS,Otro,Conductor,DE 45 A 49 AÑOS,Hombre,0
42,2021S000012,2021-01-01T01:30:00Z,AUTOV. M-30. +01800E 18RH15,0,LATINA,Choque contra obstáculo fijo,Conductor,DE 18 A 20 AÑOS,Hombre,0
43,2021S000012,2021-01-01T01:30:00Z,AUTOV. M-30. +01800E 18RH15,0,LATINA,Choque contra obstáculo fijo,Pasajero,DE 18 A 20 AÑOS,Hombre,0
44,2021S000012,2021-01-01T01:30:00Z,AUTOV. M-30. +01800E 18RH15,0,LATINA,Choque contra obstáculo fijo,Pasajero,DE 21 A 24 AÑOS,Mujer,0
45,2021S000012,2021-01-01T01:30:00Z,AUTOV. M-30. +01800E 18RH15,0,LATINA,Choque contra obstáculo fijo,Pasajero,DE 18 A 20 AÑOS,Mujer,0
46,2021S000004,2021-01-01T01:30:00Z,PASEO. CASTELLANA,4,SALAMANCA,Atropello a persona,Conductor,DE 65 A 69 AÑOS,Hombre,14
47,2021S000004,2021-01-01T01:30:00Z,PASEO. CASTELLANA,4,SALAMANCA,Atropello a persona,Peatón,DE 21 A 24 AÑOS,Hombre,14
48,2021S000005,2021-01-01T01:15:00Z,CALL. LAGO SAN MARTIN / CALL. LAGO MARACAIBO,0,PUENTE DE VALLECAS,Colisión fronto-lateral,Conductor,DE 25 A 29 AÑOS,Hombre,7
49,2021S000005,2021-01-01T01:15:00Z,CALL. LAGO SAN MARTIN / CALL. LAGO MARACAIBO,0,PUENTE DE VALLECAS,Colisión fronto-lateral,Conductor,DE 40 A 44 AÑOS,Mujer,14
50,2021S000383,2021-01-01T01:15:00Z,CALL. JACINTO VERDAGUER / CALL. LOLA MEMBRIVES,0,CARABANCHEL,Atropello a persona,Conductor,DE 70 A 74 AÑOS,Hombre,14
51,2021S000383,2021-01-01T01:15:00Z,CALL. JACINTO VERDAGUER / CALL. LOLA MEMBRIVES,0,CARABANCHEL,Atropello a persona,Peatón,DE 35 A 39 AÑOS,Hombre,14
52,2021S000383,2021-01-01T01:15:00Z,CALL. JACINTO VERDAGUER / CALL. LOLA MEMBRIVES,0,CARABANCHEL,Atropello a persona,Peatón,DE 0 A 5 AÑOS,Mujer,7
53,2021S000001,2021-01-01T00:50:00Z,AVDA. PRINCESA JUANA DE AUSTRIA / AVDA. POBLADOS,0,USERA,Colisión fronto-lateral,Conductor,DE 40 A 44 AÑOS,Hombre,14
54,2021S000001,2021-01-01T00:50:00Z,AVDA. PRINCESA JUANA DE AUSTRIA / AVDA. POBLADOS,0,USERA,Colisión fronto-lateral,Conductor,DE 35 A 39 AÑOS,Mujer,2
55,2021S000001,2021-01-01T00:50:00Z,AVDA. PRINCESA JUANA DE AUSTRIA / AVDA. POBLADOS,0,USERA,Colisión fronto-lateral,Pasajero,DE 45 A 49 AÑOS,Hombre,14
56,2021S000001,2021-01-01T00:50:00Z,AVDA. PRINCESA JUANA DE AUSTRIA / AVDA. POBLADOS,0,USERA,Colisión fronto-lateral,Pasajero,DE 15 A 17 AÑOS,Hombre,2
57,2021S000001,2021-01-01T00:50:00Z,AVDA. PRINCESA JUANA DE AUSTRIA / AVDA. POBLADOS,0,USERA,Colisión fronto-lateral,Pasajero,DE 0 A 5 AÑOS,Hombre,2
58,2021S000003,2021-01-01T00:30:00Z,ARROYO DE LA MEDIA LEGUA CON AVDA. DE LAS 13 ROSAS,0,MORATALAZ,Colisión frontal,Conductor,DE 45 A 49 AÑOS,Mujer,2
59,2021S000003,2021-01-01T00:30:00Z,ARROYO DE LA MEDIA LEGUA CON AVDA. DE LAS 13 ROSAS,0,MORATALAZ,Colisión frontal,Conductor,DE 40 A 44 AÑOS,Hombre,3
60,2021S000078,2021-02-01T23:20:00Z,CALL. VITAL AZA / CALL. LOS URQUIZA,0,CIUDAD LINEAL,Colisión fronto-lateral,Conductor,DE 21 A 24 AÑOS,Hombre,0
61,2021S000078,2021-02-01T23:20:00Z,CALL. VITAL AZA / CALL. LOS URQUIZA,0,CIUDAD LINEAL,Colisión fronto-lateral,Pasajero,DE 21 A 24 AÑOS,Hombre,0
62,2021S000078,2021-02-01T23:20:00Z,CALL. VITAL AZA / CALL. LOS URQUIZA,0,CIUDAD LINEAL,Colisión fronto-lateral,Conductor,DE 40 A 44 AÑOS,Hombre,0
63,2021S000067,2021-02-01T23:10:00Z,CALL. AMOR DE DIOS / CALL. SANTA MARIA,0,CENTRO,Colisión fronto-lateral,Conductor,DE 18 A 20 AÑOS,Hombre,3
64,2021S000067,2021-02-01T23:10:00Z,CALL. AMOR DE DIOS / CALL. SANTA MARIA,0,CENTRO,Colisión fronto-lateral,Conductor,DE 45 A 49 AÑOS,Hombre,14
65,2021S000064,2021-02-01T22:30:00Z,CALL. GRAN VIA,74,CENTRO,Alcance,Conductor,DE 60 A 64 AÑOS,Mujer,0
66,2021S000064,2021-02-01T22:30:00Z,CALL. GRAN VIA,74,CENTRO,Alcance,Conductor,DE 40 A 44 AÑOS,Hombre,0
67,2021S000229,2021-02-01T22:30:00Z,AVDA. ANDALUCIA / AVDA. POBLADOS,0,USERA,Colisión fronto-lateral,Conductor,DE 35 A 39 AÑOS,Hombre,0
68,2021S000229,2021-02-01T22:30:00Z,AVDA. ANDALUCIA / AVDA. POBLADOS,0,USERA,Colisión fronto-lateral,Conductor,DE 25 A 29 AÑOS,Mujer,0
69,2021S000229,2021-02-01T22:30:00Z,AVDA. ANDALUCIA / AVDA. POBLADOS,0,USERA,Colisión fronto-lateral,Pasajero,DE 30 A 34 AÑOS,Hombre,0
70,2021S000093,2021-02-01T22:20:00Z,CALL. ALCALA,154,SALAMANCA,Atropello a persona,Conductor,DESCONOCIDA,Desconocido,0
71,2021S000093,2021-02-01T22:20:00Z,CALL. ALCALA,154,SALAMANCA,Atropello a persona,Peatón,DE 10 A 14 AÑOS,Hombre,1
72,2021S000106,2021-02-01T22:15:00Z,CALL. GODELLA,245,VILLAVERDE,Atropello a persona,Conductor,DE 25 A 29 AÑOS,Hombre,14
73,2021S000106,2021-02-01T22:15:00Z,CALL. GODELLA,245,VILLAVERDE,Atropello a persona,Conductor,DESCONOCIDA,Desconocido,0
74,2021S000106,2021-02-01T22:15:00Z,CALL. GODELLA,245,VILLAVERDE,Atropello a persona,Peatón,DE 25 A 29 AÑOS,Hombre,2
75,2021S000472,2021-02-01T22:00:00Z,CALL. CAMARENA,57,LATINA,Colisión múltiple,Conductor,DE 30 A 34 AÑOS,Hombre,0
76,2021S000472,2021-02-01T22:00:00Z,CALL. CAMARENA,57,LATINA,Colisión múltiple,Conductor,DE 25 A 29 AÑOS,Hombre,0
77,2021S000472,2021-02-01T22:00:00Z,CALL. CAMARENA,57,LATINA,Colisión múltiple,Conductor,DE 40 A 44 AÑOS,Hombre,0
78,2021S000063,2021-02-01T21:30:00Z,AUTOV. M-30. +011800E,0,PUENTE DE VALLECAS,Colisión múltiple,Conductor,DE 25 A 29 AÑOS,Hombre,2
79,2021S000063,2021-02-01T21:30:00Z,AUTOV. M-30. +011800E,0,PUENTE DE VALLECAS,Colisión múltiple,Conductor,DE 25 A 29 AÑOS,Hombre,14
80,2021S000063,2021-02-01T21:30:00Z,AUTOV. M-30. +011800E,0,PUENTE DE VALLECAS,Colisión múltiple,Conductor,DE 40 A 44 AÑOS,Hombre,7
81,2021S000110,2021-02-01T20:58:00Z,AVDA. ENSANCHE DE VALLECAS,12,VILLA DE VALLECAS,Alcance,Conductor,DE 30 A 34 AÑOS,Hombre,14
82,2021S000110,2021-02-01T20:58:00Z,AVDA. ENSANCHE DE VALLECAS,12,VILLA DE VALLECAS,Alcance,Conductor,DE 45 A 49 AÑOS,Hombre,7
83,2021S000061,2021-02-01T20:40:00Z,CALL. ANGEL LUIS DE LA HERRAN,35,HORTALEZA,Colisión múltiple,Conductor,DE 55 A 59 AÑOS,Hombre,0
84,2021S000061,2021-02-01T20:40:00Z,CALL. ANGEL LUIS DE LA HERRAN,35,HORTALEZA,Colisión múltiple,Pasajero,DE 50 A 54 AÑOS,Hombre,0
85,2021S000061,2021-02-01T20:40:00Z,CALL. ANGEL LUIS DE LA HERRAN,35,HORTALEZA,Colisión múltiple,Conductor,DESCONOCIDA,Desconocido,0
86,2021S000061,2021-02-01T20:40:00Z,CALL. ANGEL LUIS DE LA HERRAN,35,HORTALEZA,Colisión múltiple,Conductor,DESCONOCIDA,Desconocido,0
87,2021S000061,2021-02-01T20:40:00Z,CALL. ANGEL LUIS DE LA HERRAN,35,HORTALEZA,Colisión múltiple,Conductor,DESCONOCIDA,Desconocido,0
88,2021S000107,2021-02-01T19:30:00Z,AVDA. PABLO IGLESIAS,17,CHAMBERI,Caída,Conductor,DE 35 A 39 AÑOS,Hombre,6
89,2021S000388,2021-02-01T19:00:00Z,CALL. RAFAEL FINAT / AVDA. POBLADOS,0,LATINA,Alcance,Conductor,DE 55 A 59 AÑOS,Mujer,14
90,2021S000388,2021-02-01T19:00:00Z,CALL. RAFAEL FINAT / AVDA. POBLADOS,0,LATINA,Alcance,Pasajero,MAYOR DE 74 AÑOS,Mujer,14
91,2021S000388,2021-02-01T19:00:00Z,CALL. RAFAEL FINAT / AVDA. POBLADOS,0,LATINA,Alcance,Conductor,MAYOR DE 74 AÑOS,Hombre,14
92,2021S000388,2021-02-01T19:00:00Z,CALL. RAFAEL FINAT / AVDA. POBLADOS,0,LATINA,Alcance,Pasajero,DE 70 A 74 AÑOS,Mujer,14
93,2021S000059,2021-02-01T18:20:00Z,CALL. VIRGEN DEL SAGRARIO / CALL. SAMBARA,0,CIUDAD LINEAL,Otro,Conductor,DE 45 A 49 AÑOS,Mujer,14
94,2021S000062,2021-02-01T18:00:00Z,PLAZA. INDEPENDENCIA,3,SALAMANCA,Caída,Conductor,DE 30 A 34 AÑOS,Hombre,7
95,2021S000060,2021-02-01T17:55:00Z,CALL. CABO DE TARIFA,9,PUENTE DE VALLECAS,Choque contra obstáculo fijo,Conductor,DE 60 A 64 AÑOS,Hombre,0
96,2021S000060,2021-02-01T17:55:00Z,CALL. CABO DE TARIFA,9,PUENTE DE VALLECAS,Choque contra obstáculo fijo,Conductor,DESCONOCIDA,Desconocido,0
97,2021S000060,2021-02-01T17:55:00Z,CALL. CABO DE TARIFA,9,PUENTE DE VALLECAS,Choque contra obstáculo fijo,Conductor,DESCONOCIDA,Desconocido,0
98,2021S000058,2021-02-01T17:15:00Z,CALL. CAPITAN BLANCO ARGIBAY / PQUE. AGUSTIN RODRIGUEZ SAHAGUN,0,TETUAN,Atropello a persona,Conductor,DE 60 A 64 AÑOS,Hombre,14
99,2021S000058,2021-02-01T17:15:00Z,CALL. CAPITAN BLANCO ARGIBAY / PQUE. AGUSTIN RODRIGUEZ SAHAGUN,0,TETUAN,Atropello a persona,Peatón,DE 10 A 14 AÑOS,Hombre,3
100,2021S000057,2021-02-01T16:40:00Z,CALL. AGUSTIN DE BETANCOURT / CALL. MARIA DE GUZMAN,0,CHAMBERI,Colisión fronto-lateral,Conductor,DE 40 A 44 AÑOS,Hombre,0
101,2021S000057,2021-02-01T16:40:00Z,CALL. AGUSTIN DE BETANCOURT / CALL. MARIA DE GUZMAN,0,CHAMBERI,Colisión fronto-lateral,Conductor,DE 50 A 54 AÑOS,Mujer,0
102,2021S000056,2021-02-01T16:15:00Z,AUTOV. M-30. +028700E,0,FUENCARRAL - EL PARDO,Alcance,Conductor,DE 40 A 44 AÑOS,Mujer,0
103,2021S000056,2021-02-01T16:15:00Z,AUTOV. M-30. +028700E,0,FUENCARRAL - EL PARDO,Alcance,Pasajero,MAYOR DE 74 AÑOS,Hombre,0
104,2021S000056,2021-02-01T16:15:00Z,AUTOV. M-30. +028700E,0,FUENCARRAL - EL PARDO,Alcance,Pasajero,DE 6 A 9 AÑOS,Hombre,0
105,2021S000056,2021-02-01T16:15:00Z,AUTOV. M-30. +028700E,0,FUENCARRAL - EL PARDO,Alcance,Conductor,DE 21 A 24 AÑOS,Hombre,0
106,2021S000056,2021-02-01T16:15:00Z,AUTOV. M-30. +028700E,0,FUENCARRAL - EL PARDO,Alcance,Pasajero,DE 18 A 20 AÑOS,Hombre,0
107,2021S000056,2021-02-01T16:15:00Z,AUTOV. M-30. +028700E,0,FUENCARRAL - EL PARDO,Alcance,Pasajero,DE 18 A 20 AÑOS,Hombre,0
108,2021S000056,2021-02-01T16:15:00Z,AUTOV. M-30. +028700E,0,FUENCARRAL - EL PARDO,Alcance,Pasajero,DE 18 A 20 AÑOS,Mujer,0
109,2021S000056,2021-02-01T16:15:00Z,AUTOV. M-30. +028700E,0,FUENCARRAL - EL PARDO,Alcance,Pasajero,DE 18 A 20 AÑOS,Hombre,0
110,2021S000055,2021-02-01T15:50:00Z,CALL. ALMAZAN,52,LATINA,Colisión frontal,Conductor,DE 30 A 34 AÑOS,Mujer,7
111,2021S000055,2021-02-01T15:50:00Z,CALL. ALMAZAN,52,LATINA,Colisión frontal,Conductor,DE 35 A 39 AÑOS,Mujer,14
112,2021S000168,2021-02-01T15:50:00Z,PASEO. ACACIAS,8,ARGANZUELA,Caída,Conductor,DE 30 A 34 AÑOS,Hombre,6
113,2021S000054,2021-02-01T15:15:00Z,CALL. ISABELITA USERA / CALL. JOSE BIELSA,0,USERA,Choque contra obstáculo fijo,Conductor,DE 45 A 49 AÑOS,Hombre,0
114,2021S000054,2021-02-01T15:15:00Z,CALL. ISABELITA USERA / CALL. JOSE BIELSA,0,USERA,Choque contra obstáculo fijo,Conductor,DESCONOCIDA,Desconocido,0
115,2021S000170,2021-02-01T14:30:00Z,PASEO. DELICIAS,65,ARGANZUELA,Choque contra obstáculo fijo,Conductor,DE 35 A 39 AÑOS,Mujer,14
116,2021S000170,2021-02-01T14:30:00Z,PASEO. DELICIAS,65,ARGANZUELA,Choque contra obstáculo fijo,Conductor,DESCONOCIDA,Desconocido,0
117,2021S000170,2021-02-01T14:30:00Z,PASEO. DELICIAS,65,ARGANZUELA,Choque contra obstáculo fijo,Conductor,DESCONOCIDA,Desconocido,0
118,2021S000265,2021-02-01T12:50:00Z,CALL. AÑASTRO,60,HORTALEZA,Caída,Conductor,DE 40 A 44 AÑOS,Mujer,7
119,2021S000138,2021-02-01T12:45:00Z,AVDA. LAS AGUILAS,97,LATINA,Choque contra obstáculo fijo,Conductor,DESCONOCIDA,Desconocido,0
120,2021S000138,2021-02-01T12:45:00Z,AVDA. LAS AGUILAS,97,LATINA,Choque contra obstáculo fijo,Conductor,DESCONOCIDA,Desconocido,0
121,2021S000138,2021-02-01T12:45:00Z,AVDA. LAS AGUILAS,97,LATINA,Choque contra obstáculo fijo,Conductor,DESCONOCIDA,Desconocido,0
122,2021S000050,2021-02-01T12:32:00Z,AVDA. PESETA / CALL. PINAR DE SAN JOSE,0,CARABANCHEL,Choque contra obstáculo fijo,Conductor,DE 70 A 74 AÑOS,Hombre,1
123,2021S000050,2021-02-01T12:32:00Z,AVDA. PESETA / CALL. PINAR DE SAN JOSE,0,CARABANCHEL,Choque contra obstáculo fijo,Pasajero,DE 65 A 69 AÑOS,Mujer,7
124,2021S000051,2021-02-01T11:50:00Z,CTRA. ACCESO A LA ESTACION DE O'DONNELL / AVDA. MARCONI,0,SAN BLAS - CANILLEJAS,Colisión fronto-lateral,Conductor,DE 21 A 24 AÑOS,Mujer,0
125,2021S000051,2021-02-01T11:50:00Z,CTRA. ACCESO A LA ESTACION DE O'DONNELL / AVDA. MARCONI,0,SAN BLAS - CANILLEJAS,Colisión fronto-lateral,Conductor,DE 45 A 49 AÑOS,Hombre,0
126,2021S000051,2021-02-01T11:50:00Z,CTRA. ACCESO A LA ESTACION DE O'DONNELL / AVDA. MARCONI,0,SAN BLAS - CANILLEJAS,Colisión fronto-lateral,Pasajero,DE 45 A 49 AÑOS,Mujer,0
127,2021S000101,2021-02-01T11:50:00Z,CMNO. POZO DEL TIO RAIMUNDO,1,VILLA DE VALLECAS,Colisión múltiple,Conductor,DE 35 A 39 AÑOS,Mujer,0
128,2021S000101,2021-02-01T11:50:00Z,CMNO. POZO DEL TIO RAIMUNDO,1,VILLA DE VALLECAS,Colisión múltiple,Conductor,DE 25 A 29 AÑOS,Hombre,0
129,2021S000101,2021-02-01T11:50:00Z,CMNO. POZO DEL TIO RAIMUNDO,1,VILLA DE VALLECAS,Colisión múltiple,Pasajero,DE 18 A 20 AÑOS,Mujer,0
130,2021S000101,2021-02-01T11:50:00Z,CMNO. POZO DEL TIO RAIMUNDO,1,VILLA DE VALLECAS,Colisión múltiple,Conductor,DE 45 A 49 AÑOS,Hombre,0
131,2021S000099,2021-02-01T11:25:00Z,AVDA. CONCHA ESPINA / CALL. SERRANO,0,CHAMARTIN,Colisión fronto-lateral,Conductor,DE 70 A 74 AÑOS,Hombre,14
132,2021S000099,2021-02-01T11:25:00Z,AVDA. CONCHA ESPINA / CALL. SERRANO,0,CHAMARTIN,Colisión fronto-lateral,Conductor,MAYOR DE 74 AÑOS,Hombre,14
133,2021S000099,2021-02-01T11:25:00Z,AVDA. CONCHA ESPINA / CALL. SERRANO,0,CHAMARTIN,Colisión fronto-lateral,Pasajero,MAYOR DE 74 AÑOS,Mujer,7
134,2021S000762,2021-02-01T01:25:00Z,AVDA. VICTORIA / AUTOV. A-6,0,MONCLOA - ARAVACA,Choque contra obstáculo fijo,Conductor,DE 21 A 24 AÑOS,Hombre,0
135,2021S000029,2021-02-01T00:40:00Z,CALL. GOYA / CASTELLANA,0,SALAMANCA,Colisión fronto-lateral,Conductor,DE 60 A 64 AÑOS,Hombre,0
136,2021S000029,2021-02-01T00:40:00Z,CALL. GOYA / CASTELLANA,0,SALAMANCA,Colisión fronto-lateral,Conductor,DESCONOCIDA,Desconocido,0
137,2021S000123,2021-03-01T22:35:00Z,CALL. SILVANO / CALL. JOSE RIZAL,0,HORTALEZA,Colisión fronto-lateral,Conductor,DE 60 A 64 AÑOS,Hombre,0
138,2021S000123,2021-03-01T22:35:00Z,CALL. SILVANO / CALL. JOSE RIZAL,0,HORTALEZA,Colisión fronto-lateral,Conductor,DE 18 A 20 AÑOS,Hombre,0
139,2021S000123,2021-03-01T22:35:00Z,CALL. SILVANO / CALL. JOSE RIZAL,0,HORTALEZA,Colisión fronto-lateral,Pasajero,DE 18 A 20 AÑOS,Hombre,0
140,2021S000123,2021-03-01T22:35:00Z,CALL. SILVANO / CALL. JOSE RIZAL,0,HORTALEZA,Colisión fronto-lateral,Pasajero,DE 18 A 20 AÑOS,Hombre,0
141,2021S000261,2021-03-01T22:25:00Z,AVDA. OROVILLA / CALL. UNANIMIDAD,0,USERA,Colisión fronto-lateral,Conductor,DE 35 A 39 AÑOS,Hombre,7
142,2021S000261,2021-03-01T22:25:00Z,AVDA. OROVILLA / CALL. UNANIMIDAD,0,USERA,Colisión fronto-lateral,Conductor,DE 30 A 34 AÑOS,Hombre,7
143,2021S000122,2021-03-01T21:50:00Z,AUTOV. M-30 / AVDA. ALBUFERA,0,PUENTE DE VALLECAS,Atropello a persona,Conductor,DE 21 A 24 AÑOS,Hombre,2
144,2021S000122,2021-03-01T21:50:00Z,AUTOV. M-30 / AVDA. ALBUFERA,0,PUENTE DE VALLECAS,Atropello a persona,Peatón,DE 60 A 64 AÑOS,Hombre,2
145,2021S000232,2021-03-01T20:48:00Z,AVDA. ANDALUCIA / AUTOV. M-40,0,USERA,Alcance,Conductor,DE 45 A 49 AÑOS,Hombre,0
146,2021S000232,2021-03-01T20:48:00Z,AVDA. ANDALUCIA / AUTOV. M-40,0,USERA,Alcance,Conductor,DE 35 A 39 AÑOS,Hombre,0
147,2021S000232,2021-03-01T20:48:00Z,AVDA. ANDALUCIA / AUTOV. M-40,0,USERA,Alcance,Pasajero,DE 30 A 34 AÑOS,Mujer,0
148,2021S000232,2021-03-01T20:48:00Z,AVDA. ANDALUCIA / AUTOV. M-40,0,USERA,Alcance,Conductor,DE 45 A 49 AÑOS,Hombre,0
