distrito,NumeroHabitantes,unidad_indicador,valor_indicador
Centro,Número de Habitantes,Porcentaje,"2,12"
Centro,Número de Habitantes,Personas,1.340
Centro,Número de Habitantes,Porcentaje,"4,35"
Centro,Número de Habitantes,Personas,1.698
Centro,Número de Habitantes,Porcentaje,"5,51"
Centro,Número de Habitantes,Personas,1.113
Centro,Número de Habitantes,Porcentaje,"3,61"
Centro,Número de Habitantes,Personas,359
Centro,Número de Habitantes,Porcentaje,"1,16"
Centro,Número de Habitantes,Personas,656
Centro,Número de Habitantes,Porcentaje,"2,13"
Centro,Número de Habitantes,Habitantes,22.923
Centro,Número de Habitantes,Habitantes,11.213
Centro,Número de Habitantes,Porcentaje,"48,92"
Centro,Número de Habitantes,Habitantes,11.710
Centro,Número de Habitantes,Porcentaje,"51,08"
Centro,Número de Habitantes,Personas,1.781
Centro,Número de Habitantes,Porcentaje,"7,77"
Centro,Número de Habitantes,Personas,3.357
Centro,Número de Habitantes,Porcentaje,"14,64"
Centro,Número de Habitantes,Personas,6.537
Centro,Número de Habitantes,Porcentaje,"28,52"
Centro,Número de Habitantes,Personas,6.927
Centro,Número de Habitantes,Porcentaje,"30,22"
Centro,Número de Habitantes,Personas,2.901
Centro,Número de Habitantes,Porcentaje,"12,66"
Centro,Número de Habitantes,Personas,1.420
Centro,Número de Habitantes,Porcentaje,"6,19"
Centro,Número de Habitantes,Personas,4.321
Centro,Número de Habitantes,Porcentaje,"18,85"
Centro,Número de Habitantes,Personas,1.505
Centro,Número de Habitantes,Porcentaje,"6,57"
Centro,Número de Habitantes,Personas,1.906
Centro,Número de Habitantes,Proporción,"8,31"
Centro,Número de Habitantes,Proporción,"18,85"
Centro,Número de Habitantes,Proporción,"32,86"
Centro,Número de Habitantes,Índice,"37,3"
Centro,Número de Habitantes,Personas,18.894
Centro,Número de Habitantes,Porcentaje,"82,43"
Centro,Número de Habitantes,Personas,9.199
Centro,Número de Habitantes,Porcentaje,"48,69"
Centro,Número de Habitantes,Personas,9.695
Centro,Número de Habitantes,Porcentaje,"51,31"
Centro,Número de Habitantes,Personas,4.028
Centro,Número de Habitantes,Porcentaje,"17,57"
Centro,Número de Habitantes,Personas,2.013
Centro,Número de Habitantes,Porcentaje,"49,98"
Centro,Número de Habitantes,Personas,2.015
Centro,Número de Habitantes,Porcentaje,"50,02"
Centro,Número de Habitantes,Proporción,"7,95"
Centro,Número de Habitantes,Personas,490
Centro,Número de Habitantes,Porcentaje,"12,16"
Centro,Número de Habitantes,Personas,13
Centro,Número de Habitantes,Porcentaje,"0,32"
Centro,Número de Habitantes,Habitantes,45.259
Centro,Número de Habitantes,Habitantes,23.390
Centro,Número de Habitantes,Porcentaje,"51,68"
Centro,Número de Habitantes,Habitantes,21.869
Centro,Número de Habitantes,Porcentaje,"48,32"
Centro,Número de Habitantes,Personas,3.784
Centro,Número de Habitantes,Porcentaje,"8,36"
Centro,Número de Habitantes,Personas,7.477
Centro,Número de Habitantes,Porcentaje,"16,52"
Centro,Número de Habitantes,Personas,15.408
Centro,Número de Habitantes,Porcentaje,"34,04"
Centro,Número de Habitantes,Personas,12.221
Centro,Número de Habitantes,Porcentaje,27
Centro,Número de Habitantes,Personas,4.087
Centro,Número de Habitantes,Porcentaje,"9,03"
Centro,Número de Habitantes,Personas,2.282
Centro,Número de Habitantes,Porcentaje,"5,04"
Centro,Número de Habitantes,Personas,6.369
Centro,Número de Habitantes,Porcentaje,"14,07"
Centro,Número de Habitantes,Personas,3.097
Centro,Número de Habitantes,Porcentaje,"6,84"
Centro,Número de Habitantes,Personas,3.989
Centro,Número de Habitantes,Proporción,"8,81"
Centro,Número de Habitantes,Proporción,"14,07"
Centro,Número de Habitantes,Proporción,"35,83"
Centro,Número de Habitantes,Índice,"29,68"
Centro,Número de Habitantes,Personas,33.388
Centro,Número de Habitantes,Porcentaje,"73,77"
Centro,Número de Habitantes,Personas,16.341
Centro,Número de Habitantes,Porcentaje,"48,94"
Centro,Número de Habitantes,Personas,17.047
Centro,Número de Habitantes,Porcentaje,"51,06"
Centro,Número de Habitantes,Personas,11.869
Centro,Número de Habitantes,Porcentaje,"26,23"
Centro,Número de Habitantes,Personas,7.049
Centro,Número de Habitantes,Porcentaje,"59,39"
Centro,Número de Habitantes,Personas,4.820
Centro,Número de Habitantes,Porcentaje,"40,61"
Centro,Número de Habitantes,Proporción,"16,93"
Centro,Número de Habitantes,Personas,1.082
Centro,Número de Habitantes,Porcentaje,"9,12"
Centro,Número de Habitantes,Personas,2824
Centro,Número de Habitantes,Porcentaje,"23,79"
Centro,Número de Habitantes,Habitantes,10.484
Centro,Número de Habitantes,Habitantes,5.235
Centro,Número de Habitantes,Porcentaje,"49,93"
Centro,Número de Habitantes,Habitantes,5.249
Centro,Número de Habitantes,Porcentaje,"50,07"
Centro,Número de Habitantes,Personas,721
Centro,Número de Habitantes,Porcentaje,"6,88"
Centro,Número de Habitantes,Personas,1.629
Centro,Número de Habitantes,Porcentaje,"15,54"
Centro,Número de Habitantes,Personas,3.253
Centro,Número de Habitantes,Porcentaje,"31,03"
Centro,Número de Habitantes,Personas,3.103
Centro,Número de Habitantes,Porcentaje,"29,6"
Centro,Número de Habitantes,Personas,1.197
Centro,Número de Habitantes,Porcentaje,"11,42"
Centro,Número de Habitantes,Personas,581
Centro,Número de Habitantes,Porcentaje,"5,54"
Centro,Número de Habitantes,Personas,1.778
Centro,Número de Habitantes,Porcentaje,"16,96"
Centro,Número de Habitantes,Personas,557
Centro,Número de Habitantes,Porcentaje,"5,31"
Centro,Número de Habitantes,Personas,762
Centro,Número de Habitantes,Proporción,"7,27"
Centro,Número de Habitantes,Proporción,"16,96"
Centro,Número de Habitantes,Proporción,"32,68"
Centro,Número de Habitantes,Índice,"31,97"
Centro,Número de Habitantes,Personas,8.064
Centro,Número de Habitantes,Porcentaje,"76,92"
Centro,Número de Habitantes,Personas,4.045
Centro,Número de Habitantes,Porcentaje,"50,16"
Centro,Número de Habitantes,Personas,4.019
Centro,Número de Habitantes,Porcentaje,"49,84"
Centro,Número de Habitantes,Personas,2.420
Centro,Número de Habitantes,Porcentaje,"23,08"
Centro,Número de Habitantes,Personas,1.190
Centro,Número de Habitantes,Porcentaje,"49,17"
Centro,Número de Habitantes,Personas,1.230
Centro,Número de Habitantes,Porcentaje,"50,83"
Centro,Número de Habitantes,Proporción,"9,9"
Centro,Número de Habitantes,Personas,263
Centro,Número de Habitantes,Porcentaje,"10,87"
Centro,Número de Habitantes,Personas,49
Centro,Número de Habitantes,Porcentaje,"2,02"
Centro,Número de Habitantes,Habitantes,17.153
Centro,Número de Habitantes,Habitantes,8.675
Centro,Número de Habitantes,Porcentaje,"50,57"
Centro,Número de Habitantes,Habitantes,8.478
Centro,Número de Habitantes,Porcentaje,"49,43"
Centro,Número de Habitantes,Personas,1.372
Centro,Número de Habitantes,Porcentaje,8
Centro,Número de Habitantes,Personas,2.790
Centro,Número de Habitantes,Porcentaje,"16,27"
Centro,Número de Habitantes,Personas,5.122
Centro,Número de Habitantes,Porcentaje,"29,86"
Centro,Número de Habitantes,Personas,5.111
Centro,Número de Habitantes,Porcentaje,"29,8"
Centro,Número de Habitantes,Personas,1.800
Centro,Número de Habitantes,Porcentaje,"10,49"
Centro,Número de Habitantes,Personas,958
Centro,Número de Habitantes,Porcentaje,"5,59"
Centro,Número de Habitantes,Personas,2.758
Centro,Número de Habitantes,Porcentaje,"16,08"
Centro,Número de Habitantes,Personas,1.135
Centro,Número de Habitantes,Porcentaje,"6,62"
Centro,Número de Habitantes,Personas,1.453
Centro,Número de Habitantes,Proporción,"8,47"
Centro,Número de Habitantes,Proporción,"16,08"
Centro,Número de Habitantes,Proporción,"34,74"
Centro,Número de Habitantes,Índice,"32,54"
Centro,Número de Habitantes,Personas,13.486
Centro,Número de Habitantes,Porcentaje,"78,62"
Centro,Número de Habitantes,Personas,6.756
Centro,Número de Habitantes,Porcentaje,"50,1"
Centro,Número de Habitantes,Personas,6.730
Centro,Número de Habitantes,Porcentaje,"49,9"
Centro,Número de Habitantes,Personas,3.667
Centro,Número de Habitantes,Porcentaje,"21,38"
Centro,Número de Habitantes,Personas,1.919
Centro,Número de Habitantes,Porcentaje,"52,33"
Centro,Número de Habitantes,Personas,1.748
Centro,Número de Habitantes,Porcentaje,"47,67"
Centro,Número de Habitantes,Proporción,"9,93"
Centro,Número de Habitantes,Personas,403
Centro,Número de Habitantes,Porcentaje,"10,99"
Centro,Número de Habitantes,Personas,13
Centro,Número de Habitantes,Porcentaje,"0,35"
Centro,Número de Habitantes,Habitantes,31.725
Centro,Número de Habitantes,Habitantes,15.567
Centro,Número de Habitantes,Porcentaje,"49,07"
Centro,Número de Habitantes,Habitantes,16.158
Centro,Número de Habitantes,Porcentaje,"50,93"
Centro,Número de Habitantes,Personas,2.408
Centro,Número de Habitantes,Porcentaje,"7,59"
Centro,Número de Habitantes,Personas,5.245
Centro,Número de Habitantes,Porcentaje,"16,53"
Centro,Número de Habitantes,Personas,10.328
Centro,Número de Habitantes,Porcentaje,"32,55"
Centro,Número de Habitantes,Personas,8.576
Centro,Número de Habitantes,Porcentaje,"27,03"
Centro,Número de Habitantes,Personas,3.355
Centro,Número de Habitantes,Porcentaje,"10,58"
Centro,Número de Habitantes,Personas,1.813
Centro,Número de Habitantes,Porcentaje,"5,71"
Centro,Número de Habitantes,Personas,5.168
Centro,Número de Habitantes,Porcentaje,"16,29"
Centro,Número de Habitantes,Personas,1.958
Centro,Número de Habitantes,Porcentaje,"6,17"
Centro,Número de Habitantes,Personas,2.549
Centro,Número de Habitantes,Proporción,"8,03"
Centro,Número de Habitantes,Proporción,"16,29"
Centro,Número de Habitantes,Proporción,"35,08"
Centro,Número de Habitantes,Índice,"32,14"
Centro,Número de Habitantes,Personas,24.880
Centro,Número de Habitantes,Porcentaje,"78,42"
Centro,Número de Habitantes,Personas,12.154
Centro,Número de Habitantes,Porcentaje,"48,85"
Centro,Número de Habitantes,Personas,12.726
Centro,Número de Habitantes,Porcentaje,"51,15"
Centro,Número de Habitantes,Personas,6.845
Centro,Número de Habitantes,Porcentaje,"21,58"
Centro,Número de Habitantes,Personas,3.413
Centro,Número de Habitantes,Porcentaje,"49,86"
Centro,Número de Habitantes,Personas,3.432
Centro,Número de Habitantes,Porcentaje,"50,14"
Centro,Número de Habitantes,Proporción,"11,6"
Centro,Número de Habitantes,Personas,741
Centro,Número de Habitantes,Porcentaje,"10,83"
Centro,Número de Habitantes,Personas,20
Centro,Número de Habitantes,Porcentaje,"0,29"
Centro,Número de Habitantes,Habitantes,7.337
Centro,Número de Habitantes,Habitantes,3.749
Centro,Número de Habitantes,Porcentaje,"51,1"
Centro,Número de Habitantes,Habitantes,3.588
Centro,Número de Habitantes,Porcentaje,"48,9"
Centro,Número de Habitantes,Personas,488
Centro,Número de Habitantes,Porcentaje,"6,65"
Centro,Número de Habitantes,Personas,1.302
Centro,Número de Habitantes,Porcentaje,"17,75"
Centro,Número de Habitantes,Personas,2.209
Centro,Número de Habitantes,Porcentaje,"30,11"
Centro,Número de Habitantes,Personas,2.087
Centro,Número de Habitantes,Porcentaje,"28,44"
Centro,Número de Habitantes,Personas,856
Centro,Número de Habitantes,Porcentaje,"11,67"
Centro,Número de Habitantes,Personas,395
Centro,Número de Habitantes,Porcentaje,"5,38"
Centro,Número de Habitantes,Personas,1.251
Centro,Número de Habitantes,Porcentaje,"17,05"
Centro,Número de Habitantes,Personas,407
Centro,Número de Habitantes,Porcentaje,"5,55"
Centro,Número de Habitantes,Personas,512
Centro,Número de Habitantes,Proporción,"6,98"
Centro,Número de Habitantes,Proporción,"17,05"
Centro,Número de Habitantes,Proporción,"31,57"
Centro,Número de Habitantes,Índice,"31,63"
Centro,Número de Habitantes,Personas,5.329
Centro,Número de Habitantes,Porcentaje,"72,63"
Centro,Número de Habitantes,Personas,2.769
Centro,Número de Habitantes,Porcentaje,"51,96"
Centro,Número de Habitantes,Personas,2.560
Centro,Número de Habitantes,Porcentaje,"48,04"
Centro,Número de Habitantes,Personas,2.008
Centro,Número de Habitantes,Porcentaje,"27,37"
Centro,Número de Habitantes,Personas,980
Centro,Número de Habitantes,Porcentaje,"48,8"
Centro,Número de Habitantes,Personas,1.028
Centro,Número de Habitantes,Porcentaje,"51,2"
Centro,Número de Habitantes,Proporción,"13,7"
Centro,Número de Habitantes,Personas,215
Centro,Número de Habitantes,Porcentaje,"10,71"
Centro,Número de Habitantes,Personas,16
Centro,Número de Habitantes,Porcentaje,"0,8"
Arganzuela,Número de Habitantes,Habitantes,153.830
Arganzuela,Número de Habitantes,Habitantes,71.631
Arganzuela,Número de Habitantes,Porcentaje,"46,57"
Arganzuela,Número de Habitantes,Habitantes,82.199
Arganzuela,Número de Habitantes,Porcentaje,"53,43"
Arganzuela,Número de Habitantes,Personas,18.187
Arganzuela,Número de Habitantes,Porcentaje,"11,82"
Arganzuela,Número de Habitantes,Personas,22.294
Arganzuela,Número de Habitantes,Porcentaje,"14,49"
Arganzuela,Número de Habitantes,Personas,38.224
Arganzuela,Número de Habitantes,Porcentaje,"24,85"
Arganzuela,Número de Habitantes,Personas,45.479
Arganzuela,Número de Habitantes,Porcentaje,"29,56"
Arganzuela,Número de Habitantes,Personas,19.685
Arganzuela,Número de Habitantes,Porcentaje,"12,8"
Arganzuela,Número de Habitantes,Personas,9.961
Arganzuela,Número de Habitantes,Porcentaje,"6,48"
Arganzuela,Número de Habitantes,Personas,29.646
Arganzuela,Número de Habitantes,Porcentaje,"19,27"
Arganzuela,Número de Habitantes,Personas,15.467
Arganzuela,Número de Habitantes,Porcentaje,"10,05"
Arganzuela,Número de Habitantes,Personas,19.400
Arganzuela,Número de Habitantes,Proporción,"12,61"
Arganzuela,Número de Habitantes,Proporción,"19,27"
Arganzuela,Número de Habitantes,Proporción,"33,6"
Arganzuela,Número de Habitantes,Índice,"46,81"
Arganzuela,Número de Habitantes,Personas,138.533
Arganzuela,Número de Habitantes,Porcentaje,"90,06"
Arganzuela,Número de Habitantes,Personas,64.425
Arganzuela,Número de Habitantes,Porcentaje,"46,51"
Arganzuela,Número de Habitantes,Personas,74.108
Arganzuela,Número de Habitantes,Porcentaje,"53,49"
Arganzuela,Número de Habitantes,Personas,15.295
Arganzuela,Número de Habitantes,Porcentaje,"9,94"
Arganzuela,Número de Habitantes,Personas,7.205
Arganzuela,Número de Habitantes,Porcentaje,"47,11"
Arganzuela,Número de Habitantes,Personas,8.090
Arganzuela,Número de Habitantes,Porcentaje,"52,89"
Arganzuela,Número de Habitantes,Proporción,"6,5"
Arganzuela,Número de Habitantes,Personas,1.301
Arganzuela,Número de Habitantes,Porcentaje,"8,51"
Arganzuela,Número de Habitantes,Personas,393
Arganzuela,Número de Habitantes,Porcentaje,"2,57"
Arganzuela,Número de Habitantes,Personas,1353
Arganzuela,Número de Habitantes,Porcentaje,"8,85"
Arganzuela,Número de Habitantes,Personas,1.027
Arganzuela,Número de Habitantes,Porcentaje,"6,71"
Arganzuela,Número de Habitantes,Personas,720
Arganzuela,Número de Habitantes,Porcentaje,"4,71"
Arganzuela,Número de Habitantes,Personas,381
Arganzuela,Número de Habitantes,Porcentaje,"2,49"
Arganzuela,Número de Habitantes,Personas,729
Arganzuela,Número de Habitantes,Porcentaje,"4,77"
Arganzuela,Número de Habitantes,Personas,648
Arganzuela,Número de Habitantes,Porcentaje,"4,24"
Arganzuela,Número de Habitantes,Personas,465
Arganzuela,Número de Habitantes,Porcentaje,"3,04"
Arganzuela,Número de Habitantes,Personas,394
Arganzuela,Número de Habitantes,Porcentaje,"2,58"
Arganzuela,Número de Habitantes,Personas,464
Arganzuela,Número de Habitantes,Porcentaje,"3,03"
Arganzuela,Número de Habitantes,Personas,573
Arganzuela,Número de Habitantes,Porcentaje,"3,75"
Arganzuela,Número de Habitantes,Habitantes,22.766
Arganzuela,Número de Habitantes,Habitantes,10.543
Arganzuela,Número de Habitantes,Porcentaje,"46,31"
Arganzuela,Número de Habitantes,Habitantes,12.223
Arganzuela,Número de Habitantes,Porcentaje,"53,69"
Arganzuela,Número de Habitantes,Personas,2.517
Arganzuela,Número de Habitantes,Porcentaje,"11,06"
Arganzuela,Número de Habitantes,Personas,3.108
Arganzuela,Número de Habitantes,Porcentaje,"13,65"
Arganzuela,Número de Habitantes,Personas,5.194
Arganzuela,Número de Habitantes,Porcentaje,"22,81"
Arganzuela,Número de Habitantes,Personas,7.039
Arganzuela,Número de Habitantes,Porcentaje,"30,92"
Arganzuela,Número de Habitantes,Personas,3.205
Arganzuela,Número de Habitantes,Porcentaje,"14,08"
Arganzuela,Número de Habitantes,Personas,1.703
Arganzuela,Número de Habitantes,Porcentaje,"7,48"
Arganzuela,Número de Habitantes,Personas,4.908
Arganzuela,Número de Habitantes,Porcentaje,"21,56"
Arganzuela,Número de Habitantes,Personas,2.181
Arganzuela,Número de Habitantes,Porcentaje,"9,58"
Arganzuela,Número de Habitantes,Personas,2.698
Arganzuela,Número de Habitantes,Proporción,"11,85"
Arganzuela,Número de Habitantes,Proporción,"21,56"
Arganzuela,Número de Habitantes,Proporción,"34,7"
Arganzuela,Número de Habitantes,Índice,"50,17"
Arganzuela,Número de Habitantes,Personas,21.160
Arganzuela,Número de Habitantes,Porcentaje,"92,95"
Arganzuela,Número de Habitantes,Personas,9.830
Arganzuela,Número de Habitantes,Porcentaje,"46,46"
Arganzuela,Número de Habitantes,Personas,11.330
Arganzuela,Número de Habitantes,Porcentaje,"53,54"
Arganzuela,Número de Habitantes,Personas,1.606
Arganzuela,Número de Habitantes,Porcentaje,"7,05"
Arganzuela,Número de Habitantes,Personas,713
Arganzuela,Número de Habitantes,Porcentaje,"44,4"
Arganzuela,Número de Habitantes,Personas,893
Arganzuela,Número de Habitantes,Porcentaje,"55,6"
Arganzuela,Número de Habitantes,Proporción,"3,84"
Arganzuela,Número de Habitantes,Personas,191
Arganzuela,Número de Habitantes,Porcentaje,"11,89"
Arganzuela,Número de Habitantes,Personas,164
Arganzuela,Número de Habitantes,Porcentaje,"10,21"
Arganzuela,Número de Habitantes,Habitantes,36.785
Arganzuela,Número de Habitantes,Habitantes,16.943
Arganzuela,Número de Habitantes,Porcentaje,"46,06"
Arganzuela,Número de Habitantes,Habitantes,19.842
Arganzuela,Número de Habitantes,Porcentaje,"53,94"
Arganzuela,Número de Habitantes,Personas,3.672
Arganzuela,Número de Habitantes,Porcentaje,"9,98"
Arganzuela,Número de Habitantes,Personas,5.585
Arganzuela,Número de Habitantes,Porcentaje,"15,18"
Arganzuela,Número de Habitantes,Personas,8.236
Arganzuela,Número de Habitantes,Porcentaje,"22,39"
Arganzuela,Número de Habitantes,Personas,10.948
Arganzuela,Número de Habitantes,Porcentaje,"29,76"
Arganzuela,Número de Habitantes,Personas,5.847
Arganzuela,Número de Habitantes,Porcentaje,"15,9"
Arganzuela,Número de Habitantes,Personas,2.497
Arganzuela,Número de Habitantes,Porcentaje,"6,79"
Arganzuela,Número de Habitantes,Personas,8.344
Arganzuela,Número de Habitantes,Porcentaje,"22,68"
Arganzuela,Número de Habitantes,Personas,3.177
Arganzuela,Número de Habitantes,Porcentaje,"8,64"
Arganzuela,Número de Habitantes,Personas,3.958
Arganzuela,Número de Habitantes,Proporción,"10,76"
Arganzuela,Número de Habitantes,Proporción,"22,68"
Arganzuela,Número de Habitantes,Proporción,"29,93"
Arganzuela,Número de Habitantes,Índice,"50,25"
Arganzuela,Número de Habitantes,Personas,34.207
Arganzuela,Número de Habitantes,Porcentaje,"92,99"
Arganzuela,Número de Habitantes,Personas,15.694
Arganzuela,Número de Habitantes,Porcentaje,"45,88"
Arganzuela,Número de Habitantes,Personas,18.513
Arganzuela,Número de Habitantes,Porcentaje,"54,12"
Arganzuela,Número de Habitantes,Personas,2.577
Arganzuela,Número de Habitantes,Porcentaje,"7,01"
Arganzuela,Número de Habitantes,Personas,1.249
Arganzuela,Número de Habitantes,Porcentaje,"48,47"
Arganzuela,Número de Habitantes,Personas,1.328
Arganzuela,Número de Habitantes,Porcentaje,"51,53"
Arganzuela,Número de Habitantes,Proporción,"4,07"
Arganzuela,Número de Habitantes,Personas,289
Arganzuela,Número de Habitantes,Porcentaje,"11,21"
Arganzuela,Número de Habitantes,Personas,222
Arganzuela,Número de Habitantes,Porcentaje,"8,61"
Arganzuela,Número de Habitantes,Habitantes,19.993
Arganzuela,Número de Habitantes,Habitantes,9.064
Arganzuela,Número de Habitantes,Porcentaje,"45,34"
Arganzuela,Número de Habitantes,Habitantes,10.929
Arganzuela,Número de Habitantes,Porcentaje,"54,66"
Arganzuela,Número de Habitantes,Personas,2.038
Arganzuela,Número de Habitantes,Porcentaje,"10,19"
Arganzuela,Número de Habitantes,Personas,2.712
Arganzuela,Número de Habitantes,Porcentaje,"13,56"
Arganzuela,Número de Habitantes,Personas,5.239
Arganzuela,Número de Habitantes,Porcentaje,"26,2"
Arganzuela,Número de Habitantes,Personas,5.440
Arganzuela,Número de Habitantes,Porcentaje,"27,21"
Arganzuela,Número de Habitantes,Personas,2.772
Arganzuela,Número de Habitantes,Porcentaje,"13,86"
Arganzuela,Número de Habitantes,Personas,1.792
Arganzuela,Número de Habitantes,Porcentaje,"8,96"
Arganzuela,Número de Habitantes,Personas,4.564
Arganzuela,Número de Habitantes,Porcentaje,"22,83"
Arganzuela,Número de Habitantes,Personas,1.623
Arganzuela,Número de Habitantes,Porcentaje,"8,12"
Arganzuela,Número de Habitantes,Personas,2.153
Arganzuela,Número de Habitantes,Proporción,"10,77"
Arganzuela,Número de Habitantes,Proporción,"22,83"
Arganzuela,Número de Habitantes,Proporción,"39,26"
Arganzuela,Número de Habitantes,Índice,"50,6"
Arganzuela,Número de Habitantes,Personas,17.328
Arganzuela,Número de Habitantes,Porcentaje,"86,67"
Arganzuela,Número de Habitantes,Personas,7.815
Arganzuela,Número de Habitantes,Porcentaje,"45,1"
Arganzuela,Número de Habitantes,Personas,9.513
Arganzuela,Número de Habitantes,Porcentaje,"54,9"
Arganzuela,Número de Habitantes,Personas,2.665
Arganzuela,Número de Habitantes,Porcentaje,"13,33"
Arganzuela,Número de Habitantes,Personas,1.249
Arganzuela,Número de Habitantes,Porcentaje,"46,87"
Arganzuela,Número de Habitantes,Personas,1.416
Arganzuela,Número de Habitantes,Porcentaje,"53,13"
Arganzuela,Número de Habitantes,Proporción,"10,03"
Arganzuela,Número de Habitantes,Personas,117
Arganzuela,Número de Habitantes,Porcentaje,"4,39"
Arganzuela,Número de Habitantes,Personas,200
Arganzuela,Número de Habitantes,Porcentaje,"7,5"
Arganzuela,Número de Habitantes,Habitantes,19.652
Arganzuela,Número de Habitantes,Habitantes,9.629
Arganzuela,Número de Habitantes,Porcentaje,49
Arganzuela,Número de Habitantes,Habitantes,10.023
Arganzuela,Número de Habitantes,Porcentaje,51
Arganzuela,Número de Habitantes,Personas,3.650
Arganzuela,Número de Habitantes,Porcentaje,"18,57"
Arganzuela,Número de Habitantes,Personas,2.754
Arganzuela,Número de Habitantes,Porcentaje,"14,01"
Arganzuela,Número de Habitantes,Personas,5.452
Arganzuela,Número de Habitantes,Porcentaje,"27,74"
Arganzuela,Número de Habitantes,Personas,6.094
Arganzuela,Número de Habitantes,Porcentaje,"31,01"
Arganzuela,Número de Habitantes,Personas,1.281
Arganzuela,Número de Habitantes,Porcentaje,"6,52"
Arganzuela,Número de Habitantes,Personas,421
Arganzuela,Número de Habitantes,Porcentaje,"2,14"
Arganzuela,Número de Habitantes,Personas,1.702
Arganzuela,Número de Habitantes,Porcentaje,"8,66"
Arganzuela,Número de Habitantes,Personas,3.083
Arganzuela,Número de Habitantes,Porcentaje,"15,69"
Arganzuela,Número de Habitantes,Personas,3.862
Arganzuela,Número de Habitantes,Proporción,"19,65"
Arganzuela,Número de Habitantes,Proporción,"8,66"
Arganzuela,Número de Habitantes,Proporción,"24,74"
Arganzuela,Número de Habitantes,Índice,"39,49"
Arganzuela,Número de Habitantes,Personas,18.261
Arganzuela,Número de Habitantes,Porcentaje,"92,92"
Arganzuela,Número de Habitantes,Personas,8.973
Arganzuela,Número de Habitantes,Porcentaje,"49,14"
Arganzuela,Número de Habitantes,Personas,9.288
Arganzuela,Número de Habitantes,Porcentaje,"50,86"
Arganzuela,Número de Habitantes,Personas,1.391
Arganzuela,Número de Habitantes,Porcentaje,"7,08"
Arganzuela,Número de Habitantes,Personas,656
Arganzuela,Número de Habitantes,Porcentaje,"47,16"
Arganzuela,Número de Habitantes,Personas,735
Arganzuela,Número de Habitantes,Porcentaje,"52,84"
Arganzuela,Número de Habitantes,Proporción,"4,12"
Arganzuela,Número de Habitantes,Personas,154
Arganzuela,Número de Habitantes,Porcentaje,"11,07"
Arganzuela,Número de Habitantes,Personas,220
Arganzuela,Número de Habitantes,Porcentaje,"15,82"
Arganzuela,Número de Habitantes,Habitantes,27.658
Arganzuela,Número de Habitantes,Habitantes,12.880
Arganzuela,Número de Habitantes,Porcentaje,"46,57"
Arganzuela,Número de Habitantes,Habitantes,14.778
Arganzuela,Número de Habitantes,Porcentaje,"53,43"
Arganzuela,Número de Habitantes,Personas,3.706
Arganzuela,Número de Habitantes,Porcentaje,"13,4"
Arganzuela,Número de Habitantes,Personas,4.064
Arganzuela,Número de Habitantes,Porcentaje,"14,69"
