OBJECTID,IDESTACION,FECHAACTUAL,MODO,CODIGOESTACION,DENOMINACION,OBSERVACIONES,SITUACION,CODIGOCTMESTACIONREDMETRO,CODIGOEMPRESA,DENOMINACIONABREVIADA,MODOINTERCAMBIADOR,CODIGOINTERCAMBIADOR,TIPO,CODIGOPROVINCIA,CODIGOMUNICIPIO,CODIGOENTIDAD,CODIGONUCLEO,CODIGOVIA,TIPOVIA,PARTICULA,NOMBREVIA,TIPONUMERO,NUMEROPORTAL,CALIFICADORPORTAL,CARRETERA,CODIGOPOSTAL,DISTRITO,SECCIONCENSAL,BARRIO,TESELA,SECTORURBANO,SECTOR,CORREDOR,CORONATARIFARIA,CORONA123,ZONATRANSPORTE,ENCUESTADOMICILIARIA,ENCUESTAAFOROS,HOJA25000,ACONDICIONAMIENTOVIAJEROS,ACONDICIONAMIENTOVEHICULOS,FECHAALTA,FECHAINICIO,FECHAFIN,X,Y,GRADOACCESIBILIDAD,SITUACIONCALLE,DENOMINACION_SAE,INTERURBANOS_CODIGOEMT_CRTM,INTERURBANOS_CODIGOEMT_EMPRESA,LINEAS
23,6_3575,20190912,6,3575,DR.GARCIA TAPIA-M40,,S,,4973,Av. Doctor Garcia Tapia S/N con M-40,,,U,28,079,07901,0790101,10651,Avda,del,Doctor García Tapia,N,232,,,28030,14,089,142,T07910492,,,3,A,1,079-14-392,392,,559-4,2,3,20010709,19861001,,447024,4473242,T,,,,,"100, N8"
24,6_3429,20190912,6,3429,JOAQUIN LORENZO-ISLA MALAITA,,S,,1518,Joaquín Lorenzo frente al Nº 4,,,U,28,079,07901,0790101,03077,Calle,de,Joaquín Lorenzo,N,2,C,,28035,08,148,083,T079917090,,,7,A,1,079-08-176,176,,559-1,2,3,20010709,19861001,,438848,4480692,T,,,,,42
25,6_3431,20190912,6,3431,ISLA MALAITA-JOAQUIN LORENZO,,S,,1659,"Isla Malaita, 2",,,U,28,079,07901,,02940,Calle,de la,Isla Malaita,N,2,,,28035,08,148,083,T0792148,,,7,A,1,079-08-176,176,,559-1,2,3,20010709,19861001,,438891,4480709,T,,,,,137
26,6_3432,20190912,6,3432,ISLA MALAITA-CESAR MANRIQUE,,S,,1661,Isla Malaita S/N con C/ César Manrique,,,U,28,079,07901,,02940,Calle,de la,Isla Malaita,N,10,,,28035,08,,,,,2,7,A,2,079-08-176,176,,,2,3,20010709,19861001,,438935,4480830,T,,,,,137
27,6_3439,20190912,6,3439,GRAL.YAGUE-ORENSE,,S,,3238,"General Yagüe, 26",,,U,28,079,07901,,02536,Calle,del,General Yagüe,N,26,,,28020,06,,,,,1,6,A,1,079-06-112,112,,,2,3,20010709,19861001,,441180,4478864,T,,,,,126
28,6_3061,20190912,6,3061,AV.PABLO NERUDA-MALGRAT MAR,,S,,2522,"Pablo Neruda, 4",,,U,28,079,07901,,09733,Avda,de,Pablo Neruda,N,2,E,,28038,13,142,135,,,3,3,A,2,079-13-346,346,,,2,3,20010709,19861001,,445669,4471747,T,,,,,"54, 142, 144"
29,6_3065,20190912,6,3065,SAN CLAUDIO-RAFAEL FERNANDEZ,,S,,2529,"Rafael Fernández Hijicos, frente Nº24",,,U,28,079,07901,0790101,10251,Calle,de,San Claudio,SN,SN,,,28038,13,133,134,T07911994,,3,3,A,2,079-13-347,347,,,2,3,20010709,19861001,,446155,4471557,T,,,,,54
30,6_3007,20190912,6,3007,CERRO DEL CASTAÑAR-MORALZARZAL,,S,,1748,"Cerro del Castañar, 165",,,U,28,079,07901,0790101,01315,Calle,del,Cerro del Castañar,N,167,,,28034,08,136,087,T079856,,,7,A,1,079-08-161,161,,559-1,2,3,20010709,19861001,,439614,4483041,T,,,,,134
31,6_3066,20190912,6,3066,ANDALUCES-SAN CLAUDIO,,S,,2530,"Andaluces, 13",,,U,28,079,07901,0790101,99999,Calle,de los,Andaluces,N,9,,,28038,13,134,134,T07912315,,3,3,A,2,079-13-347,347,,,2,3,20010709,19861001,,446036,4471456,T,,,,,54
32,6_2948,20190912,6,2948,CTRA.VILLAVERDE A VALLECAS-AV.ROSALES,,S,,1800,Ctro Transportes Madrid (Eje Central ),,,U,28,079,07901,0790101,06237,Ctra,de,Villaverde a Vallecas,N,33,,,28041,17,048,174,T07915143,0790101A01,,4,A,2,079-17-469,469,,,2,3,20010709,19861001,,442127,4468163,T,,,,,"23, 130"
33,6_2953,20190912,6,2953,CTRA.CCHEL A VILLAVERDE-CENTRO ESCOLAR,,S,,3215,Ctra. Cchel. (Colegio Nuevo Mundo),,,U,28,079,07901,,11327,Ctra,de,Carabanchel a Villaverde,N,82,,,28021,17,099,171,,,3,4,A,2,079-17-464,464,,,2,3,20010709,19861001,,439692,4467487,T,,,,,131
34,6_2958,20190912,6,2958,RAFAELA YBARRA-UNIDAD,,S,,3213,Av. Rafaela Ybarra con C/ Unidad,,,U,28,079,07901,,09464,Avda,de,Rafaela Ybarra,N,109,,,28041,12,015,121,,,3,4,A,2,079-12-333,333,,,2,3,20010709,19861001,,439640,4469245,T,,,,,131
35,6_2960,20190912,6,2960,AV.MORERAS-CGIO.MAYOR ALFONSO X EL SABIO,Con Calle de Leonardo Prieto Castro,S,,3281,Moreras frente al Nº 3,,,U,28,079,07901,0790101,07769,Avda,de las,Moreras,SN,SN,,,28040,09,001,091,,,5,6,A,2,079-09-221,221,,,2,3,20010709,19861001,,439130,4478314,T,,,,,132
36,6_2961,20190912,6,2961,ALMIRANTE FCO.MORENO-MORERAS,,S,,3283,Almirante Francisco Moreno frente Nº7,,,U,28,079,07901,,11329,Calle,del,Almirante Francisco Moreno,N,2,,,28040,09,,,,,5,6,A,2,079-09-217,217,,,2,3,20010709,19861001,,439361,4478496,T,,,,,132
37,6_2964,20190912,6,2964,CESAR MANRIQUE-JUAN SANCHEZ,Con Calle de Chantada,S,,1514,"César Manrique, 12 con C/ Juán Sánchez",,,U,28,079,07901,0790101,45108,Calle,de,César Manrique,SN,SN,,,28035,08,001,081,,,2,7,A,2,079-08-176,176,,,2,3,20010709,19861001,,439023,4480815,T,,,,,"127, 132, N21"
38,6_2977,20190912,6,2977,ALMIRANTE FCO.MORENO-MORERAS,,S,,3284,"Almirante Francisco Moreno, 3",,,U,28,079,07901,0790101,99999,Calle,del,Almirante Francisco Moreno,N,3,,,28040,09,001,091,,,5,6,A,2,079-09-217,217,,,2,3,20010709,19861001,,439333,4478492,T,,,,,132
39,6_2978,20190912,6,2978,AV.MORERAS-CGIO.MAYOR ALFONSO X EL SABIO,,S,,3282,Moreras frente C Mayor AlfonsoX ElSabio,,,U,28,079,07901,0790101,07769,Avda,de las,Moreras,N,5,,,28040,09,001,091,,,5,6,A,2,079-09-216,216,,,2,3,20010709,19861001,,439107,4478301,T,,,,,132
40,6_2979,20190912,6,2979,AV.MORERAS-RAMIRO DE MAEZTU,Con Calle de Ramiro de Maeztu,S,,3280,Moreras S/N con C/ Ramiro de Maeztu,,,U,28,079,07901,0790101,07769,Avda,de las,Moreras,SN,SN,,,28040,09,001,091,T0798278,0790101A01,5,6,A,2,079-09-221,221,,,2,3,20010709,19861001,,438953,4478072,T,,,,,132
41,6_2354,20190912,6,2354,J.JOSE MTNEZ.SECO-DIAMANTE,,S,,1445,"Juán José Martínez Seco, 59",,,U,28,079,07901,,03242,Calle,de,Juan José Martínez Seco,N,61,,,28021,17,057,174,T07915962,,,4,A,1,079-17-482,482,,solape,2,3,20010709,19861001,,441767,4467234,T,,,,,"85, 123"
42,6_2355,20190912,6,2355,J.JOSE MTNEZ.SECO-BENITA LOPEZ,,S,,1443,"Juán José Martínez Seco, 7",,,U,28,079,07901,,03242,Calle,de,Juan José Martínez Seco,N,7,,,28021,17,055,174,T07915968,,,4,A,1,079-17-481,481,,559-3,2,3,20010709,19861001,,441565,4467231,T,,,,,"85, 123"
43,6_2357,20190912,6,2357,VIRGEN DE LOS DESAMPARADOS-TOTANES,,S,,1189,"Virgen de los Desamparados, 12",,,U,28,079,07901,,11029,Calle,de la,Virgen de los Desamparados,N,4,,,28041,17,070,175,,,3,4,A,2,079-17-479,479,,,2,3,20010709,19861001,,440759,4467209,T,,,,,"18, 86, 116, N14"
44,6_2359,20190912,6,2359,VIRGEN DE LOS DESAMPARADOS,,S,,1190,"Virgen de los Desamparados, 7",,,U,28,079,07901,,11029,Calle,de la,Virgen de los Desamparados,N,4,,,28041,17,071,175,,,3,4,A,2,079-17-479,479,,,2,3,20010709,19861001,,440777,4467203,T,,,,,"18, 86, 116, N14"
45,6_2360,20190912,6,2360,ARROYO POZUELO-HINOJO,,S,,3434,Arroyo de Pozuelo con C/ del Hinojo,,,U,28,079,07901,0790101,11371,Calle,de la,Pasionaria,N,24,,,28023,09,079,097,T0794844,,,6,B1,2,079-09-204,204,,559-1,2,3,20010709,19861001,,434394,4478425,T,,,,,160
46,6_2366,20190912,6,2366,EMILIO RUBIN-ARTURO SORIA,,S,,2878,Emilio Rubín frente al Nº 1,,,U,28,079,07901,,01944,Calle,de,Emilio Rubín,N,2,,,28033,15,158,157,T0793809,,4,1,A,2,079-15-400,400,,,2,3,20010709,19861001,,444011,4479338,T,,,,,87
47,6_2367,20190912,6,2367,MONTEARAGON Nº 8,,S,,2879,"Montearagón, 8",,,U,28,079,07901,,04166,Calle,de,Montearagón,N,8,,,28033,16,007,163,,,4,1,A,2,079-16-453,453,,,2,3,20010709,19861001,,444216,4479566,T,,,,,87
48,6_2371,20190912,6,2371,Cº DE MONTORO-Cº VIEJO DE BURGOS,,S,,5208,Cº de Montoro frente al Nº 1,,,U,28,079,07901,0790101,11161,Cmno,de,Montoro,N,1,,,28050,16,096,166,T0791257,,4,1,A,2,079-16-440,440,,,2,3,20010709,19861001,,446447,4481437,T,,,,,"87, N2"
49,6_2374,20190912,6,2374,Cº DEL OLIVAR-GRAMA,,S,,2896,"Cº del Olivar, 8",,,U,28,079,07901,,10940,Cmno,del,Olivar,N,8,,,28050,16,096,166,,,4,1,A,2,079-16-440,440,,,2,3,20010709,19861001,,446782,4481118,T,,,,,87
50,6_2378,20190912,6,2378,GREGORIO SANCHEZ HERRAEZ,,S,,2891,Gregorio Sánchez Herráez frente Nº 14,,,U,28,079,07901,,07531,Calle,de,Gregorio Sánchez Herráez,N,14,,,28033,16,107,166,T0791621,,,1,A,1,079-16-441,441,,559-2,2,3,20010709,19861001,,446137,4481189,T,,,,,"87, N2"
51,6_2382,20190912,6,2382,AV.BUCARAMANGA-GTA.CHARALA,,S,,2737,Av. Bucaramanga S/N con Gta. Charala,93,337,U,28,079,07901,0790101,09187,Gta,de,Charala,SN,SN,,,28033,16,057,164,T0792298,0790101A01,,1,A,2,079-16-451,451,,,2,3,20010709,19861001,,445889,4480621,T,,,,,87
52,6_2385,20190912,6,2385,GRAN VIA HORTALEZA-HARO,,S,,2882,Gran Vía de Hortaleza con C/ Haro,,,U,28,079,07901,,11656,G.v.,de,Hortaleza,N,48,,,28043,16,035,163,,,4,1,A,2,079-16-454,454,,,2,3,20010709,19861001,,444870,4480015,T,,,,,87
53,6_2254,20190912,6,2254,ARROYOFRESNO-AV.C.HERRERA ORIA,,S,,1721,Arroyo del Fresno con Herrera Oria,,,U,28,079,07901,,08966,Calle,de,Arroyofresno,N,29,,,28035,08,006,082,T0791634,,,7,A,1,079-08-170,170,,559-1,2,3,20010709,19861001,,437273,4481198,T,,,,,82
54,6_2255,20190912,6,2255,CANTALEJO-ARROYOFRESNO,,S,,1719,"Cantalejos, 2",,,U,28,079,07901,,09363,Calle,de,Cantalejo,N,2,,,28035,08,,,,,5,7,A,2,079-08-170,170,,,2,3,20010709,19861001,,437247,4480982,T,,,,,82
55,6_2265,20190912,6,2265,AV.MIRAFLORES-CTRA.DEHESA VILLA,,S,,1700,Av Miraflores con Ctra. Dehesa la Villa,,,U,28,079,07901,0790101,04100,Avda,de,Miraflores,N,1,A,,28035,09,043,093,T0792158,,,6,A,1,079-09-205,205,,559-1,2,3,20010709,19861001,,438221,4479001,T,,,,,"82, N20"
56,6_2266,20190912,6,2266,PARANINFO-CIEMAT,,S,,1698,Av Complutense  (C. Energía Nuclear),,,U,28,079,07901,,08012,Avda, ,Complutense,N,11,,,28040,09,033,093,T0794407,,,6,A,1,079-09-215,215,,559-1,2,3,20010709,19861001,,438274,4478666,T,,,,,"82, N20"
57,6_821,20190912,6,821,FTE.CARRANTONA-ARROYO FONTARRON,,S,,847,Fuente Carrantona con Arroyo Fontarrón,,,U,28,079,07901,,02382,Calle,de la,Fuente Carrantona,N,2,,,28030,14,001,141,,,3,3,A,2,079-14-395,395,,,2,3,20010709,19861001,,445868,4472150,T,,,,,"20, 142, 144"
58,6_823,20190912,6,823,PZA.CONDE MACEDA Y TABOADA,,S,,841,"Hacienda de Pavones, 140",,,U,28,079,07901,0790101,01521,Plaza,del,Corregidor Conde de Maceda y Taboada,SN,SN,,,28030,14,065,146,T07910427,,4,3,A,2,079-14-385,385,,,2,3,20010709,19861001,,445523,4472929,T,,,,,"20, 30, N8"
59,6_826,20190912,6,826,PZA.DEL ENCUENTRO,,S,,852,"Pza. del Encuentro, 1",,,U,28,079,07901,0790101,04590,Calle,de la,Hacienda de Pavones,N,3,,,28030,14,069,146,T07910168,,4,3,A,2,079-14-385,385,,,2,3,20010709,19861001,,444884,4473188,T,,,,,"20, 30, N8"
60,6_828,20190912,6,828,AV.MORATALAZ Nº 21,,S,,831,"Av. de Moratalaz, 21",,,U,28,079,07901,,04198,Avda,de,Moratalaz,N,21,,,28030,14,037,144,,,3,3,A,2,079-14-379,379,,,2,3,20010709,19861001,,444060,4473422,T,,,,,20
61,6_830,20190912,6,830,Cº VINATEROS-M30,,S,,827,"Cº de Vinateros, 3",93,212,U,28,079,07901,,07514,Calle,del,Camino de los Vinateros,N,3,,,28030,14,040,144,T0799424,,,3,A,2,079-14-379,379,,,2,3,20010709,19861001,,444218,4473769,T,,,,,"20, 30, 32, N8"
62,6_831,20190912,6,831,ESTRELLA POLAR-PEZ AUSTRAL,,S,,825,"Estrella Polar, 13 con C/ Pez Austral",,,U,28,079,07901,,02077,Calle,de la,Estrella Polar,N,13,,,28007,03,94,3,,,1,3,A,1,079-03-058,58,,,2,3,20010709,19861001,,443652,4473818,T,,,,,"20, 30, 32, N8"
63,6_833,20190912,6,833,AV.NAZARET-JESUS APRENDIZ,,S,,821,Av. de Nazaret frente al Nº 9,,,U,28,079,07901,,04280,Avda,de,Nazaret,N,9,A,,28009,03,081,036,T0799511,,,3,A,1,079-03-056,56,,559-4,2,3,20010709,19861001,,443203,4473856,T,,,,,20
64,6_836,20190912,6,836,MENENDEZ PELAYO-A.SAINZ BARANDA,,S,,815,"Menéndez Pelayo, 47",93,236,U,28,079,07901,,04020,Avda,de,Menéndez Pelayo,N,45,,,28009,03,59,4,,,,3,A,1,079-03-048,48,,,2,3,20010709,19861001,,442567,4474502,T,,,,,"20, 152"
65,6_840,20190912,6,840,JUAN PEREZ ZUÑIGA Nº 19,,S,,1246,"Juán Pérez Zúñiga, 19",,,U,28,079,07901,,03268,Calle,de,Juan Pérez Zúñiga,N,19,,,28027,15,139,155,,,4,1,A,2,079-15-408,408,,,2,3,20010709,19861001,,445095,4477258,T,,,,,21
66,6_776,20190912,6,776,ALEGRIA DE LA HUERTA-ANOETA,,S,,1147,"Alegría de la Huerta, 37",,,U,28,079,07901,,11124,Calle,de,La Alegría de la Huerta,N,37,,,28041,17,076,175,,,3,4,A,2,079-17-468,468,,,2,3,20010709,19861001,,441079,4467420,T,,,,,"18, 86, 116, N14"
67,6_711,20190912,6,711,Pº PONTONES-Pº IMPERIAL,,S,,550,"Pº de los Pontones, 12",,,U,28,079,07901,,04877,Paseo,de,Pontones,N,10,,,28005,02,,,,,1,4,A,1,079-02-026,26,,,2,3,20010709,19861001,,439383,4473146,T,,,,,"17, 41, N16"
68,6_713,20190912,6,713,Pº ERMITA DEL SANTO-PTE.SAN ISIDRO,Con Calle de San Ambrosio,S,,554,Pº Ermita del Santo (Pte.S.Isidro),,,U,28,079,07901,0790101,01995,Paseo,de la,Ermita del Santo,SN,SN,,,28011,11,052,113,T07910436,,3,4,A,2,079-11-271,271,,,2,3,20010709,19861001,,438620,4473086,T,,,,,"17, N16"
69,6_714,20190912,6,714,VIA CARPETANA-CARAMUEL,Con Calle de Caramuel,S,,555,Vía Carpetana S/N con C/ Caramuel,,,U,28,079,07901,0790101,08995,Calle, ,Vía Carpetana,N,43,,,28047,10,006,101,T07910924,,,5,A,1,079-10-267,267,,559-3,2,3,20010709,19861001,,438134,4472847,T,,,,,"17, N16"
70,6_719,20190912,6,719,VIA CARPETANA-PETIRROJO,Frente al nº 187,S,,566,"Vía Carpetana, 352",,,U,28,079,07901,0790101,08995,Calle,,Vía Carpetana,SN,SN,,,28047,10,087,104,T07911932,,3,5,A,2,079-10-258,258,,,2,3,20010709,19861001,,436958,4471490,T,,,,,17
71,6_1551,20190912,6,1551,AV.JUAN HERRERA-MARTIN FIERRO,,S,,2416,Av Juán de Herrera con Av Martín Fierro,,,U,28,079,07901,,07713,Avda,de,Juan de Herrera,N,6,,,28040,09,,,,,5,6,A,2,079-09-218,218,,,2,3,20010709,19861001,,438039,4476902,T,,,,,"46, 160, 161, N20, N28"
72,6_723,20190912,6,723,"OCAÑA,69",,S,,570,"Ocaña, 41",,,U,28,079,07901,0790101,08809,Calle,de,Ocaña,N,69,,,28047,10,090,104,T07913005,,3,5,A,2,079-10-257,257,,,2,3,20010709,19861001,,436145,4470984,T,,,,,"17, N26"
73,6_726,20190912,6,726,AV.RAFAEL FINAT-AV.GRAL.FANJUL,,S,,578,"Av. Rafael Finat, 2",,,U,28,079,07901,,07297,Calle,de,Rafael Finat,N,2,,,28044,10,204,107,,,3,5,A,2,079-10-244,244,,,2,3,20010709,19861001,,435171,4470835,T,,,,,17
74,6_728,20190912,6,728,AV.RAFAEL FINAT-JOSE DE CADALSO,,S,,582,"Av. Rafael Finat, 46",,,U,28,079,07901,,07297,Calle,de,Rafael Finat,N,46,A,,28044,10,190,107,,,3,5,A,2,079-10-243,243,,,2,3,20010709,19861001,,434716,4470349,T,,,,,17
75,6_729,20190912,6,729,GRAL.ROMERO BASART-AV.RAFAEL FINAT,,S,,365,"Gral. Romero Basart, 83",,,U,28,079,07901,0790101,07659,Calle,del,General Romero Basart,N,85,,,28044,10,190,107,T07913917,,3,5,A,2,079-10-243,243,,,2,3,20010709,19861001,,434544,4470189,T,,,,,"17, 34, 139"
76,6_730,20190912,6,730,GRAL.ROMERO BASART-O.PLASENCIA,,S,,584,"Gral. Romero Basart, 57",,,U,28,079,07901,,07659,Calle,del,General Romero Basart,N,63,,,28044,10,186,107,,,3,5,A,2,079-10-243,243,,,2,3,20010709,19861001,,434366,4470350,T,,,,,"17, 139"
77,6_733,20190912,6,733,GRAL.ROMERO BASART-RAFAEL FINAT,,S,,366,"General Romero Basart, 54",,,U,28,079,07901,0790101,07659,Calle,del,General Romero Basart,N,54,,,28044,10,185,107,T07914164,0790101A01,,5,A,2,079-10-246,246,,,2,3,20010709,19861001,,434550,4470169,T,,,,,"17, 34, 139, N19"
78,6_734,20190912,6,734,AV.RAFAEL FINAT-JOSE DE CADALSO,,S,,583,"Av. Rafael Finat, 67",,,U,28,079,07901,0790101,07297,Calle,de,Rafael Finat,N,67,,,28044,10,191,107,T07913739,,3,5,A,2,079-10-243,243,,,2,3,20010709,19861001,,434723,4470333,T,,,,,17
