PROVINCIA;CÓDIGO PROVINCIA;CONCELLO;CÓDIGO CONCELLO;PRAIA;LUGAR E PARROQUIA ;LONXITUDE ;TIPO;TIPO DE AREA;COORDENADAS ;MÁIS INFORMACIÓN EN TURGALICIA
Coruña, A;15;Coruña, A;15030;Oza;;110;Praia resgardada;Fina;43.34675000,-8.38308300;http://www.turismo.gal/recurso?cod_rec=30564
Coruña, A;15;Coruña, A;15030;Riazor;Paseo Marítimo;600;Praia aberta;Grosa;43.368472,-8.411639;http://www.turismo.gal/ficha-recurso?cod_rec=9857
Coruña, A;15;Coruña, A;15030;San Amaro;Adormideras;210;Praia resgardada;Fina;43.381833,-8.397055;http://www.turismo.gal/ficha-recurso?cod_rec=9855
Coruña, A;15;Dumbría;15034;Ézaro;O Ézaro - O Ézaro (Santa Uxía);730;Praia aberta;Fina;42.908278,-9.129083;http://www.turismo.gal/ficha-recurso?cod_rec=11460  
Coruña, A;15;Ferrol;15036;A Fragata ;Covas (San Martiño);160;Praia aberta;Fina;43.5385,-8.296833;http://www.turismo.gal/ficha-recurso?cod_rec=10216
Coruña, A;15;Ferrol;15036;Doniños;Doniños - Doniños (San Román);1700;Praia aberta;Fina;43.495916,-8.319194;http://www.turismo.gal/ficha-recurso?cod_rec=10112  
Coruña, A;15;Ferrol;15036;Esmelle;Esmelle - Esmelle (San Xoán);160;Praia aberta;Fina;43.53425,-8.295527;http://www.turismo.gal/ficha-recurso?cod_rec=265393177
Coruña, A;15;Ferrol;15036;San Xurxo;Vila da Area - San Xurxo da Mariña (San Xurxo);2100;Praia aberta;Fina;43.526222,-8.301806;http://www.turismo.gal/ficha-recurso?cod_rec=10111  
Coruña, A;15;Laracha, A;15041;Caión-Salseiras;Caión - Caión (Santa María do Socorro);800;Praia resgardada;Fina;43.315639,-8.610333;http://www.turismo.gal/ficha-recurso?cod_rec=11438
Coruña, A;15;Laxe;15117;Laxe;Laxe (Santa María);1320;Praia resgardada;Fina;43.217206,-9.0029587;http://www.turismo.gal/ficha-recurso?cod_rec=9867 
Coruña, A;15;Miño;15048;Perbes;Miño;500;Praia resgardada;Fina;43.37602600,-8.21491700;http://www.turismo.gal/recurso/-/detalle/10117/perbes
Coruña, A;15;Oleiros;15058;Bastiagueiro;Perillo - Perillo (Santa Locaia);580;Praia aberta;Fina;43.340722,-8.362361;http://www.turismo.gal/ficha-recurso?cod_rec=10258
Coruña, A;15;Oleiros;15058;Espiñeiro;;310;Praia resgardada;Fina;43.382777,-8.3425;http://www.turismo.gal/ficha-recurso?cod_rec=265406054
Coruña, A;15;Oleiros;15058;Mera;A Lagoa - Maianca (San Cosme);200;Praia resgardada;Fina;43.379055,-8.33775;http://www.turismo.gal/ficha-recurso?cod_rec=10254
Coruña, A;15;Oleiros;15058;Porto Naval;A Aguieira - Dorneda (San Martiño);180;Praia resgardada;Cantos rodados;43.353389,-8.346555;http://www.turismo.gal/ficha-recurso?cod_rec=11434
Coruña, A;15;Oleiros;15058;Santa Cristina;Perillo - Perillo (Santa Locaia);1800;Praia aberta;Fina;43.339777,-8.380083;http://www.turismo.gal/ficha-recurso?cod_rec=9877
Coruña, A;15;Ponteceso;15068;Balarés;Balarés - Cospindo (San Tirso);350;Praia resgardada;Fina;43.24166500,-8.94527700;http://www.turismo.gal/recurso/-/detalle/11448/balares
Coruña, A;15;Ponteceso;15068;Ermida;Gondomil - Corme Aldea (Santo Adrán);200;Praia resgardada;Fina;43.26389000,-8.95000000;http://www.turismo.gal/recurso/-/detalle/10286/ermida
Coruña, A;15;Ponteceso;15068;Osmo;O Porto de Corme - Corme Porto (Nosa Señora dos Remedios);150;Praia resgardada;Fina;43.29416700,-8.90277800;http://www.turismo.gal/recurso/-/detalle/10284/osmo
Coruña, A;15;Ribeira;15073;Coroso;Santa Uxía de Ribeira;700;Praia resgardada;Fina;42.5675533,-8.9877643;http://www.turismo.gal/ficha-recurso?cod_rec=10401 
Lugo;27;Barreiros;27005;Acantilado-Remior;Remior – San Cosme de Barreiros;850;Praia aberta;Fina;43.565628,-7.2278317;http://www.turismo.gal/ficha-recurso?cod_rec=10158 
Lugo;27;Barreiros;27005;Coto;San Cosme – San Cosme de Barreiros;800;Praia aberta;Fina;43.564465,-7.2200447;http://www.turismo.gal/ficha-recurso?cod_rec=10157 
Lugo;27;Barreiros;27005;Fontela-Balea;;700;Praia aberta;Fina;43.561422,-7.1993807;http://www.turismo.gal/ficha-recurso?cod_rec=9830 
Lugo;27;Burela;27902;A Marosa;Burela (Santa María);300;Praia aberta;Fina;43.67486,-7.372333;http://www.turismo.gal/ficha-recurso?cod_rec=9841  
Lugo;27;Burela;27902;O Portelo;Burela (Santa María);700;Praia resgardada;Fina;43.664399,-7.3592247;http://www.turismo.gal/ficha-recurso?cod_rec=10169 
Lugo;27;Burela;27902;Ril;Burela (Santa María);;Praia aberta;Fina ;43.671444, -7.364583;http://www.turismo.gal/ficha-recurso?cod_rec=258852442
Lugo;27;Cervo;27013;O Torno;San Cibrao - Lieiro (Santa María);700;Praia resgardada;Fina;43.698333,-7.438889;http://www.turismo.gal/ficha-recurso?cod_rec=10174
Lugo;27;Foz;27019;A Rapadoira;Foz - Foz (Santiago);270;Praia resgardada;Fina;43.57202500,-7.24855500;http://www.turismo.gal/recurso?cod_rec=9833
Lugo;27;Foz;27019;Areoura;;120;Praia resgardada;Fina;43.64000000,-7.34416600;http://www.turismo.gal/recurso?cod_rec=11411
Lugo;27;Foz;27019;As Polas;;280;Praia aberta;Fina;43.620277,-7.318333;http://www.turismo.gal/ficha-recurso?cod_rec=10163
Lugo;27;Foz;27019;Llás;;760;Praia aberta;Fina;43.580277,-7.262778;http://www.turismo.gal/ficha-recurso?cod_rec=9836  
Lugo;27;Foz;27019;Peizás;;540;Praia aberta;Fina;43.5875,-7.27861;http://www.turismo.gal/ficha-recurso?cod_rec=10161  
Lugo;27;Ribadeo;27051;A Praia das Catedrais;;Monumento Natural: 28,94 ha, das cales 20 ha son augas mariñas. LIC: 304,36 ha;;;43.554221,-7.155308;http://www.turismo.gal/ficha-recurso?cod_rec=32008
Lugo;27;Ribadeo;27051;Os Castros-Illas;A Rochela - A Devesa (Santalla);500;Praia aberta;Fina;43.55534,-7.132955;http://www.turismo.gal/ficha-recurso?cod_rec=9823  
Lugo;27;Vicedo, O;27064;Abrela;Abrela - Suegos (Santa María);950;Praia resgardada;Fina;43.701822,-7.612778;https://www.turismo.gal/recurso/-/detalle/9853
Lugo;27;Vicedo, O;27064;Xilloi;Xilloi - O Vicedo (Santo Estevo);940;Praia resgardada;Fina;43.743777,-7.650277;http://www.turismo.gal/ficha-recurso?cod_rec=9852
Lugo;27;Viveiro;27066;Area;Area - Faro (San Xiao);1200;Praia resgardada;Fina;43.694166,-7.57611;http://www.turismo.gal/ficha-recurso?cod_rec=10146
Lugo;27;Xove;27025;Esteiro;Ceranzos - Xuances (San Pedro);400;Praia aberta;Fina;43.711944,-7.559139;http://www.turismo.gal/ficha-recurso?cod_rec=10148  
Pontevedra;36;Bueu;36004;Area de Bon;Bon de Arriba - Beluso (Santa María);1000;Praia aberta;Fina;42.314361,-8.818888;http://www.turismo.gal/ficha-recurso?cod_rec=10464  
Pontevedra;36;Bueu;36004;Lagos;Montemogos - Beluso (Santa María);250;Praia resgardada;Fina;42.324508,-8.825548;http://www.turismo.gal/ficha-recurso?cod_rec=10135  
Pontevedra;36;Bueu;36004;Lapamán;;800;Praia aberta;Fina;42.341944,-8.7525;http://www.turismo.gal/ficha-recurso?cod_rec=11370
Pontevedra;36;Bueu;36004;Portomaior;Castrelo - Cela (Santa María);750;Praia aberta;Fina;42.334527,-8.768388;http://www.turismo.gal/ficha-recurso?cod_rec=10132  
Pontevedra;36;Cangas ;36008;Area Brava;Vilanova - O Hío (Santo André);800;Praia resgardada;Fina;42.291333,-8.844889;http://www.turismo.gal/ficha-recurso?cod_rec=10478  
Pontevedra;36;Cangas ;36008;Area Milla;Balea - Darbo (Santa María);150;Praia resgardada;Fina;42.249916,-8.794333;http://www.turismo.gal/ficha-recurso?cod_rec=10486  
Pontevedra;36;Cangas ;36008;Liméns; ;500;Praia resgardada;Fina;42.259972,-8.814028;http://www.turismo.gal/ficha-recurso?cod_rec=36672  
Pontevedra;36;Cangas ;36008;Melide (Espazo Natural Cabo Home); ;250;Praia aberta;Fina;42.251833,-8.866417;http://www.turismo.gal/ficha-recurso?cod_rec=10483  
Pontevedra;36;Cangas ;36008;Menduíña;Menduíña - Aldán (San Cibrán);250;Praia resgardada;Fina;42.295583,-8.820249;http://www.turismo.gal/ficha-recurso?cod_rec=10466  
Pontevedra;36;Cangas ;36008;Nerga (Espazo Natural Cabo Home);Nerga - O Hío (Santo André);1000;Praia resgardada;Fina;42.258858,-8.840135;http://www.turismo.gal/ficha-recurso?cod_rec=10485  
Pontevedra;36;Cangas ;36008;Rodeira; ;1100;Praia resgardada;Fina;42.261778,-8.769694;http://www.turismo.gal/ficha-recurso?cod_rec=10136  
Pontevedra;36;Guarda, A;36023;Area Grande;A Guarda - A Guarda (Santa María);300;Praia resgardada;Fina;41.91025,-8.876166;http://www.turismo.gal/ficha-recurso?cod_rec=10526  
Pontevedra;36;Guarda, A;36023;O Muíño;O Muíño - Camposancos (Santa Isabel);2000;Praia aberta;Fina;41.876444,-8.862944;http://www.turismo.gal/ficha-recurso?cod_rec=10529  
Pontevedra;36;Illa de Arousa, A;36901;Area de Secada;;500;Praia resgardada;Fina;42.567972,-8.887111;http://www.turismo.gal/ficha-recurso?cod_rec=10092  
Pontevedra;36;Illa de Arousa, A;36901;Camaxe; ;;Praia resgardada;Grosa;42.544389,-8.867499;http://www.turismo.gal/ficha-recurso?cod_rec=258852417  
Pontevedra;36;Marín;36026;Aguete;Aguete - Seixo (Nosa Señora do Carme);920;Praia resgardada;Fina;42.37386,-8.731472;http://www.turismo.gal/ficha-recurso?cod_rec=10140  
Pontevedra;36;Marín;36026;Loira;Loira - Seixo (Nosa Señora do Carme);420;Praia resgardada;Fina;42.368397,-8.740332;https://www.turismo.gal/recurso?cod_rec=10141
Pontevedra;36;Marín;36026;Mogor;O Monte - Mogor (San Xurxo);400;Praia resgardada;Fina;42.385972,-8.719416;http://www.turismo.gal/ficha-recurso?cod_rec=10139  
Pontevedra;36;Marín;36026;O Santo-Cobiña;Casás - Ardán (Santa María);350;Praia resgardada;Fina;42.348889,-8.751444;http://www.turismo.gal/ficha-recurso?cod_rec=10454
Pontevedra;36;Marín;36026;Portocelo;O Monte - Mogor (San Xurxo);225;Praia resgardada;Fina;42.390027,-8.71425;http://www.turismo.gal/ficha-recurso?cod_rec=10138  
Pontevedra;36;Moaña;36029;O Con;O Con - Tirán (San Xoán);150;Praia aberta;Fina;42.271083,-8.740527;http://www.turismo.gal/ficha-recurso?cod_rec=10143
Pontevedra;36;Poio;36041;Cabeceira;Campelo - Poio (San Xoán);200;Praia resgardada;Fina;42.422453,-8.6823;http://www.turismo.gal/ficha-recurso?cod_rec=9796  
Pontevedra;36;Ponte Caldelas;36043;Praia fluvial da Calzada;Paseo de Manuel Gordo Boullosa - Ponte Caldelas (Santa Eulalia); ;;;42.39131,-8.491745;http://www.turismo.gal/recurso?cod_rec=160512000048
Pontevedra;36;Sanxenxo;36051;A Lanzada;;2300;Praia aberta;Fina;42.441258,-8.872075;http://www.turismo.gal/ficha-recurso?cod_rec=9739  
Pontevedra;36;Sanxenxo;36051;A Lapa;A Lanzada - Noalla (Santo Estevo);250;Praia aberta;Fina;42.434313,-8.8722694;http://www.turismo.gal/ficha-recurso?cod_rec=9743
Pontevedra;36;Sanxenxo;36051;Area da Agra;Areas – Dorrón (San Xoán);260;Praia resgardada;Fina;42.394619,-8.7702212;http://www.turismo.gal/ficha-recurso?cod_rec=9771 
Pontevedra;36;Sanxenxo;36051;Areas;Areas - Bordóns (San Pedro);350;Praia aberta;Fina;42.39463800,-8.77880500;http://www.turismo.gal/recurso?cod_rec=9767
Pontevedra;36;Sanxenxo;36051;Areas Gordas  ; ;250;Praia aberta;Fina;42.430972,-8.87261;http://www.turismo.gal/ficha-recurso?cod_rec=9746  
Pontevedra;36;Sanxenxo;36051;Baltar;Baltar - Adina (Santa María);600;Praia resgardada;Fina;42.398722,-8.822555;http://www.turismo.gal/ficha-recurso?cod_rec=9778  
Pontevedra;36;Sanxenxo;36051;Bascuas;Aios - Noalla (Santo Estevo);210;Praia aberta;Fina;42.404139,-8.858139;http://www.turismo.gal/ficha-recurso?cod_rec=9750  
Pontevedra;36;Sanxenxo;36051;Canelas;Canelas - Adina (Santa María);400;Praia aberta;Fina;42.389972,-8.831833;http://www.turismo.gal/ficha-recurso?cod_rec=9754  
Pontevedra;36;Sanxenxo;36051;Caneliñas;Portonovo - Adina (Santa María);100;Praia resgardada;Fina;42.39186000,-8.82586000;http://www.turismo.gal/recurso?cod_rec=9755
Pontevedra;36;Sanxenxo;36051;Foxos;A Lanzada - Noalla (Santo Estevo);350;Praia aberta;Fina;42.427138,-8.873694;http://www.turismo.gal/ficha-recurso?cod_rec=9748  
Pontevedra;36;Sanxenxo;36051;Major;;600;Praia aberta;Fina;42.413694,-8.866583;http://www.turismo.gal/ficha-recurso?cod_rec=9749  
Pontevedra;36;Sanxenxo;36051;Montalvo;;900;Praia aberta;Fina;42.398944,-8.848194;http://www.turismo.gal/ficha-recurso?cod_rec=9751  
Pontevedra;36;Sanxenxo;36051;O Espiñeiro;A Lanzada - Noalla (Santo Estevo);150;Praia aberta;Fina;42.4377818,-8.8723175;http://www.turismo.gal/ficha-recurso?cod_rec=11362 
Pontevedra;36;Sanxenxo;36051;Panadeira;Sanxenxo - Padriñán (San Xenxo);80;Praia resgardada;Fina;42.400663,-8.803876;https://www.turismo.gal/recurso?cod_rec=9761
Pontevedra;36;Sanxenxo;36051;Paxariñas;Paxariñas - Adina (Santa María);100;Praia resgardada;Fina;42.391639,-8.844083;http://www.turismo.gal/ficha-recurso?cod_rec=9753
Pontevedra;36;Sanxenxo;36051;Pragueira; ;300;Praia aberta;Fina;42.409472,-8.862528;http://www.turismo.gal/ficha-recurso?cod_rec=10450  
Pontevedra;36;Sanxenxo;36051;Silgar;Sanxenxo - Padriñán (San Xenxo);600;Praia aberta;Fina;42.401472,-8.812917;http://www.turismo.gal/ficha-recurso?cod_rec=9757  
Pontevedra;36;Vigo;36057;A Punta;;200;Praia resgardada;Fina;42.260028,-8.697027;http://www.turismo.gal/ficha-recurso?cod_rec=17431  
Pontevedra;36;Vigo;36057;Argazada;;410;Praia resgardada;Fina;42.215944,-8.776055;http://www.turismo.gal/ficha-recurso?cod_rec=30565  
Pontevedra;36;Vigo;36057;Canido;Canido - Oia (San Miguel);300;Praia resgardada;Fina;42.194139,-8.796805;http://www.turismo.gal/ficha-recurso?cod_rec=10127  
Pontevedra;36;Vigo;36057;Carril ;A Igrexa – Alcabre (Santa Baia);600;Praia resgardada;Fina;42.223296,-8.7655534;http://www.turismo.gal/ficha-recurso?cod_rec=10502 
Pontevedra;36;Vigo;36057;Fontaíña (A Sirenita);Breadouro - Coruxo (San Salvador);280;Praia resgardada;Fina;42.199555,-8.786416;http://www.turismo.gal/ficha-recurso?cod_rec=10508  
Pontevedra;36;Vigo;36057;O Vao;Fontela - Coruxo (San Salvador);800;Praia resgardada;Fina;42.197222,-8.792166;http://www.turismo.gal/ficha-recurso?cod_rec=10126  
Pontevedra;36;Vigo;36057;Os Muíños - Fortiñón;A Corveira - Saiáns (San Xurxo);150;Praia resgardada;Fina;42.17461,-8.813806;http://www.turismo.gal/ficha-recurso?cod_rec=10514  
Pontevedra;36;Vigo;36057;Rodas (Illas Cíes);Illas Cíes;1300;Praia aberta;Fina;42.222916,-8.902917;http://www.turismo.gal/ficha-recurso?cod_rec=10480  
Pontevedra;36;Vigo;36057;Samil;Samil - Navia (San Paio);1700;Praia resgardada;Fina;42.212410,-8.775560;https://www.turismo.gal/recurso?cod_rec=10125
Pontevedra;36;Vigo;36057;Tombo do Gato;;;Praia resgardada;Fina;42.220083,-8.775749;http://www.turismo.gal/ficha-recurso?cod_rec=30566  
Pontevedra;36;Vilagarcía de Arousa;36060;Compostela;Vilagarcía (San Baia);2000;Praia resgardada;Fina;42.604798,-8.7695076;http://www.turismo.gal/ficha-recurso?cod_rec=10090 
Pontevedra;36;Vilagarcía de Arousa;36060;O Campanario;O Campanario – Bamio (San Xens);130;Praia resgardada;Fina;42.632789,-8.7626038;http://www.turismo.gal/ficha-recurso?cod_rec=11353 
