PROVINCIA,CODIGO-PROVINCIA,AYUNTAMIENTO,CODIGO-AYUNTAMIENTO,PLAYA,UBICACION,LONGITUD-PLAYA,TIPO-PLAYA,TIPO-DE-ARENA,LATITUD,LONGITUD,MAS-INFORMACION
Lugo,27,Foz,27019,Peizas,,540,Playa abierta,Fina,43.5875,-7.27861,http://www.turismo.gal/ficha-recurso?cod_rec=10161
Lugo,27,Ribadeo,27051,A Praia das Catedrais,,880,,,43.554221,-7.155308,http://www.turismo.gal/ficha-recurso?cod_rec=32008
Lugo,27,Ribadeo,27051,Os Castros-Illas,A Rochela - A Devesa (Santalla),500,Playa abierta,Fina,43.55534,-7.132955,http://www.turismo.gal/ficha-recurso?cod_rec=9823
Lugo,27,"Vicedo, O",27064,Abrela,Abrela - Suegos (Santa Maria),950,Playa resguardada,Fina,43.701822,-7.612778,https://www.turismo.gal/recurso/-/detalle/9853
Lugo,27,"Vicedo, O",27064,Xilloi,Xilloi - O Vicedo (Santo Estevo),940,Playa resguardada,Fina,43.743777,-7.650277,http://www.turismo.gal/ficha-recurso?cod_rec=9852
Lugo,27,Viveiro,27066,Area,Area - Faro (San Xiao),1200,Playa resguardada,Fina,43.694166,-7.57611,http://www.turismo.gal/ficha-recurso?cod_rec=10146
Lugo,27,Xove,27025,Esteiro,Ceranzos - Xuances (San Pedro),400,Playa abierta,Fina,43.711944,-7.559139,http://www.turismo.gal/ficha-recurso?cod_rec=10148
Pontevedra,36,Bueu,36004,Area de Bon,Bon de Arriba - Beluso (Santa Maria),1000,Playa abierta,Fina,42.314361,-8.818888,http://www.turismo.gal/ficha-recurso?cod_rec=10464
Pontevedra,36,Bueu,36004,Lagos,Montemogos - Beluso (Santa Maria),250,Playa resguardada,Fina,42.324508,-8.825548,http://www.turismo.gal/ficha-recurso?cod_rec=10135
Pontevedra,36,Bueu,36004,Lapaman,,800,Playa abierta,Fina,42.341944,-8.7525,http://www.turismo.gal/ficha-recurso?cod_rec=11370
Pontevedra,36,Bueu,36004,Portomaior,Castrelo - Cela (Santa Maria),750,Playa abierta,Fina,42.334527,-8.768388,http://www.turismo.gal/ficha-recurso?cod_rec=10132
Pontevedra,36,Cangas,36008,Area Brava,Vilanova - O Hio (Santo Andre),800,Playa resguardada,Fina,42.291333,-8.844889,http://www.turismo.gal/ficha-recurso?cod_rec=10478
Pontevedra,36,Cangas,36008,Area Milla,Balea - Darbo (Santa Maria),150,Playa resguardada,Fina,42.249916,-8.794333,http://www.turismo.gal/ficha-recurso?cod_rec=10486
Pontevedra,36,Cangas,36008,Limens,,500,Playa resguardada,Fina,42.259972,-8.814028,http://www.turismo.gal/ficha-recurso?cod_rec=36672
Pontevedra,36,Cangas,36008,Melide (Espazo Natural Cabo Home),,250,Playa abierta,Fina,42.251833,-8.866417,http://www.turismo.gal/ficha-recurso?cod_rec=10483
Pontevedra,36,Cangas,36008,Menduina,Menduina - Aldan (San Cibran),250,Playa resguardada,Fina,42.295583,-8.820249,http://www.turismo.gal/ficha-recurso?cod_rec=10466
Pontevedra,36,Cangas,36008,Nerga (Espazo Natural Cabo Home),Nerga - O Hio (Santo Andre),1000,Playa resguardada,Fina,42.258858,-8.840135,http://www.turismo.gal/ficha-recurso?cod_rec=10485
Pontevedra,36,Cangas,36008,Rodeira,,1100,Playa resguardada,Fina,42.261778,-8.769694,http://www.turismo.gal/ficha-recurso?cod_rec=10136
Pontevedra,36,"Guarda, A",36023,Area Grande,A Guarda - A Guarda (Santa Maria),300,Playa resguardada,Fina,41.91025,-8.876166,http://www.turismo.gal/ficha-recurso?cod_rec=10526
Pontevedra,36,"Guarda, A",36023,O Muino,O Muino - Camposancos (Santa Isabel),2000,Playa abierta,Fina,41.876444,-8.862944,http://www.turismo.gal/ficha-recurso?cod_rec=10529
Pontevedra,36,"Illa de Arousa, A",36901,Area de Secada,,500,Playa resguardada,Fina,42.567972,-8.887111,http://www.turismo.gal/ficha-recurso?cod_rec=10092
Pontevedra,36,"Illa de Arousa, A",36901,Camaxe,,,Playa resguardada,Gruesa,42.544389,-8.867499,http://www.turismo.gal/ficha-recurso?cod_rec=258852417
Pontevedra,36,Marin,36026,Aguete,Aguete - Seixo (Nosa Senora do Carme),920,Playa resguardada,Fina,42.37386,-8.731472,http://www.turismo.gal/ficha-recurso?cod_rec=10140
Pontevedra,36,Marin,36026,Loira,Loira - Seixo (Nosa Senora do Carme),420,Playa resguardada,Fina,42.368397,-8.740332,https://www.turismo.gal/recurso?cod_rec=10141
Pontevedra,36,Marin,36026,Mogor,O Monte - Mogor (San Xurxo),400,Playa resguardada,Fina,42.385972,-8.719416,http://www.turismo.gal/ficha-recurso?cod_rec=10139
Pontevedra,36,Marin,36026,O Santo-Cobina,Casas - Ardan (Santa Maria),350,Playa resguardada,Fina,42.348889,-8.751444,http://www.turismo.gal/ficha-recurso?cod_rec=10454
Pontevedra,36,Marin,36026,Portocelo,O Monte - Mogor (San Xurxo),225,Playa resguardada,Fina,42.390027,-8.71425,http://www.turismo.gal/ficha-recurso?cod_rec=10138
Pontevedra,36,Moana,36029,O Con,O Con - Tiran (San Xoan),150,Playa abierta,Fina,42.271083,-8.740527,http://www.turismo.gal/ficha-recurso?cod_rec=10143
Pontevedra,36,Poio,36041,Cabeceira,Campelo - Poio (San Xoan),200,Playa resguardada,Fina,42.422453,-8.6823,http://www.turismo.gal/ficha-recurso?cod_rec=9796
Pontevedra,36,Ponte Caldelas,36043,Praia fluvial da Calzada,Paseo de Manuel Gordo Boullosa - Ponte Caldelas (Santa Eulalia),,,,42.39131,-8.491745,http://www.turismo.gal/recurso?cod_rec=160512000048
Pontevedra,36,Sanxenxo,36051,A Lanzada,,2300,Playa abierta,Fina,42.441258,-8.872075,http://www.turismo.gal/ficha-recurso?cod_rec=9739
Pontevedra,36,Sanxenxo,36051,A Lapa,A Lanzada - Noalla (Santo Estevo),250,Playa abierta,Fina,42.434313,-8.8722694,http://www.turismo.gal/ficha-recurso?cod_rec=9743
Pontevedra,36,Sanxenxo,36051,Area da Agra,Areas - Dorron (San Xoan),260,Playa resguardada,Fina,42.394619,-8.7702212,http://www.turismo.gal/ficha-recurso?cod_rec=9771
Pontevedra,36,Sanxenxo,36051,Areas,Areas - Bordons (San Pedro),350,Playa abierta,Fina,42.394638,-8.778805,http://www.turismo.gal/recurso?cod_rec=9767
Pontevedra,36,Sanxenxo,36051,Areas Gordas,,250,Playa abierta,Fina,42.430972,-8.87261,http://www.turismo.gal/ficha-recurso?cod_rec=9746
Pontevedra,36,Sanxenxo,36051,Baltar,Baltar - Adina (Santa Maria),600,Playa resguardada,Fina,42.398722,-8.822555,http://www.turismo.gal/ficha-recurso?cod_rec=9778
Pontevedra,36,Sanxenxo,36051,Bascuas,Aios - Noalla (Santo Estevo),210,Playa abierta,Fina,42.404139,-8.858139,http://www.turismo.gal/ficha-recurso?cod_rec=9750
Pontevedra,36,Sanxenxo,36051,Canelas,Canelas - Adina (Santa Maria),400,Playa abierta,Fina,42.389972,-8.831833,http://www.turismo.gal/ficha-recurso?cod_rec=9754
Pontevedra,36,Sanxenxo,36051,Canelinas,Portonovo - Adina (Santa Maria),100,Playa resguardada,Fina,42.39186,-8.82586,http://www.turismo.gal/recurso?cod_rec=9755
Pontevedra,36,Sanxenxo,36051,Foxos,A Lanzada - Noalla (Santo Estevo),350,Playa abierta,Fina,42.427138,-8.873694,http://www.turismo.gal/ficha-recurso?cod_rec=9748
Pontevedra,36,Sanxenxo,36051,Major,,600,Playa abierta,Fina,42.413694,-8.866583,http://www.turismo.gal/ficha-recurso?cod_rec=9749
Pontevedra,36,Sanxenxo,36051,Montalvo,,900,Playa abierta,Fina,42.398944,-8.848194,http://www.turismo.gal/ficha-recurso?cod_rec=9751
Pontevedra,36,Sanxenxo,36051,O Espineiro,A Lanzada - Noalla (Santo Estevo),150,Playa abierta,Fina,42.4377818,-8.8723175,http://www.turismo.gal/ficha-recurso?cod_rec=11362
Pontevedra,36,Sanxenxo,36051,Panadeira,Sanxenxo - Padrinan (San Xenxo),80,Playa resguardada,Fina,42.400663,-8.803876,https://www.turismo.gal/recurso?cod_rec=9761
Pontevedra,36,Sanxenxo,36051,Paxarinas,Paxarinas - Adina (Santa Maria),100,Playa resguardada,Fina,42.391639,-8.844083,http://www.turismo.gal/ficha-recurso?cod_rec=9753
Pontevedra,36,Sanxenxo,36051,Pragueira,,300,Playa abierta,Fina,42.409472,-8.862528,http://www.turismo.gal/ficha-recurso?cod_rec=10450
Pontevedra,36,Sanxenxo,36051,Silgar,Sanxenxo - Padrinan (San Xenxo),600,Playa abierta,Fina,42.401472,-8.812917,http://www.turismo.gal/ficha-recurso?cod_rec=9757
Pontevedra,36,Vigo,36057,A Punta,,200,Playa resguardada,Fina,42.260028,-8.697027,http://www.turismo.gal/ficha-recurso?cod_rec=17431
Pontevedra,36,Vigo,36057,Argazada,,410,Playa resguardada,Fina,42.215944,-8.776055,http://www.turismo.gal/ficha-recurso?cod_rec=30565
Pontevedra,36,Vigo,36057,Canido,Canido - Oia (San Miguel),300,Playa resguardada,Fina,42.194139,-8.796805,http://www.turismo.gal/ficha-recurso?cod_rec=10127
Pontevedra,36,Vigo,36057,Carril,A Igrexa - Alcabre (Santa Baia),600,Playa resguardada,Fina,42.223296,-8.7655534,http://www.turismo.gal/ficha-recurso?cod_rec=10502
Pontevedra,36,Vigo,36057,Fontaina (A Sirenita),Breadouro - Coruxo (San Salvador),280,Playa resguardada,Fina,42.199555,-8.786416,http://www.turismo.gal/ficha-recurso?cod_rec=10508
Pontevedra,36,Vigo,36057,O Vao,Fontela - Coruxo (San Salvador),800,Playa resguardada,Fina,42.197222,-8.792166,http://www.turismo.gal/ficha-recurso?cod_rec=10126
Pontevedra,36,Vigo,36057,Os Muinos - Fortinon,A Corveira - Saians (San Xurxo),150,Playa resguardada,Fina,42.17461,-8.813806,http://www.turismo.gal/ficha-recurso?cod_rec=10514
Pontevedra,36,Vigo,36057,Rodas (Illas Cies),Illas Cies,1300,Playa abierta,Fina,42.222916,-8.902917,http://www.turismo.gal/ficha-recurso?cod_rec=10480
Pontevedra,36,Vigo,36057,Samil,Samil - Navia (San Paio),1700,Playa resguardada,Fina,42.21241,-8.77556,https://www.turismo.gal/recurso?cod_rec=10125
Pontevedra,36,Vigo,36057,Tombo do Gato,,180,Playa resguardada,Fina,42.220083,-8.775749,http://www.turismo.gal/ficha-recurso?cod_rec=30566
Pontevedra,36,Vilagarcia de Arousa,36060,Compostela,Vilagarcia (San Baia),2000,Playa resguardada,Fina,42.604798,-8.7695076,http://www.turismo.gal/ficha-recurso?cod_rec=10090
Pontevedra,36,Vilagarcia de Arousa,36060,O Campanario,O Campanario - Bamio (San Xens),130,Playa resguardada,Fina,42.632789,-8.7626038,http://www.turismo.gal/ficha-recurso?cod_rec=11353
