idGen,Product,WasteType
464,Unlabeled litter,General
465,Unlabeled litter,General
466,Unlabeled litter,General
467,Unlabeled litter,General
468,Unlabeled litter,General
470,Drink can,General
471,Pop tab,General
472,Tissues,General
473,Cigarette,General
474,Cigarette,General
475,Cigarette,General
476,Cigarette,General
477,Cigarette,General
478,Cigarette,General
479,Normal paper,General
480,Normal paper,General
481,Cigarette,General
482,Cigarette,General
483,Cigarette,General
484,Cigarette,General
485,Cigarette,General
487,Other carton,General
488,Cigarette,General
489,Cigarette,General
490,Cigarette,General
491,Cigarette,General
492,Cigarette,General
493,Cigarette,General
494,Cigarette,General
495,Cigarette,General
496,Cigarette,General
497,Cigarette,General
498,Cigarette,General
499,Cigarette,General
500,Unlabeled litter,General
501,Unlabeled litter,General
502,Other carton,General
503,Other carton,General
504,Cigarette,General
505,Cigarette,General
506,Cigarette,General
507,Normal paper,General
508,Magazine paper,General
509,Drink carton,General
510,Unlabeled litter,General
512,Unlabeled litter,General
514,Cigarette,General
522,Cigarette,General
523,Cigarette,General
524,Cigarette,General
529,Plastic straw,General
531,Other carton,General
533,Unlabeled litter,General
534,Unlabeled litter,General
535,Unlabeled litter,General
536,Unlabeled litter,General
537,Unlabeled litter,General
538,Broken glass,General
539,Broken glass,General
543,Unlabeled litter,General
545,Unlabeled litter,General
546,Unlabeled litter,General
547,Unlabeled litter,General
550,Unlabeled litter,General
551,Unlabeled litter,General
554,Styrofoam piece,General
555,Unlabeled litter,General
558,Cigarette,General
567,Aluminium foil,General
569,Unlabeled litter,General
573,Cigarette,General
578,Rope & strings,General
579,Unlabeled litter,General
580,Rope & strings,General
582,Unlabeled litter,General
584,Rope & strings,General
589,Cigarette,General
591,Cigarette,General
592,Unlabeled litter,General
593,Unlabeled litter,General
594,Cigarette,General
597,Unlabeled litter,General
598,Unlabeled litter,General
599,Plastic straw,General
601,Unlabeled litter,General
602,Cigarette,General
603,Cigarette,General
605,Meal carton,General
606,Cigarette,General
607,Cigarette,General
608,Cigarette,General
609,Cigarette,General
612,Unlabeled litter,General
614,Unlabeled litter,General
615,Metal lid,General
616,Metal lid,General
619,Unlabeled litter,General
620,Broken glass,General
621,Metal lid,General
623,Corrugated carton,General
624,Plastic lid,General
627,Cigarette,General
628,Cigarette,General
629,Unlabeled litter,General
630,Cigarette,General
632,Cigarette,General
633,Cigarette,General
634,Tissues,General
635,Other carton,General
636,Disposable plastic cup,General
637,Disposable plastic cup,General
638,Unlabeled litter,General
639,Unlabeled litter,General
640,Rope & strings,General
642,Unlabeled litter,General
643,Unlabeled litter,General
644,Unlabeled litter,General
645,Unlabeled litter,General
647,Tissues,General
648,Unlabeled litter,General
651,Unlabeled litter,General
654,Unlabeled litter,General
655,Unlabeled litter,General
656,Unlabeled litter,General
658,Unlabeled litter,General
659,Unlabeled litter,General
660,Unlabeled litter,General
661,Unlabeled litter,General
662,Cigarette,General
663,Unlabeled litter,General
665,Unlabeled litter,General
666,Disposable plastic cup,General
668,Aluminium blister pack,General
669,Unlabeled litter,General
670,Unlabeled litter,General
671,Unlabeled litter,General
672,Cigarette,General
673,Aluminium foil,General
674,Disposable plastic cup,General
675,Cigarette,General
676,Broken glass,General
677,Cigarette,General
678,Unlabeled litter,General
679,Unlabeled litter,General
682,Styrofoam piece,General
683,Corrugated carton,General
684,Corrugated carton,General
686,Styrofoam piece,General
687,Corrugated carton,General
688,Corrugated carton,General
689,Styrofoam piece,General
690,Styrofoam piece,General
691,Corrugated carton,General
692,Styrofoam piece,General
693,Corrugated carton,General
694,Corrugated carton,General
695,Corrugated carton,General
696,Styrofoam piece,General
697,Styrofoam piece,General
698,Styrofoam piece,General
699,Corrugated carton,General
700,Corrugated carton,General
701,Styrofoam piece,General
702,Corrugated carton,General
703,Corrugated carton,General
704,Corrugated carton,General
705,Corrugated carton,General
706,Styrofoam piece,General
707,Styrofoam piece,General
708,Corrugated carton,General
709,Corrugated carton,General
711,Corrugated carton,General
712,Corrugated carton,General
713,Corrugated carton,General
714,Corrugated carton,General
715,Corrugated carton,General
716,Corrugated carton,General
717,Pizza box,General
718,Corrugated carton,General
719,Corrugated carton,General
720,Corrugated carton,General
721,Corrugated carton,General
722,Corrugated carton,General
723,Corrugated carton,General
724,Corrugated carton,General
725,Styrofoam piece,General
726,Styrofoam piece,General
727,Styrofoam piece,General
728,Cigarette,General
729,Cigarette,General
730,Cigarette,General
731,Corrugated carton,General
732,Styrofoam piece,General
733,Styrofoam piece,General
735,Scrap metal,General
736,Scrap metal,General
737,Scrap metal,General
738,Scrap metal,General
739,Scrap metal,General
740,Scrap metal,General
743,Styrofoam piece,General
744,Styrofoam piece,General
745,Rope & strings,General
750,Shoe,General
753,Plastic straw,General
755,Styrofoam piece,General
757,Styrofoam piece,General
769,Other carton,General
771,Tissues,General
773,Styrofoam piece,General
775,Magazine paper,General
776,Paper cup,General
777,Meal carton,General
778,Meal carton,General
779,Unlabeled litter,General
780,Meal carton,General
782,Meal carton,General
783,Normal paper,General
784,Drink can,General
785,Paper cup,General
791,Paper cup,General
794,Drink can,General
795,Pop tab,General
796,Unlabeled litter,General
799,Plastic lid,General
800,Paper cup,General
801,Other carton,General
803,Corrugated carton,General
804,Rope & strings,General
805,Styrofoam piece,General
806,Unlabeled litter,General
808,Unlabeled litter,General
809,Aluminium foil,General
810,Unlabeled litter,General
815,Unlabeled litter,General
816,Styrofoam piece,General
821,Unlabeled litter,General
825,Drink carton,General
826,Plastic straw,General
827,Styrofoam piece,General
829,Styrofoam piece,General
834,Styrofoam piece,General
841,Unlabeled litter,General
842,Styrofoam piece,General
845,Styrofoam piece,General
851,Styrofoam piece,General
855,Styrofoam piece,General
856,Styrofoam piece,General
858,Styrofoam piece,General
859,Unlabeled litter,General
860,Styrofoam piece,General
869,Styrofoam piece,General
872,Styrofoam piece,General
881,Paper cup,General
882,Unlabeled litter,General
883,Unlabeled litter,General
884,Other carton,General
886,Cigarette,General
887,Cigarette,General
892,Wrapping paper,General
897,Unlabeled litter,General
898,Unlabeled litter,General
899,Unlabeled litter,General
900,Unlabeled litter,General
901,Drink carton,General
902,Plastic straw,General
903,Cigarette,General
904,Cigarette,General
905,Drink carton,General
906,Unlabeled litter,General
907,Plastic straw,General
909,Unlabeled litter,General
910,Unlabeled litter,General
911,Cigarette,General
912,Cigarette,General
913,Cigarette,General
914,Cigarette,General
915,Cigarette,General
916,Cigarette,General
918,Cigarette,General
924,Cigarette,General
925,Unlabeled litter,General
927,Paper cup,General
928,Unlabeled litter,General
930,Cigarette,General
931,Other carton,General
937,Drink can,General
939,Tissues,General
940,Plastic straw,General
946,Wrapping paper,General
951,Cigarette,General
953,Scrap metal,General
955,Paper cup,General
957,Disposable plastic cup,General
958,Drink can,General
960,Foam cup,General
967,Cigarette,General
968,Paper cup,General
969,Cigarette,General
972,Disposable plastic cup,General
973,Drink can,General
974,Unlabeled litter,General
977,Cigarette,General
978,Cigarette,General
979,Cigarette,General
980,Cigarette,General
981,Cigarette,General
982,Cigarette,General
983,Cigarette,General
984,Cigarette,General
985,Cigarette,General
986,Cigarette,General
987,Cigarette,General
988,Cigarette,General
989,Cigarette,General
990,Cigarette,General
991,Cigarette,General
992,Cigarette,General
993,Cigarette,General
994,Cigarette,General
995,Cigarette,General
996,Cigarette,General
997,Cigarette,General
998,Unlabeled litter,General
999,Cigarette,General
1000,Cigarette,General
1001,Cigarette,General
1003,Unlabeled litter,General
1028,Cigarette,General
1029,Cigarette,General
1030,Cigarette,General
1031,Cigarette,General
1032,Cigarette,General
1033,Paper cup,General
1034,Paper cup,General
1035,Cigarette,General
1036,Cigarette,General
1037,Cigarette,General
1038,Cigarette,General
1039,Cigarette,General
1040,Cigarette,General
1041,Unlabeled litter,General
1042,Unlabeled litter,General
1043,Paper cup,General
1044,Cigarette,General
1045,Wrapping paper,General
1046,Unlabeled litter,General
1047,Cigarette,General
1048,Unlabeled litter,General
1049,Unlabeled litter,General
1050,Unlabeled litter,General
1051,Unlabeled litter,General
1052,Paper cup,General
1053,Cigarette,General
1055,Unlabeled litter,General
1056,Aluminium blister pack,General
1059,Plastic straw,General
1060,Unlabeled litter,General
1061,Tissues,General
1062,Unlabeled litter,General
1063,Unlabeled litter,General
1064,Plastic straw,General
1065,Plastic straw,General
1068,Normal paper,General
1069,Normal paper,General
1070,Normal paper,General
1071,Normal paper,General
1072,Unlabeled litter,General
1073,Unlabeled litter,General
1081,Cigarette,General
1082,Paper bag,General
1084,Cigarette,General
1086,Unlabeled litter,General
1088,Cigarette,General
1091,Drink carton,General
1092,Plastic straw,General
1099,Drink can,General
1104,Other carton,General
1105,Paper cup,General
1107,Aluminium foil,General
1108,Aluminium blister pack,General
1109,Unlabeled litter,General
1110,Unlabeled litter,General
1111,Unlabeled litter,General
1112,Unlabeled litter,General
1113,Unlabeled litter,General
1118,Unlabeled litter,General
1119,Unlabeled litter,General
1120,Normal paper,General
1125,Unlabeled litter,General
1127,Drink can,General
1128,Drink can,General
1129,Drink can,General
1132,Other carton,General
1135,Drink can,General
1137,Disposable plastic cup,General
1138,Plastic straw,General
1139,Plastic straw,General
1140,Plastic lid,General
1141,Disposable plastic cup,General
1142,Cigarette,General
1143,Cigarette,General
1144,Plastic lid,General
1145,Cigarette,General
1146,Corrugated carton,General
1147,Corrugated carton,General
1153,Disposable plastic cup,General
1156,Cigarette,General
1158,Rope & strings,General
1159,Disposable plastic cup,General
1160,Unlabeled litter,General
1161,Cigarette,General
1162,Cigarette,General
1163,Cigarette,General
1164,Cigarette,General
1165,Cigarette,General
1166,Cigarette,General
1167,Cigarette,General
1168,Cigarette,General
1169,Rope & strings,General
1173,Unlabeled litter,General
1174,Unlabeled litter,General
1175,Unlabeled litter,General
1176,Cigarette,General
1178,Cigarette,General
1179,Cigarette,General
1180,Cigarette,General
1189,Unlabeled litter,General
1190,Cigarette,General
1191,Cigarette,General
1192,Cigarette,General
1194,Disposable plastic cup,General
1195,Drink can,General
1196,Disposable plastic cup,General
1203,Unlabeled litter,General
1204,Unlabeled litter,General
1206,Unlabeled litter,General
1208,Cigarette,General
1211,Normal paper,General
1214,Other carton,General
1215,Other carton,General
1216,Unlabeled litter,General
1243,Unlabeled litter,General
1263,Normal paper,General
1269,Unlabeled litter,General
1273,Unlabeled litter,General
1275,Plastic straw,General
1276,Plastic lid,General
1277,Unlabeled litter,General
1282,Styrofoam piece,General
1283,Styrofoam piece,General
1284,Styrofoam piece,General
1285,Unlabeled litter,General
1292,Styrofoam piece,General
1293,Styrofoam piece,General
1294,Unlabeled litter,General
1296,Plastic straw,General
1297,Unlabeled litter,General
1298,Unlabeled litter,General
1299,Drink carton,General
1303,Carded blister pack,General
1305,Unlabeled litter,General
1306,Unlabeled litter,General
1307,Plastic straw,General
1308,Disposable plastic cup,General
1313,Disposable plastic cup,General
1315,Disposable plastic cup,General
1316,Plastic straw,General
1317,Plastic straw,General
1318,Unlabeled litter,General
1320,Disposable plastic cup,General
1321,Unlabeled litter,General
1322,Unlabeled litter,General
1323,Disposable plastic cup,General
1324,Plastic straw,General
1325,Plastic straw,General
1326,Drink can,General
1327,Drink can,General
1328,Drink can,General
1332,Normal paper,General
1336,Plastic lid,General
1337,Paper bag,General
1345,Drink can,General
1354,Plastic lid,General
1358,Meal carton,General
1362,Disposable plastic cup,General
1365,Meal carton,General
1370,Plastic lid,General
1374,Plastic straw,General
1375,Unlabeled litter,General
1377,Unlabeled litter,General
1382,Plastic straw,General
1385,Disposable plastic cup,General
1393,Unlabeled litter,General
1394,Plastic straw,General
1395,Plastic lid,General
1396,Disposable plastic cup,General
1398,Disposable plastic cup,General
1399,Plastic lid,General
1400,Plastic straw,General
1405,Disposable plastic cup,General
1407,Plastic lid,General
1411,Unlabeled litter,General
1412,Unlabeled litter,General
1415,Unlabeled litter,General
1416,Unlabeled litter,General
1417,Unlabeled litter,General
1422,Plastic straw,General
1423,Cigarette,General
1424,Normal paper,General
1426,Unlabeled litter,General
1428,Wrapping paper,General
1430,Unlabeled litter,General
1431,Meal carton,General
1432,Unlabeled litter,General
1433,Disposable plastic cup,General
1434,Plastic straw,General
1438,Other carton,General
1439,Other carton,General
1442,Plastic straw,General
1443,Cigarette,General
1444,Disposable plastic cup,General
1445,Plastic lid,General
1446,Plastic straw,General
1451,Other carton,General
1454,Disposable plastic cup,General
1455,Plastic lid,General
1456,Plastic straw,General
1457,Cigarette,General
1462,Plastic straw,General
1463,Drink carton,General
1464,Unlabeled litter,General
1465,Unlabeled litter,General
1466,Unlabeled litter,General
1467,Disposable plastic cup,General
1468,Unlabeled litter,General
1469,Unlabeled litter,General
1471,Unlabeled litter,General
1473,Unlabeled litter,General
1474,Plastic straw,General
1476,Disposable plastic cup,General
1478,Other carton,General
1479,Drink carton,General
1480,Plastic straw,General
1481,Plastic straw,General
1482,Disposable plastic cup,General
1484,Plastic straw,General
1486,Drink carton,General
1487,Plastic straw,General
1489,Plastic straw,General
1492,Plastic straw,General
1495,Plastic straw,General
1496,Plastic straw,General
1497,Plastic straw,General
1498,Plastic straw,General
1499,Disposable plastic cup,General
1501,Plastic lid,General
1506,Plastic straw,General
1507,Plastic straw,General
1508,Plastic straw,General
1509,Plastic straw,General
1510,Plastic straw,General
1511,Plastic straw,General
1512,Plastic straw,General
1513,Plastic straw,General
1514,Plastic straw,General
1515,Plastic straw,General
1516,Plastic straw,General
1517,Plastic straw,General
1518,Plastic straw,General
1519,Plastic straw,General
1520,Plastic straw,General
1521,Plastic straw,General
1522,Plastic straw,General
1523,Plastic straw,General
1524,Plastic straw,General
1525,Plastic straw,General
1526,Plastic straw,General
1527,Plastic straw,General
1528,Plastic straw,General
1529,Plastic straw,General
1532,Drink carton,General
1536,Unlabeled litter,General
1540,Cigarette,General
1542,Unlabeled litter,General
1543,Drink can,General
1546,Drink can,General
1547,Pop tab,General
1550,Styrofoam piece,General
1551,Rope & strings,General
1555,Plastic lid,General
1556,Aluminium foil,General
1564,Drink can,General
1569,Plastic straw,General
1576,Unlabeled litter,General
1577,Drink can,General
1578,Pop tab,General
1579,Drink can,General
1580,Pop tab,General
1583,Plastic straw,General
1584,Drink carton,General
1585,Styrofoam piece,General
1586,Styrofoam piece,General
1587,Rope & strings,General
1588,Unlabeled litter,General
1589,Cigarette,General
1591,Other carton,General
1593,Styrofoam piece,General
1594,Other carton,General
1595,Styrofoam piece,General
1596,Corrugated carton,General
1597,Drink can,General
1598,Drink can,General
1599,Drink can,General
1600,Drink can,General
1601,Drink can,General
1602,Drink can,General
1603,Drink can,General
1604,Drink can,General
1605,Drink can,General
1606,Drink can,General
1607,Drink can,General
1608,Drink can,General
1609,Drink can,General
1610,Drink can,General
1611,Drink can,General
1612,Pop tab,General
1613,Pop tab,General
1614,Pop tab,General
1615,Pop tab,General
1616,Battery,General
1617,Tissues,General
1618,Disposable plastic cup,General
1619,Plastic straw,General
1620,Plastic lid,General
1621,Normal paper,General
1622,Cigarette,General
1623,Other carton,General
1624,Paper bag,General
1627,Foam cup,General
1628,Foam cup,General
1630,Plastic lid,General
1631,Plastic lid,General
1632,Disposable plastic cup,General
1633,Paper cup,General
1634,Drink can,General
1636,Unlabeled litter,General
1637,Paper straw,General
1640,Scrap metal,General
1641,Styrofoam piece,General
1647,Unlabeled litter,General
1648,Pop tab,General
1649,Other carton,General
1656,Other carton,General
1660,Normal paper,General
1662,Drink can,General
1665,Unlabeled litter,General
1666,Cigarette,General
1678,Cigarette,General
1679,Cigarette,General
1681,Drink can,General
1682,Cigarette,General
1683,Cigarette,General
1686,Plastic lid,General
1690,Drink can,General
1691,Pop tab,General
1701,Disposable plastic cup,General
1702,Paper cup,General
1703,Rope & strings,General
1705,Cigarette,General
1707,Plastic straw,General
1714,Unlabeled litter,General
1716,Cigarette,General
1720,Pop tab,General
1723,Unlabeled litter,General
1724,Tissues,General
1725,Other carton,General
1729,Other carton,General
1730,Drink can,General
1732,Other carton,General
1733,Pop tab,General
1734,Paper bag,General
1735,Plastic lid,General
1736,Plastic lid,General
1737,Paper cup,General
1738,Wrapping paper,General
1741,Drink can,General
1749,Disposable plastic cup,General
1750,Cigarette,General
1751,Paper bag,General
1752,Disposable plastic cup,General
1755,Drink can,General
1756,Pop tab,General
1759,Aluminium foil,General
1763,Plastic straw,General
1767,Unlabeled litter,General
1768,Unlabeled litter,General
1770,Cigarette,General
1771,Cigarette,General
1772,Unlabeled litter,General
1773,Drink can,General
1774,Pop tab,General
1775,Drink can,General
1776,Cigarette,General
1779,Broken glass,General
1780,Unlabeled litter,General
1782,Styrofoam piece,General
1783,Styrofoam piece,General
1786,Rope & strings,General
1789,Styrofoam piece,General
1790,Other carton,General
1792,Normal paper,General
1794,Other carton,General
1795,Unlabeled litter,General
1798,Disposable plastic cup,General
1803,Drink can,General
1804,Pop tab,General
1806,Other carton,General
1807,Other carton,General
1808,Normal paper,General
1810,Styrofoam piece,General
1812,Unlabeled litter,General
1817,Drink can,General
1818,Drink can,General
1824,Drink can,General
1825,Scrap metal,General
1826,Unlabeled litter,General
1827,Unlabeled litter,General
1829,Unlabeled litter,General
1834,Plastic straw,General
1836,Styrofoam piece,General
1837,Styrofoam piece,General
1841,Meal carton,General
1844,Unlabeled litter,General
1847,Food Can,General
1848,Pop tab,General
1849,Normal paper,General
1851,Broken glass,General
1852,Broken glass,General
1853,Broken glass,General
1854,Broken glass,General
1855,Broken glass,General
1856,Broken glass,General
1857,Broken glass,General
1858,Broken glass,General
1859,Broken glass,General
1860,Broken glass,General
1861,Broken glass,General
1862,Broken glass,General
1863,Broken glass,General
1864,Broken glass,General
1865,Broken glass,General
1866,Broken glass,General
1867,Broken glass,General
1868,Broken glass,General
1869,Broken glass,General
1870,Broken glass,General
1871,Broken glass,General
1872,Broken glass,General
1873,Broken glass,General
1874,Broken glass,General
1875,Broken glass,General
1876,Broken glass,General
1877,Foam cup,General
1878,Plastic lid,General
1879,Unlabeled litter,General
1880,Foam cup,General
1881,Foam cup,General
1882,Drink can,General
1883,Drink can,General
1884,Pop tab,General
1885,Drink can,General
1886,Drink can,General
1887,Unlabeled litter,General
1889,Paper cup,General
1890,Plastic straw,General
1891,Unlabeled litter,General
1896,Unlabeled litter,General
1897,Disposable plastic cup,General
1898,Plastic lid,General
1899,Normal paper,General
1900,Meal carton,General
1902,Tissues,General
1904,Unlabeled litter,General
1905,Wrapping paper,General
1906,Other carton,General
1907,Unlabeled litter,General
1909,Unlabeled litter,General
1910,Unlabeled litter,General
1911,Unlabeled litter,General
1917,Paper bag,General
1919,Unlabeled litter,General
1921,Cigarette,General
1922,Plastic lid,General
1924,Drink can,General
1925,Pop tab,General
1927,Unlabeled litter,General
1928,Unlabeled litter,General
1930,Unlabeled litter,General
1933,Unlabeled litter,General
1935,Disposable plastic cup,General
1939,Unlabeled litter,General
1941,Unlabeled litter,General
1942,Unlabeled litter,General
1943,Unlabeled litter,General
1944,Broken glass,General
1945,Broken glass,General
1946,Broken glass,General
1947,Cigarette,General
1950,Plastic straw,General
1951,Cigarette,General
1953,Unlabeled litter,General
1954,Unlabeled litter,General
1955,Disposable plastic cup,General
1957,Unlabeled litter,General
1959,Disposable plastic cup,General
1960,Unlabeled litter,General
1963,Unlabeled litter,General
1964,Unlabeled litter,General
1965,Drink can,General
1966,Pop tab,General
1967,Unlabeled litter,General
1968,Styrofoam piece,General
1969,Styrofoam piece,General
1973,Styrofoam piece,General
1978,Broken glass,General
1979,Unlabeled litter,General
1980,Styrofoam piece,General
1981,Wrapping paper,General
1982,Wrapping paper,General
1983,Plastic straw,General
1984,Pop tab,General
1985,Pop tab,General
1986,Pop tab,General
1987,Pop tab,General
1988,Pop tab,General
1990,Unlabeled litter,General
1992,Cigarette,General
1993,Cigarette,General
1994,Cigarette,General
1995,Cigarette,General
1996,Cigarette,General
1997,Cigarette,General
1998,Pop tab,General
1999,Cigarette,General
2000,Cigarette,General
2001,Cigarette,General
2002,Cigarette,General
2005,Plastic lid,General
2006,Plastic straw,General
2008,Unlabeled litter,General
2009,Cigarette,General
2012,Wrapping paper,General
2013,Unlabeled litter,General
2014,Cigarette,General
2016,Unlabeled litter,General
2017,Cigarette,General
2018,Unlabeled litter,General
2019,Unlabeled litter,General
2023,Plastic straw,General
2024,Unlabeled litter,General
2025,Cigarette,General
2031,Plastic straw,General
2036,Plastic straw,General
2037,Plastic straw,General
2038,Unlabeled litter,General
2039,Plastic straw,General
2040,Tissues,General
2042,Cigarette,General
2043,Cigarette,General
2044,Cigarette,General
2045,Cigarette,General
2046,Cigarette,General
2047,Cigarette,General
2048,Cigarette,General
2049,Cigarette,General
2050,Drink can,General
2051,Cigarette,General
2053,Unlabeled litter,General
2054,Unlabeled litter,General
2055,Foam cup,General
2056,Paper cup,General
2057,Unlabeled litter,General
2059,Plastic lid,General
2060,Plastic lid,General
2061,Drink can,General
2062,Unlabeled litter,General
2063,Paper cup,General
2064,Plastic lid,General
2065,Unlabeled litter,General
2066,Broken glass,General
2067,Broken glass,General
2068,Broken glass,General
2069,Broken glass,General
2070,Broken glass,General
2071,Broken glass,General
2072,Broken glass,General
2073,Broken glass,General
2074,Broken glass,General
2075,Broken glass,General
2076,Broken glass,General
2077,Broken glass,General
2078,Broken glass,General
2079,Broken glass,General
2080,Paper cup,General
2085,Disposable plastic cup,General
2086,Tissues,General
2087,Cigarette,General
2088,Disposable plastic cup,General
2091,Styrofoam piece,General
2095,Unlabeled litter,General
2096,Unlabeled litter,General
2097,Disposable plastic cup,General
2098,Unlabeled litter,General
2101,Plastic straw,General
2102,Plastic straw,General
2105,Tissues,General
2108,Cigarette,General
2109,Cigarette,General
2110,Cigarette,General
2113,Scrap metal,General
