PK,Name,Schedule,hasBusNear,hasMetroNear,hasCercaniasNear,hasTranviaNear,Description,Accesibility,Url,StreetName,StreetType,StreetNumber,PostalCode,Neighborhood,same_as_wikidata_neighborhood,District,same_as_wikidata_district,CoorX,CoorY,Latitude,Longitude,Telephone,Email,Public
81736,Aparcamiento mixto. Corona Boreal,,,,,,Plazas: 120 públicas y 125 para residentes  Información sobre accesibilidad:  No tiene escaleras adaptadas Ascensor de salida a la calle Pérez de Victoria 2 aseos accesibles (1&amp;ordf; planta) Plazas para minusválidos residentes: 3    Abierto 24 horas   Titularidad: Ayuntamiento de Madrid,true,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=db8bc2c6e051c010VgnVCM2000000c205a0aRCRD,PEREZ DE VICTORIA,CALLE PEREZ DE VICTORIA,,28023,Aravaca,http://www.wikidata.org/entity/Q3314682,Moncloa-Aravaca,http://www.wikidata.org/entity/Q2017682,433707,4479153,40.45852127134047,-3.78317943069732,913 573 714,parkingcoronaboreal@hotmail.com,false
183748,Aparcamiento mixto. Daoíz y Velarde,,,,,,Plazas: 312 públicas y 174 para residentes Abierto 24 horas  Titularidad: Ayuntamiento de Madrid,false,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=0f85bdc85c01c010VgnVCM2000000c205a0aRCRD,CIUDAD DE BARCELONA,AVENIDA CIUDAD DE BARCELONA,3,28007,Pacífico,http://www.wikidata.org/entity/Q3773753,Retiro,http://www.wikidata.org/entity/Q2002296,441999,4472969,40.40532154127827,-3.683544138638221,S/T,,false
44724,Aparcamiento mixto. Díaz Porlier,,,,,,Plazas: 203 públicas y 421 para residentes Abierto 24 horas  Titularidad: Ayuntamiento de Madrid,false,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=9e69946be351c010VgnVCM2000000c205a0aRCRD,DIEGO DE LEON,CALLE DIEGO DE LEON,62,28006,Lista,http://www.wikidata.org/entity/Q4779,Salamanca,http://www.wikidata.org/entity/Q1773521,442797,4476402,40.434415601006386,-3.675728293375598,91 401 73 74,,false
36269,Aparcamiento mixto. Encuentro,,,,,,Plazas: 104 públicas y 550 para residentes Abierto 24 horas  Titularidad: Ayuntamiento de Madrid,false,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=c3e12c798651c010VgnVCM2000000c205a0aRCRD,ENCUENTRO,PLAZA ENCUENTRO,1,28030,Media Legua,http://www.wikidata.org/entity/Q9031035,Moratalaz,http://www.wikidata.org/entity/Q2076109,444782,4473212,40.40581270738191,-3.652048809515808,91 328 36 80,,false
13464,Aparcamiento mixto. Felipe II,,,,,,Plazas: 1175 públicas rotacionales y 615 para residentes  Información sobre accesibilidad:   No tiene escaleras adaptadas Ascensor de salida a la plaza de Felipe II Aseo accesible (1&amp;ordf; planta) Plazas para minusválidos residentes:23   Abierto 24 horas   Admite tarjeta BonoRed   Titularidad: Ayuntamiento de Madrid,false,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=425e15cbed51c010VgnVCM2000000c205a0aRCRD,ANTONIA MERCE,CALLE ANTONIA MERCE,5,28009,Goya,http://www.wikidata.org/entity/Q3814578,Salamanca,http://www.wikidata.org/entity/Q1773521,442874,4475061,40.42422175692137,-3.673433652213169,,,false
13462,Aparcamiento mixto. Fuencarral,,,,,,"Plazas: 410 públicas y 111 para residentes  Información sobre accesibilidad:   No tiene escalera adaptada 1 ascensor con salida a la calle Fuencarral, 117 1 aseo accesible en la 1&amp;ordf; planta Plazas para minusválidos residentes: 7   Abierto 24 horas   Admite Tarjeta BonoRed   Titularidad: Ayuntamiento de Madrid",false,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=987e15cbed51c010VgnVCM2000000c205a0aRCRD,FUENCARRAL,CALLE FUENCARRAL,111,28010,Trafalgar,http://www.wikidata.org/entity/Q10384027,Chamberí,http://www.wikidata.org/entity/Q1763370,440387,4475666,40.42948845687032,-3.7027941027177986,"Centralita EMT 914 068 810 ----                                                      

Aparcamiento      915 911 200",aparcamientos@emtmadrid.es,false
36270,Aparcamiento mixto. Hernani,,,,,,"Plazas: 115 públicas y 383 residentes  Información sobre accesibilidad:  No tiene escaleras adptadas Ascensor de salida a la calle Hernai, 68 1 aseo accesible en 1&amp;ordf; planta Plazas para minusválidos residentes. 3    Abierto 24 horas   Titularidad: Ayuntamiento de Madrid",false,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=d0712c798651c010VgnVCM2000000c205a0aRCRD,HERNANI,CALLE HERNANI,60,28020,Cuatro Caminos,http://www.wikidata.org/entity/Q5824684,Tetuán,http://www.wikidata.org/entity/Q1773540,440463,4477972,40.448394729978006,-3.7033919552673127,915 545 326,,false
13459,Aparcamiento mixto. Jacinto Benavente,,,,,,"Plazas: 285 públicas y 110 para residentes.  Plazas motos: 7.  Información sobre accesibilidad:   No tiene escaleras adaptadas Ascensor con salida a la calle Jacinto benavente, s/n 1 aseo accesible Plaza para minusválidos residentes: 16  Abierto 24 horas  Titularidad:  Ayuntamiento de Madrid   Gestión: Empresa Municipal de Transportes (EMT) (más información)",false,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=c48f15cbed51c010VgnVCM2000000c205a0aRCRD,JACINTO BENAVENTE,PLAZA JACINTO BENAVENTE,6,28012,Cortes,http://www.wikidata.org/entity/Q2535637,Centro,http://www.wikidata.org/entity/Q1763376,440329,4473996,40.41444016371457,-3.70332112917586,917 877 292 (grúa municipal),aparcamientos@madridmovilidad.es,false
13479,Aparcamiento mixto. José Castán Tobeñas,,,,,,Plazas: 205 públicas y 43 para residentes  Información sobre accesibilidad:  No tiene escaleras adaptadas No disponde ascensor No disponde de aseos accesible Plazas para minusválidos residentes: 5    Abierto 24 horas   Titularidad: Ayuntamiento de Madrid,false,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=35ce15cbed51c010VgnVCM2000000c205a0aRCRD,CAPITAN HAYA,CALLE CAPITAN HAYA,57,28020,Castillejos,http://www.wikidata.org/entity/Q11913212,Tetuán,http://www.wikidata.org/entity/Q1773540,441477,4479747,40.46451060463543,-3.6916467875121377,915 707 612,aeuropeos@gmail.com,false
6143690,Aparcamiento mixto. Marqués de Salamanca,,,,,,Plazas: 360 públicas y 70 para residentes  Información sobre accesibilidad:   No tiene escaleras adaptadas 1 ascensor en la salida a la plaza del Marqués de Salamanca 1 aseo accesible en 2&amp;ordf;  planta Plaza para minusválidos residentes: 14   Abierto 24 horas   Titularidad: Ayuntamiento de Madrid,false,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=cb5b1b2bb5b61310VgnVCM2000000c205a0aRCRD,MARQUES DE SALAMANCA,PLAZA MARQUES DE SALAMANCA,8,28006,Lista,http://www.wikidata.org/entity/Q4779,Salamanca,http://www.wikidata.org/entity/Q1773521,442498,4475966,40.43046723981028,-3.6792137901324056,917 877 292 (grúa municipal),aparcamientos@madridmovilidad.es,false
182188,Aparcamiento mixto. Miguel Yuste,,,,,,Plazas: 182  públicas y 68 para residentes Abierto: 24 horas Admite Tarjeta BonoRed  Titularidad: Ayuntamiento de Madrid,false,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=1c15bdc85c01c010VgnVCM2000000c205a0aRCRD,MIGUEL YUSTE,CALLE MIGUEL YUSTE,11,28037,Simancas,http://www.wikidata.org/entity/Q10371626,San Blas,http://www.wikidata.org/entity/Q2001937,447100,4477013,40.4402052387976,-3.625049272913964,,,false
13465,Aparcamiento mixto. Montalbán,,,,,,Plazas:   145 Residenciales 130 Rotacionales    Abierto 24 horas    Titularidad:  Ayuntamiento de Madrid   Gestión: Empresa Municipal de Transportes (EMT) (más información),true,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=f0967339ae51c010VgnVCM2000000c205a0aRCRD,MONTALBAN,CALLE MONTALBAN,4,28014,Jerónimos,http://www.wikidata.org/entity/Q10306766,Retiro,http://www.wikidata.org/entity/Q2002296,441367,4474386,40.41802725000116,-3.691123387515545,,,false
5517342,Aparcamiento mixto. Orense,,,,,,Plazas: 128 públicas y 663 para residentes  Información sobre accesibilidad:  1 escalera adaptada No dispone de ascensor 1 aseo accesible Plaza para minusválidos residentes: 5    Abierto 24 horas   Titularidad: Ayuntamiento de Madrid  Gestión: Empresa Municipal de Transportes (EMT) (más información),false,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=eee35ed15bb95210VgnVCM2000000c205a0aRCRD,SOR ANGELA DE LA CRUZ,CALLE SOR ANGELA DE LA CRUZ,27,28020,Castillejos,http://www.wikidata.org/entity/Q11913212,Tetuán,http://www.wikidata.org/entity/Q1773540,441080,4479226,40.45973534025835,-3.6962330375922363,,aparcamientos@emtmadrid.es,false
52114,Aparcamiento mixto. Pedro Zerolo 'antes denominado Vázquez de Mella',,,,,,Plazas: 107 públicas y 261 para residentes.  Plazas motos: 6.  Información sobre accesibilidad:  No tiene escaleras adaptadas 1 ascensor con salida a la Plaza de Vazquez de Mella 1 aseo accesible Plaza para minusválidos residentes: 7    Abierto 24 horas   Titularidad: Ayuntamiento de Madrid  Gestión: Empresa Municipal de Transportes (EMT) (más información)  Teléfonos: Residentes - 91 522 50 29          Rotacional -  91 532 19 10,false,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=e499946be351c010VgnVCM2000000c205a0aRCRD,PEDRO ZEROLO,PLAZA PEDRO ZEROLO,1,28004,Justicia,http://www.wikidata.org/entity/Q1992319,Centro,http://www.wikidata.org/entity/Q1763376,440626,4474716,40.4209564450911,-3.699899832865304,,aparcamientos@emtmadrid.es,false
33440,Aparcamiento mixto. Plaza de Oriente,,,,,,Plazas: 242 públicas rotacionales (30 plazas para autobuses) y 511 para residentes Abierto 24 horas Admite Tarjeta BonoRed Este PAR está adherido a la zona de APR  Titularidad: Ayuntamiento de Madrid,false,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=7db12c798651c010VgnVCM2000000c205a0aRCRD,ORIENTE,PLAZA ORIENTE,1,28013,Palacio,http://www.wikidata.org/entity/Q2136510,Centro,http://www.wikidata.org/entity/Q1763376,439736,4474563,40.417632509561116,-3.7116407088004757,,,false
13466,Aparcamiento mixto. Plaza Mayor,,,,,,Plazas: 694  279 Residenciales 415 Rotacionales  Abierto 24 horas  Titularidad : Ayuntamiento de Madrid    Gálibo: 1'85 m,false,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=2b1981eb5f51c010VgnVCM2000000c205a0aRCRD,FELIPE III,CALLE FELIPE III,11,28012,Sol,http://www.wikidata.org/entity/Q2465181,Centro,http://www.wikidata.org/entity/Q1763376,440027,4474156,40.41586882022003,-3.706895619414367,,,false
36271,Aparcamiento mixto. Presidente Carmona,De lunes a domingo servicio ininterrumpido,,,,,Plazas: 379 públicas y 124 para residentes Abierto 24 horas  Titularidad: Ayuntamiento de Madrid  Teléfono: 91 556 62 26,false,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=8a412c798651c010VgnVCM2000000c205a0aRCRD,PRESIDENTE CARMONA,AVENIDA PRESIDENTE CARMONA,3,28020,Cuatro Caminos,http://www.wikidata.org/entity/Q5824684,Tetuán,http://www.wikidata.org/entity/Q1773540,440965,4478549,40.45362846199134,-3.6975262417380064,,,false
13476,Aparcamiento mixto. Recoletos,,,,,,Plazas: 102 públicas y 289 para residentes  Información sobre accesibilidad:   No tiene escaleras adaptadas 1 ascensor en la salida al Paseo de Recoletos 1 aseo accesible Plaza para minusválidos residentes: 10   Abierto 24 horas   Titularidad : Ayuntamiento de Madrid   Gestión: Empresa Municipal de Transportes (EMT) (más información),false,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=283f15cbed51c010VgnVCM2000000c205a0aRCRD,RECOLETOS,PASEO RECOLETOS,4,28001,Recoletos,http://www.wikidata.org/entity/Q3814551,Salamanca,http://www.wikidata.org/entity/Q1773521,441297,4474666,40.42054469225109,-3.691974283683488,,aparcamientos@emtmadrid.es,false
24193,Aparcamiento mixto. República Dominicana,,,,,,Plazas: 203 públicas y 892 para residentes Abierto 24 horas  Titularidad: Ayuntamiento de Madrid,false,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=aabe6545f951c010VgnVCM2000000c205a0aRCRD,REPUBLICA DOMINICANA,PLAZA REPUBLICA DOMINICANA,6,28016,Nueva España,http://www.wikidata.org/entity/Q10338128,Chamartín,http://www.wikidata.org/entity/Q1766348,442641,4478909,40.45887037458626,-3.6765275895176677,,,false
81828,Aparcamiento mixto. Reyes Magos,,,,,,Plazas: 356 públicas y 345 para residentes Abierto 24 horas  Titularidad: Ayuntamiento de Madrid,false,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=0dfec2c6e051c010VgnVCM2000000c205a0aRCRD,REYES MAGOS,PLAZA REYES MAGOS,14,28007,Niño Jesús,http://www.wikidata.org/entity/Q3773746,Retiro,http://www.wikidata.org/entity/Q2002296,442622,4473340,40.40870074627349,-3.6762488802382896,,,false
167692,Aparcamiento mixto. San Cayetano,,,,,,Plazas: 222 públicas y 261 para residentes Abierto 24 horas  Titularidad: Ayuntamiento de Madrid,false,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=a284ff632081c010VgnVCM1000000b205a0aRCRD,SAN CAYETANO,PLAZA SAN CAYETANO,1,28028,La Guindalera,http://www.wikidata.org/entity/Q3814559,Salamanca,http://www.wikidata.org/entity/Q1773521,443276,4476388,40.43432235224971,-3.6700799322371056,,,false
13515,Aparcamiento mixto. San Germán II (antes General Yagüe),,,,,,Plazas: 409 públicas y 717 residentes Abierto 24 horas  Titularidad: Ayuntamiento de Madrid,false,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=ee9e15cbed51c010VgnVCM2000000c205a0aRCRD,BRASIL,AVENIDA BRASIL,15,28020,Castillejos,http://www.wikidata.org/entity/Q11913212,Tetuán,http://www.wikidata.org/entity/Q1773540,441152,4478685,40.45673936450418,-3.694067405537416,,,false
19053,Aparcamiento mixto. Sánchez Bustillo,,,,,,Plazas: 132 públicas y 408 para residentes Abierto 24 horas  Titularidad: Ayuntamiento de Madrid,false,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=27912c798651c010VgnVCM2000000c205a0aRCRD,SANCHEZ BUSTILLO,CALLE SANCHEZ BUSTILLO,1,28012,Embajadores,http://www.wikidata.org/entity/Q2449844,Centro,http://www.wikidata.org/entity/Q1763376,441114,4473405,40.40917205238472,-3.6940145592988043,,,false
7416748,Aparcamiento mixto. Serrano I,,,,,,Plazas: 307 públicas y 831 para residentes Abierto 24 horas  Titularidad: Ayuntamiento de Madrid,false,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=bd61f94ae1d15410VgnVCM2000000c205a0aRCRD,JUAN BRAVO,CALLE JUAN BRAVO,4,28006,Castellana,http://www.wikidata.org/entity/Q4781,Salamanca,http://www.wikidata.org/entity/Q1773521,441944,4476240,40.43289700914247,-3.6857697780390155,,,false
7417028,Aparcamiento mixto. Serrano II,,,,,,Plazas: 379 públicas y 794 para residentes Abierto 24 horas  Titularidad: Ayuntamiento de Madrid,false,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=bc096f1c35d15410VgnVCM2000000c205a0aRCRD,JOSE ORTEGA Y GASSET,CALLE JOSE ORTEGA Y GASSET,1,28006,Castellana,http://www.wikidata.org/entity/Q4781,Salamanca,http://www.wikidata.org/entity/Q1773521,441729,4475986,40.43059379257075,-3.688281097618061,,,false
7417052,Aparcamiento mixto. Serrano III,,,,,,Plazas: 261 públicas y 725 para residentes Abierto 24 horas  Titularidad: Ayuntamiento de Madrid,false,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=9a1c6f1c35d15410VgnVCM2000000c205a0aRCRD,JORGE JUAN,CALLE JORGE JUAN,1,28001,Recoletos,http://www.wikidata.org/entity/Q3814551,Salamanca,http://www.wikidata.org/entity/Q1773521,441597,4475307,40.42446775888825,-3.6897747066093993,,,false
13460,Aparcamiento mixto. Sevilla,,,,,,Plazas: 649 públicas rotacionales y 74 para residentes Abierto 24 horas Admite Tarjeta BonoRed   Titularidad: Ayuntamiento de Madrid,false,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=9dd67339ae51c010VgnVCM2000000c205a0aRCRD,ALCALA,CALLE ALCALA,17,28014,Sol,http://www.wikidata.org/entity/Q2465181,Centro,http://www.wikidata.org/entity/Q1763376,440740,4474574,40.41780383567921,-3.6998082261071747,915 219 281,,false
13458,Aparcamiento mixto. Velázquez - Ayala,,,,,,Plazas: 464 públicas y 235 para residentes Abierto 24 horas Admite Tarjeta BonoRed  Titularidad: Ayuntamiento de Madrid,false,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=8bee15cbed51c010VgnVCM2000000c205a0aRCRD,VELAZQUEZ,CALLE VELAZQUEZ,47,28001,Recoletos,http://www.wikidata.org/entity/Q3814551,Salamanca,http://www.wikidata.org/entity/Q1773521,442075,4475607,40.427203787185476,-3.6841676172873936,,,false
13457,Aparcamiento mixto. Velázquez - Jorge Juan,,,,,,Plazas: 549 públicas y 395 para residentes Abierto 24 horas Admite Tarjeta BonoRed  Titularidad: Ayuntamiento de Madrid,true,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=d11f15cbed51c010VgnVCM2000000c205a0aRCRD,VELAZQUEZ,CALLE VELAZQUEZ,25,28001,Recoletos,http://www.wikidata.org/entity/Q3814551,Salamanca,http://www.wikidata.org/entity/Q1773521,442058,4475292,40.4243649253884,-3.684339253399854,,,false
