Nº  EXPEDIENTE;FECHA;HORA;CALLE;NÚMERO;DISTRITO;TIPO ACCIDENTE;ESTADO METEREOLÓGICO;TIPO VEHÍCULO;TIPO PERSONA;RANGO DE EDAD;SEXO;LESIVIDAD*
2021S001122;27/01/2021;22:10;CALL. ORENSE / CALL. SOR ANGELA DE LA CRUZ;-;TETUÁN;Alcance;Despejado;Bicicleta;Conductor;DE 30 A 34 AÑOS;Hombre;02
2021S001109;28/01/2021;17:40;CALL. JUAN DE URBIETA;3;RETIRO;Caída;Despejado;Bicicleta;Conductor;DE 35 A 39 AÑOS;Hombre;01
2021S001184;29/01/2021;23:45;CALL. VILLANUEVA / CALL. VELAZQUEZ;-;SALAMANCA;Caída;Despejado;Bicicleta;Conductor;DE 40 A 44 AÑOS;Hombre;02
2021S001213;29/01/2021;18:30;CALL. PRINCIPE DE VERGARA;24;SALAMANCA;Colisión frontal;Despejado;Bicicleta;Conductor;DE 40 A 44 AÑOS;Hombre;
2021S001149;29/01/2021;16:27;AVDA. COMPLUTENSE;14;MONCLOA-ARAVACA;Colisión frontal;Despejado;Bicicleta EPAC (pedaleo asistido);Conductor;DE 18 A 20 AÑOS;Mujer;06
2021S001149;29/01/2021;16:27;AVDA. COMPLUTENSE;14;MONCLOA-ARAVACA;Colisión frontal;Despejado;Bicicleta EPAC (pedaleo asistido);Conductor;DE 21 A 24 AÑOS;Hombre;14
2021S001147;29/01/2021;16:00;PLAZA. LAVAPIES;1;CENTRO;Caída;Nublado;Bicicleta;Conductor;DE 40 A 44 AÑOS;Mujer;01
2021S001209;29/01/2021;14:55;CALL. BRAVO MURILLO / CALL. SANTA JULIANA;-;TETUÁN;Colisión fronto-lateral;;Bicicleta;Conductor;DESCONOCIDA;;
2021S001227;30/01/2021;20:00;CALL. DOCTOR ESQUERDO / CALL. PEZ VOLADOR;-;RETIRO;Caída;Nublado;Bicicleta EPAC (pedaleo asistido);Conductor;DE 35 A 39 AÑOS;Hombre;14
2021S001294;30/01/2021;19:30;CALL. CONCEJAL FRANCISCO JOSE JIMENEZ MARTIN;16;LATINA;Choque contra obstáculo fijo;Despejado;Bicicleta;Conductor;DE 18 A 20 AÑOS;Hombre;02
2021S001219;30/01/2021;15:00;CALL. ALMAGRO;7;CHAMBERÍ;Alcance;Despejado;Bicicleta;Conductor;DE 25 A 29 AÑOS;Mujer;
2021S001304;31/01/2021;20:25;CALL. SERRANO;102;SALAMANCA;Caída;Despejado;Bicicleta;Conductor;DE 21 A 24 AÑOS;Hombre;06
2021S001449;31/01/2021;15:55;AVDA. MONFORTE DE LEMOS;32;FUENCARRAL-EL PARDO;Alcance;Despejado;Bicicleta;Conductor;DE 35 A 39 AÑOS;Hombre;07
2021S001330;31/01/2021;15:40;CALL. ARROYO FONTARRON / CALL. ENCOMIENDA DE PALACIOS;-;MORATALAZ;Caída;Lluvia débil;Bicicleta;Conductor;DE 25 A 29 AÑOS;Hombre;07
2021S001289;31/01/2021;13:50;PLAZA. CIBELES;1;RETIRO;Colisión lateral;Despejado;Bicicleta;Conductor;DE 35 A 39 AÑOS;Hombre;
2021S001284;31/01/2021;12:55;CALL. HERMOSILLA;59;SALAMANCA;Caída;Despejado;Bicicleta EPAC (pedaleo asistido);Conductor;DE 30 A 34 AÑOS;Mujer;02
2021S001423;31/01/2021;9:00;CALL. VILLAMANIN;35;LATINA;Colisión fronto-lateral;;Bicicleta;Conductor;DE 55 A 59 AÑOS;Hombre;
2021S001326;01/02/2021;13:05;CALL. ANDALUCES DEL POZO / CALL. ANDALUCES DEL POZO;-;PUENTE DE VALLECAS;Colisión fronto-lateral;Despejado;Bicicleta;Conductor;DE 6 A 9 AÑOS;Hombre;07
2021S001366;01/02/2021;9:40;PQUE. MADRID RIO, +00650I;-;ARGANZUELA;Caída;Despejado;Bicicleta;Conductor;DE 21 A 24 AÑOS;Mujer;01
2021S001370;02/02/2021;9:05;PASEO. ERMITA DEL SANTO / PASEO. ERMITA DEL SANTO;-;CARABANCHEL;Caída;Nublado;Bicicleta;Conductor;DE 25 A 29 AÑOS;Hombre;02
2021S001532;03/02/2021;18:43;CALL. PLANETA TIERRA;6;ARGANZUELA;Choque contra obstáculo fijo;Lluvia débil;Bicicleta;Conductor;DE 55 A 59 AÑOS;Hombre;07
2021S001484;04/02/2021;8:10;PLAZA. MARQUES DE SALAMANCA / CALL. JOSE ORTEGA Y GASSET;-;SALAMANCA;Caída;Lluvia débil;Bicicleta EPAC (pedaleo asistido);Conductor;DE 35 A 39 AÑOS;Mujer;02
2021S001645;06/02/2021;14:45;CALL. SERRANO;45;SALAMANCA;Caída;Despejado;Bicicleta;Conductor;DE 18 A 20 AÑOS;Mujer;05
2021S001690;06/02/2021;14:00;PLAZA. CORREGIDOR SANCHO DE CORDOBA / CALL. ARROYO DE LAS PILILLAS;-;MORATALAZ;Colisión lateral;;Bicicleta EPAC (pedaleo asistido);Conductor;DE 30 A 34 AÑOS;Hombre;
2021S001909;06/02/2021;12:42;GTA. ANTONIO BONET / AVDA. FRANCISCO JAVIER SAENZ DE OIZA;-;HORTALEZA;Colisión fronto-lateral;Despejado;Bicicleta;Conductor;DE 55 A 59 AÑOS;Hombre;01
2021S001709;07/02/2021;15:00;AVDA. LUIS ARAGONES / PLAZA. GRECIA;-;SAN BLAS-CANILLEJAS;Caída;Despejado;Bicicleta;Conductor;DE 10 A 14 AÑOS;Hombre;07
2021S001696;07/02/2021;12:10;GTA. CARLOS LLAMAS;0;SAN BLAS-CANILLEJAS;Colisión fronto-lateral;Despejado;Bicicleta;Conductor;DE 40 A 44 AÑOS;Hombre;02
2021S001696;07/02/2021;12:10;GTA. CARLOS LLAMAS;0;SAN BLAS-CANILLEJAS;Colisión fronto-lateral;Despejado;Bicicleta;Conductor;DE 60 A 64 AÑOS;Hombre;14
2021S001691;07/02/2021;11:05;CALL. DIAMANTE / CTRA. VILLAVERDE A VALLECAS;-;VILLAVERDE;Colisión fronto-lateral;Despejado;Bicicleta;Conductor;DE 40 A 44 AÑOS;Hombre;01
2021S001742;07/02/2021;10:51;AVDA. FRANCISCO JAVIER SAENZ DE OIZA / CALL. ALBERTO DE PALACIO;-;HORTALEZA;Colisión lateral;Despejado;Bicicleta;Conductor;DE 25 A 29 AÑOS;Hombre;07
2021S001804;08/02/2021;10:50;AVDA. MEMORIA / PLAZA. CARDENAL CISNEROS;-;MONCLOA-ARAVACA;Caída;Lluvia débil;Bicicleta;Conductor;DE 25 A 29 AÑOS;Mujer;02
2021S001868;10/02/2021;15:45;AVDA. LOS ROSALES;131;VILLAVERDE;Alcance;Despejado;Bicicleta;Conductor;DE 55 A 59 AÑOS;Hombre;
2021S001854;10/02/2021;9:50;CALL. ALCALA;48;CENTRO;Caída;Nublado;Bicicleta EPAC (pedaleo asistido);Conductor;DE 35 A 39 AÑOS;Mujer;07
2021S001947;11/02/2021;20:30;CALL. GENERAL RICARDOS;95;CARABANCHEL;Caída;Lluvia débil;Bicicleta;Conductor;DE 25 A 29 AÑOS;Mujer;07
2021S002241;11/02/2021;17:50;CALL. VALCARLOS / CALL. QUINTANAVIDES;-;FUENCARRAL-EL PARDO;Caída;Despejado;Bicicleta;Conductor;DE 45 A 49 AÑOS;Hombre;07
2021S001998;12/02/2021;20:30;PASEO. CASTELLANA;67;CHAMBERÍ;Colisión fronto-lateral;Despejado;Bicicleta;Conductor;DE 25 A 29 AÑOS;Mujer;06
2021S002054;13/02/2021;17:15;AVDA. MIGUEL HERNANDEZ;116;PUENTE DE VALLECAS;Alcance;Despejado;Bicicleta;Conductor;DE 35 A 39 AÑOS;Hombre;01
2021S002054;13/02/2021;17:15;AVDA. MIGUEL HERNANDEZ;116;PUENTE DE VALLECAS;Alcance;Despejado;Bicicleta;Conductor;DE 35 A 39 AÑOS;Hombre;14
2021S002050;13/02/2021;16:20;CALL. ANICETO MARINAS;74;MONCLOA-ARAVACA;Caída;Despejado;Bicicleta;Conductor;DE 25 A 29 AÑOS;Hombre;07
2021S002050;13/02/2021;16:20;CALL. ANICETO MARINAS;74;MONCLOA-ARAVACA;Caída;Despejado;Bicicleta;Peatón;DESCONOCIDA;Mujer;14
2021S002047;13/02/2021;15:00;PASEO. CASTELLANA;243;TETUÁN;Caída;Despejado;Bicicleta;Conductor;DE 40 A 44 AÑOS;Hombre;07
2021S002188;15/02/2021;18:30;CALL. ALFONSO XII;18;RETIRO;Caída;Despejado;Bicicleta EPAC (pedaleo asistido);Conductor;DE 45 A 49 AÑOS;Mujer;01
2021S002163;15/02/2021;11:40;GTA. MARQUES DE VADILLO / CALL. ANTONIO DE LEYVA;-;CARABANCHEL;Alcance;Despejado;Bicicleta EPAC (pedaleo asistido);Conductor;DE 40 A 44 AÑOS;Hombre;
2021S002207;15/02/2021;8:30;PASEO. CASTELLANA / CALL. PADRE FRANCISCO PALAU Y QUER;-;CHAMARTÍN;Colisión lateral;Despejado;Bicicleta;Conductor;DE 45 A 49 AÑOS;Hombre;14
2021S002248;16/02/2021;21:00;CALL. BEJAR / CALL. AGUSTIN DURAN;-;SALAMANCA;Colisión fronto-lateral;Despejado;Bicicleta;Conductor;DE 25 A 29 AÑOS;Hombre;02
2021S002631;16/02/2021;18:00;CALL. VALLE DE PINARES LLANOS / CALL. RISCOS DE POLANCO;-;FUENCARRAL-EL PARDO;Caída;Despejado;Bicicleta;Conductor;DE 35 A 39 AÑOS;Mujer;07
2021S002235;16/02/2021;14:20;PASEO DE LA CASTELLANA;2;SALAMANCA;Alcance;Despejado;Bicicleta;Conductor;DE 35 A 39 AÑOS;Hombre;
2021S002349;17/02/2021;19:15;AVDA. PLANETARIO;12;ARGANZUELA;Alcance;Despejado;Bicicleta;Conductor;DE 40 A 44 AÑOS;Hombre;07
2021S002359;18/02/2021;20:25;AVDA. INSTITUCION LIBRE DE ENSEÑANZA;41;SAN BLAS-CANILLEJAS;Colisión lateral;Despejado;Bicicleta;Conductor;DE 25 A 29 AÑOS;Hombre;
2021S002498;18/02/2021;19:40;GTA. ANTONIO PERPIÑA / AVDA. JUAN ANTONIO SAMARANCH;-;HORTALEZA;Colisión lateral;Despejado;Bicicleta;Conductor;DE 35 A 39 AÑOS;Hombre;07
2021S002354;18/02/2021;18:30;CALL. SEDANO / CALL. PRADO ALEGRE;-;LATINA;Colisión fronto-lateral;Despejado;Bicicleta;Conductor;DE 10 A 14 AÑOS;Hombre;07
2021S002327;18/02/2021;15:25;CALL. GUTIERREZ SOLANA / CALL. MARCELIANO SANTA MARIA;-;CHAMARTÍN;Colisión fronto-lateral;Despejado;Bicicleta;Conductor;DE 50 A 54 AÑOS;Hombre;03
2021S002416;19/02/2021;21:15;CALL. ALHAMBRA;30;LATINA;Colisión lateral;Despejado;Bicicleta EPAC (pedaleo asistido);Conductor;DE 30 A 34 AÑOS;Hombre;03
2021S003057;19/02/2021;20:20;CALL. NUESTRA SEÑORA DE VALVERDE;138;FUENCARRAL-EL PARDO;Caída;Despejado;Bicicleta;Conductor;DE 35 A 39 AÑOS;Hombre;14
2021S002401;19/02/2021;18:28;CALL. CAPITAN BLANCO ARGIBAY;210;TETUÁN;Colisión fronto-lateral;Despejado;Bicicleta;Conductor;DE 50 A 54 AÑOS;Hombre;07
2021S002810;19/02/2021;18:10;CALL. SANDALIA NAVAS;17;FUENCARRAL-EL PARDO;Caída;Despejado;Bicicleta;Conductor;DE 15 A 17 AÑOS;Hombre;02
2021S002806;19/02/2021;14:30;CALL. MORALZARZAL, 61, PISTAS DEPORTIVAS;-;FUENCARRAL-EL PARDO;Caída;Despejado;Bicicleta;Conductor;DE 10 A 14 AÑOS;Hombre;02
2021S002383;19/02/2021;12:10;AVDA. POBLADOS / AVDA. ABRANTES;-;CARABANCHEL;Choque contra obstáculo fijo;Despejado;Bicicleta;Conductor;DE 70 A 74 AÑOS;Hombre;02
2021S002558;20/02/2021;18:10;CALL. EMBAJADORES / CALL. SEBASTIAN HERRERA;-;ARGANZUELA;Caída;Despejado;Bicicleta;Conductor;DE 25 A 29 AÑOS;Hombre;02
2021S002548;20/02/2021;13:15;CALL. SANCHIDRIAN; 13A;LATINA;Colisión lateral;Despejado;Bicicleta;Conductor;DE 45 A 49 AÑOS;Hombre;07
2021S002541;20/02/2021;13:15;PLAZA. EMPERADOR CARLOS V;8;CENTRO;Colisión lateral;Despejado;Bicicleta;Conductor;DE 35 A 39 AÑOS;Mujer;07
2021S002603;21/02/2021;13:30;CALL. ARROYO FONTARRON;24;MORATALAZ;Caída;Lluvia débil;Bicicleta;Conductor;DE 45 A 49 AÑOS;Hombre;02
2021S002645;22/02/2021;20:40;CALL. SAN BERNARDO;55;CENTRO;Atropello a persona;Despejado;Bicicleta;Conductor;DE 35 A 39 AÑOS;Hombre;14
2021S002645;22/02/2021;20:40;CALL. SAN BERNARDO;55;CENTRO;Atropello a persona;Despejado;Bicicleta;Peatón;DE 70 A 74 AÑOS;Hombre;05
2021S002629;22/02/2021;17:00;PLAZA. EMPERADOR CARLOS V / CALL. ATOCHA;-;CENTRO;Colisión lateral;Despejado;Bicicleta;Conductor;DE 21 A 24 AÑOS;Mujer;06
2021S002693;23/02/2021;22:40;CALL. SERRANO;22;SALAMANCA;Alcance;Despejado;Bicicleta EPAC (pedaleo asistido);Conductor;DE 25 A 29 AÑOS;Mujer;01
2021S002721;24/02/2021;17:55;CALL. BRAVO MURILLO;175;TETUÁN;Colisión fronto-lateral;Despejado;Bicicleta;Conductor;DE 21 A 24 AÑOS;Mujer;
2021S002714;24/02/2021;15:05;CALL. JOSE ORTEGA Y GASSET / CALL. NUÑEZ DE BALBOA;-;SALAMANCA;Alcance;Despejado;Bicicleta;Conductor;DE 25 A 29 AÑOS;Hombre;
2021S003061;26/02/2021;19:50;PASEO. ACACIAS / CALL. RIBERA DE CURTIDORES;-;ARGANZUELA;Caída;Despejado;Bicicleta;Conductor;DE 40 A 44 AÑOS;Hombre;07
2021S002817;26/02/2021;19:29;CALL. HORTALEZA;100;CENTRO;Colisión lateral;Se desconoce;Bicicleta;Conductor;DE 30 A 34 AÑOS;Hombre;07
2021S002812;26/02/2021;14:45;CALL. RIBERA DE CURTIDORES;25;CENTRO;Caída;Despejado;Bicicleta;Conductor;DE 30 A 34 AÑOS;Hombre;06
2021S002807;26/02/2021;14:15;AVDA. ENTREVIAS / CALL. MENDEZ ALVARO;-;PUENTE DE VALLECAS;Colisión lateral;Despejado;Bicicleta;Conductor;DE 21 A 24 AÑOS;Hombre;07
2021S002855;26/02/2021;6:25;CALL. GENERAL RICARDOS / CALL. FRANCISCO ROMERO;-;CARABANCHEL;Colisión fronto-lateral;Despejado;Bicicleta;Conductor;DE 35 A 39 AÑOS;Mujer;05
2021S003050;27/02/2021;21:20;CALL. EDUARDO BARREIROS;21;USERA;Otro;Despejado;Bicicleta;Conductor;DE 35 A 39 AÑOS;Mujer;07
2021S002908;27/02/2021;19:15;PASEO. EMBARCADERO;1;MONCLOA-ARAVACA;Caída;Despejado;Bicicleta;Conductor;DE 30 A 34 AÑOS;Hombre;06
2021S002879;27/02/2021;11:55;CALL. SEGOVIA;8;CENTRO;Caída;Despejado;Bicicleta;Conductor;DE 60 A 64 AÑOS;Hombre;01
2021S003008;28/02/2021;17:15;PASEO. PRADO;9;RETIRO;Colisión lateral;Despejado;Bicicleta;Conductor;DE 30 A 34 AÑOS;Hombre;07
2021S002961;28/02/2021;11:30;CALL. ALCALA;29;CENTRO;Colisión lateral;Despejado;Bicicleta;Conductor;DE 70 A 74 AÑOS;Hombre;07
2021S003217;03/03/2021;17:09;CALL. BRUJAS / CALL. ATENAS;-;MORATALAZ;Atropello a persona;Despejado;Bicicleta;Conductor;DE 50 A 54 AÑOS;Hombre;14
2021S003217;03/03/2021;17:09;CALL. BRUJAS / CALL. ATENAS;-;MORATALAZ;Atropello a persona;Despejado;Bicicleta;Peatón;DE 0 A 5 AÑOS;Hombre;06
2021S003556;04/03/2021;15:58;PLAZA. BEATA MARIA ANA DE JESUS;1;ARGANZUELA;Colisión lateral;Despejado;Bicicleta;Conductor;DE 50 A 54 AÑOS;Hombre;01
2021S003209;04/03/2021;15:35;CALL. FLORENCIO CANO CRISTOBAL / CALL. JOSE BERGAMIN;-;MORATALAZ;Colisión fronto-lateral;Despejado;Bicicleta;Conductor;DE 15 A 17 AÑOS;Hombre;14
2021S003207;04/03/2021;15:30;CALL. BRAVO MURILLO;145;TETUÁN;Colisión múltiple;Despejado;Bicicleta;Conductor;DE 25 A 29 AÑOS;Hombre;02
2021S003197;04/03/2021;11:30;AVDA. MARTIRES MARISTAS; 2E;MONCLOA-ARAVACA;Colisión fronto-lateral;Despejado;Bicicleta;Conductor;MAYOR DE 74 AÑOS;Hombre;03
2021S003348;05/03/2021;21:51;CALL. TORPEDERO TUCUMAN;24;CHAMARTÍN;Caída;Despejado;Bicicleta;Conductor;DE 18 A 20 AÑOS;Hombre;01
2021S003278;05/03/2021;17:30;GTA. RUBEN DARIO / PASEO. EDUARDO DATO;-;CHAMBERÍ;Colisión fronto-lateral;Despejado;Bicicleta EPAC (pedaleo asistido);Conductor;DE 45 A 49 AÑOS;Mujer;
2021S003361;06/03/2021;19:35;CALL. SANTA ENGRACIA;71;CHAMBERÍ;Caída;Despejado;Bicicleta EPAC (pedaleo asistido);Conductor;DE 21 A 24 AÑOS;Hombre;02
2021S003426;06/03/2021;16:40;CALL. JUAN BRAVO / CALL. NUÑEZ DE BALBOA;-;SALAMANCA;Colisión fronto-lateral;Despejado;Bicicleta;Conductor;DE 35 A 39 AÑOS;Hombre;07
2021S003345;06/03/2021;13:35;AVDA. BUENOS AIRES / AVDA. MIGUEL HERNANDEZ;-;PUENTE DE VALLECAS;Caída;Despejado;Bicicleta;Conductor;DE 50 A 54 AÑOS;Mujer;06
2021S003383;06/03/2021;1:12;CALL. TOLEDO;50;CENTRO;Colisión fronto-lateral;Lluvia débil;Bicicleta;Conductor;DE 25 A 29 AÑOS;Hombre;01
2021S003428;07/03/2021;16:45;CALL. OLMO;24;CENTRO;Caída;Nublado;Bicicleta EPAC (pedaleo asistido);Conductor;DE 25 A 29 AÑOS;Hombre;06
2021S003420;07/03/2021;14:20;CALL. GRAN VIA / CALL. SAN BERNARDO;-;CENTRO;Alcance;Despejado;Bicicleta;Conductor;DE 25 A 29 AÑOS;Hombre;
2021S003470;07/03/2021;12:44;CMNO. ARROYO DE VALDEBEBAS / AUTOV. M-40;-;HORTALEZA;Colisión frontal;Despejado;Bicicleta;Conductor;DE 40 A 44 AÑOS;Hombre;07
2021S003470;07/03/2021;12:44;CMNO. ARROYO DE VALDEBEBAS / AUTOV. M-40;-;HORTALEZA;Colisión frontal;Despejado;Bicicleta;Conductor;DE 35 A 39 AÑOS;Hombre;07
2021S003456;07/03/2021;12:10;CALL. VALLE DE MENA;14;FUENCARRAL-EL PARDO;Caída;Despejado;Bicicleta;Conductor;DE 25 A 29 AÑOS;Mujer;07
2021S003486;08/03/2021;17:03;PASEO. REINA CRISTINA;15;RETIRO;Alcance;Lluvia débil;Bicicleta;Conductor;DE 40 A 44 AÑOS;Hombre;02
2021S003555;09/03/2021;18:30;AVDA. MEDITERRANEO / CALL. POZA DE LA SAL;-;VILLA DE VALLECAS;Caída;Despejado;Bicicleta;Conductor;DE 40 A 44 AÑOS;Hombre;03
2021S003623;10/03/2021;18:30;CALL. PEÑARANDA DE BRACAMONTE / AVDA. CERRO MILANO;-;VILLA DE VALLECAS;Colisión fronto-lateral;Despejado;Bicicleta EPAC (pedaleo asistido);Conductor;DE 55 A 59 AÑOS;Hombre;06
2021S003661;10/03/2021;17:22;CALL. PRADILLO;34;CHAMARTÍN;Alcance;Despejado;Bicicleta;Conductor;DE 21 A 24 AÑOS;Hombre;14
2021S003666;10/03/2021;14:40;PASEO. LA HABANA;72;CHAMARTÍN;Caída;Despejado;Bicicleta;Conductor;DE 50 A 54 AÑOS;Hombre;07
2021S003640;10/03/2021;7:54;CALL. MATEO INURRIA / PASEO. LA HABANA;-;CHAMARTÍN;Caída;Despejado;Bicicleta;Conductor;DE 55 A 59 AÑOS;Hombre;07
2021S003640;10/03/2021;7:54;CALL. MATEO INURRIA / PASEO. LA HABANA;-;CHAMARTÍN;Caída;Despejado;Bicicleta;Peatón;DE 40 A 44 AÑOS;Mujer;14
2021S003668;11/03/2021;15:10;CALL. TRAFALGAR;25;CHAMBERÍ;Caída;Despejado;Bicicleta;Conductor;MAYOR DE 74 AÑOS;Hombre;05
2021S003768;12/03/2021;21:30;CALL. SAN BERNARDO / CALL. LUNA;-;CENTRO;Atropello a persona;Despejado;Bicicleta EPAC (pedaleo asistido);Conductor;DE 25 A 29 AÑOS;Mujer;14
2021S003768;12/03/2021;21:30;CALL. SAN BERNARDO / CALL. LUNA;-;CENTRO;Atropello a persona;Despejado;Bicicleta EPAC (pedaleo asistido);Peatón;DE 6 A 9 AÑOS;Hombre;07
2021S003930;13/03/2021;22:18;CALL. BRAVO MURILLO / CALL. AZUCENAS;-;TETUÁN;Alcance;;Bicicleta;Conductor;DE 25 A 29 AÑOS;Hombre;
2021S003918;13/03/2021;11:10;PQUE. JUAN CARLOS I;1;BARAJAS;Atropello a persona;Despejado;Bicicleta;Conductor;DE 50 A 54 AÑOS;Hombre;02
2021S003918;13/03/2021;11:10;PQUE. JUAN CARLOS I;1;BARAJAS;Atropello a persona;Despejado;Bicicleta;Peatón;DE 35 A 39 AÑOS;Mujer;02
2021S003998;14/03/2021;15:45;AVDA. DOCTOR GARCIA TAPIA / CALL. MARROQUINA;-;MORATALAZ;Colisión fronto-lateral;Despejado;Bicicleta;Conductor;DE 18 A 20 AÑOS;Hombre;
2021S004032;14/03/2021;13:00;PASEO. TORRECILLA / PASEO. AZUL;-;MONCLOA-ARAVACA;Colisión fronto-lateral;Despejado;Bicicleta;Conductor;DE 40 A 44 AÑOS;Hombre;07
2021S004032;14/03/2021;13:00;PASEO. TORRECILLA / PASEO. AZUL;-;MONCLOA-ARAVACA;Colisión fronto-lateral;Despejado;Bicicleta;Conductor;DE 50 A 54 AÑOS;Hombre;14
2021S004356;14/03/2021;12:38;PASEO. AZUL / PASEO. EMBARCADERO;-;MONCLOA-ARAVACA;Colisión fronto-lateral;Despejado;Bicicleta;Conductor;DE 45 A 49 AÑOS;Hombre;01
2021S004356;14/03/2021;12:38;PASEO. AZUL / PASEO. EMBARCADERO;-;MONCLOA-ARAVACA;Colisión fronto-lateral;Despejado;Bicicleta;Conductor;DESCONOCIDA;;
2021S003969;14/03/2021;11:00;CALL. ARROYOFRESNO, 1-M-30 CARRIL BICI;-;MONCLOA-ARAVACA;Caída;Despejado;Bicicleta;Conductor;DE 65 A 69 AÑOS;Hombre;07
2021S004021;15/03/2021;15:30;CALL. GALILEO;86;CHAMBERÍ;Colisión lateral;Despejado;Bicicleta;Conductor;DE 15 A 17 AÑOS;Mujer;07
