Identifier,Description,District Code,District Name,Neighborhood code,Neighborhood Name,Operative Status,Address
150558,SITUADO APARCABICICLETAS - ESCUELA TECNICA SUPERIOR DE INGENIEROS INDUSTRIALES UPM,5,CHAMARTIN,51,EL VISO,OPERATIVO,CALLE PEDRO DE VALDIVIA 6
151223,SITUADO APARCABICICLETAS - FRENTE EDIFICIO DE COFIDES,5,CHAMARTIN,56,CASTILLA,OPERATIVO,PASEO CASTELLANA 278
154330,SITUADO APARCABICICLETAS - I.E.S. RAMIRO DE MAEZTU,5,CHAMARTIN,51,EL VISO,OPERATIVO,CALLE SERRANO 131
155190,SITUADO APARCABICICLETAS - INSTALACION DEPORTIVA BASICA SANTA HORTENSIA,5,CHAMARTIN,52,PROSPERIDAD,OPERATIVO,CALLE SANTA HORTENSIA 34
155947,SITUADO APARCABICICLETAS - FRENTE A IBM,5,CHAMARTIN,52,PROSPERIDAD,OPERATIVO,CALLE SANTA HORTENSIA 31
155979,SITUADO APARCABICICLETAS - ESTACION DE METRO PROSPERIDAD,5,CHAMARTIN,53,CIUDAD JARDIN,OPERATIVO,PLAZA PROSPERIDAD 3
156151,SITUADO APARCABICICLETAS - PLAZA DE HERMINIO MINGUEZ,5,CHAMARTIN,56,CASTILLA,OPERATIVO,CALLE CONDE DE TORRALBA 23
156740,SITUADO APARCABICICLETAS - COLEGIO PUBLICO PINTOR ROSALES,5,CHAMARTIN,51,EL VISO,OPERATIVO,CALLE PRINCIPE DE VERGARA 139
157887,SITUADO APARCABICICLETAS - PLAZA DE ANDRES SEGOVIA,5,CHAMARTIN,53,CIUDAD JARDIN,OPERATIVO,PLAZA ANDRES SEGOVIA 2
157999,SITUADO APARCABICICLETAS - AL LADO DE LA FUENTE DE LOS DELFINES,5,CHAMARTIN,51,EL VISO,OPERATIVO,AVENIDA DOCTOR ARCE 1
158867,SITUADO APARCABICICLETAS - CERCA DE ESTACION DE METRO NUEVOS MINISTERIOS,5,CHAMARTIN,51,EL VISO,OPERATIVO,PASEO CASTELLANA 110
159396,SITUADO APARCABICICLETAS - PLAZA DE RODOLFO Y ERNESTO HALFFTER,5,CHAMARTIN,53,CIUDAD JARDIN,OPERATIVO,CALLE SUERO DE QUIÑONES 32
161602,SITUADO APARCABICICLETAS - JARDINES DE PROSPERO SOYNARD,5,CHAMARTIN,53,CIUDAD JARDIN,OPERATIVO,CALLE EUGENIO SALAZAR 55
161723,SITUADO APARCABICICLETAS - ESCUELA DE DANZA BROADWAY,5,CHAMARTIN,52,PROSPERIDAD,OPERATIVO,CALLE PADRE CLARET 23
161936,SITUADO APARCABICICLETAS - POLIDEPORTIVO MUNICIPAL PRADILLO,5,CHAMARTIN,53,CIUDAD JARDIN,OPERATIVO,CALLE PRADILLO 25
162245,SITUADO APARCABICICLETAS - ESTACION DE METRO LEGAZPI,2,ARGANZUELA,25,DELICIAS,OPERATIVO,PLAZA LEGAZPI 1
162466,SITUADO APARCABICICLETAS - ENTRADA PARQUE BERLIN,5,CHAMARTIN,53,CIUDAD JARDIN,OPERATIVO,CALLE DOCTOR MARCO CORERA 2
162728,SITUADO APARCABICICLETAS - CENTRO COMERCIAL MENDEZ ALVARO,2,ARGANZUELA,27,ATOCHA,OPERATIVO,CALLE RETAMA 4
162739,SITUADO APARCABICICLETAS - C/V CALLE ARIEL,2,ARGANZUELA,24,LEGAZPI,OPERATIVO,CALLE MENESES 4
163739,SITUADO APARCABICICLETAS - C.P. PADRE POVEDA,5,CHAMARTIN,53,CIUDAD JARDIN,OPERATIVO,AVENIDA ALFONSO XIII 23
164052,SITUADO APARCABICICLETAS - ENTRADA PARQUE BERLIN,5,CHAMARTIN,53,CIUDAD JARDIN,OPERATIVO,AVENIDA RAMON Y CAJAL 5
165831,SITUADO APARCABICICLETAS - ESTACION DE METRO ARGANZUELA PLANETARIO,2,ARGANZUELA,24,LEGAZPI,OPERATIVO,CALLE BRONCE 
166022,SITUADO APARCABICICLETAS - EN EL PLANETARIO,2,ARGANZUELA,24,LEGAZPI,OPERATIVO,AVENIDA PLANETARIO 16
166611,SITUADO APARCABICICLETAS - AL LADO DEL AYUNTAMIENTO,5,CHAMARTIN,54,HISPANOAMERICA,OPERATIVO,CALLE HERREROS DE TEJADA 7
167171,SITUADO APARCABICICLETAS - POLIDEPORTIVO PADRE DAMIAN,5,CHAMARTIN,54,HISPANOAMERICA,OPERATIVO,CALLE PADRE DAMIAN 24
167650,SITUADO APARCABICICLETAS - ESCUELA UNIVERSITARIA DE DISEÑO,5,CHAMARTIN,54,HISPANOAMERICA,OPERATIVO,AVENIDA ALFONSO XIII 97
167812,SITUADO APARCABICICLETAS - JUNTO A ZONA AJARDINADA,5,CHAMARTIN,54,HISPANOAMERICA,OPERATIVO,CALLE JUAN RAMON JIMENEZ 9
168626,SITUADO APARCABICICLETAS - MINISTERIO DE HACIENDA. METRO CUZCO,5,CHAMARTIN,54,HISPANOAMERICA,OPERATIVO,PASEO CASTELLANA 162
168705,SITUADO APARCABICICLETAS - FRENTE A EDIFICIO COMERCIAL,5,CHAMARTIN,54,HISPANOAMERICA,OPERATIVO,AVENIDA ALBERTO ALCOCER 10
168988,SITUADO APARCABICICLETAS - PLAZA REPUBLICA DOMINICANA,5,CHAMARTIN,55,NUEVA ESPAÑA,OPERATIVO,CALLE PRINCIPE DE VERGARA 283
169252,SITUADO APARCABICICLETAS - CERCANO A COLEGIO SAGRADO CORAZON,5,CHAMARTIN,55,NUEVA ESPAÑA,OPERATIVO,CALLE PARAGUAY 8
169332,SITUADO APARCABICICLETAS - CENTRO MEDICO MILENIUM COSTA RICA,5,CHAMARTIN,55,NUEVA ESPAÑA,OPERATIVO,PLAZA JOSE MARIA SOLER 7
169946,SITUADO APARCABICICLETAS - COLEGIO NUESTRA SEÑORA DE LA MERCED,5,CHAMARTIN,55,NUEVA ESPAÑA,OPERATIVO,AVENIDA ALFONSO XIII 165
170048,SITUADO APARCABICICLETAS - JUNTO A PLAZA RUTILIO GARCIS,2,ARGANZUELA,23,CHOPERA,OPERATIVO,CALLE GUILLERMO DE OSMA 10
170099,SITUADO APARCABICICLETAS - JUNTO A JARDIN DE GLORIA FUERTES,5,CHAMARTIN,55,NUEVA ESPAÑA,OPERATIVO,AVENIDA ALFONSO XIII 180
170181,SITUADO APARCABICICLETAS - EMBAJADA DE COSTA RICA,5,CHAMARTIN,55,NUEVA ESPAÑA,OPERATIVO,CALLE JUAN HURTADO DE MENDOZA 1
170579,SITUADO APARCABICICLETAS - COLEGIO PUBLICO MIGUEL DE UNAMUNO,2,ARGANZUELA,25,DELICIAS,OPERATIVO,CALLE ALICANTE 7
172923,SITUADO APARCABICICLETAS - EN EL PARQUE,2,ARGANZUELA,25,DELICIAS,OPERATIVO,CALLE RAMIREZ DE PRADO 6
172981,SITUADO APARCABICICLETAS - CERCA ESTACION DE METRO PLAZA DE CASTILLA,5,CHAMARTIN,55,NUEVA ESPAÑA,OPERATIVO,PLAZA CASTILLA 9
173321,SITUADO APARCABICICLETAS - CENTRO DEPORTIVO MUNICIPAL PEÑUELAS,2,ARGANZUELA,22,ACACIAS,OPERATIVO,CALLE ARGANDA 42
173548,SITUADO APARCABICICLETAS - COLEGIO PUBLICO ARQUITECTO GAUDI,5,CHAMARTIN,55,NUEVA ESPAÑA,OPERATIVO,CALLE ROSA JARDON 6
173555,SITUADO APARCABICICLETAS - ARCHIVO REGIONAL DE LA COMUNIDAD DE MADRID,2,ARGANZUELA,25,DELICIAS,OPERATIVO,CALLE GENERAL LACY 25
173669,SITUADO APARCABICICLETAS - BIBLIOTECA PUBLICA MUNICIPAL PIO BAROJA,2,ARGANZUELA,22,ACACIAS,OPERATIVO,CALLE ARGANDA 10 C
173919,SITUADO APARCABICICLETAS - ESTACION DE CERCANIAS DELICIAS,2,ARGANZUELA,25,DELICIAS,OPERATIVO,PASEO DELICIAS 61 A
173964,SITUADO APARCABICICLETAS - AYUNTAMIENTO DE MADRID,2,ARGANZUELA,25,DELICIAS,OPERATIVO,CALLE VARA DE REY 11
175086,SITUADO APARCABICICLETAS - JUNTO A CARRIL BICI,2,ARGANZUELA,26,PALOS DE MOGUER,OPERATIVO,GLORIETA SANTA MARIA DE LA CABEZA 2
175640,SITUADO APARCABICICLETAS - ESCUELA INFANTIL EL ALBA,2,ARGANZUELA,22,ACACIAS,OPERATIVO,CALLE TOLEDO 181
175788,SITUADO APARCABICICLETAS - I.E.S. GRAN CAPITAN,2,ARGANZUELA,21,IMPERIAL,OPERATIVO,PASEO MELANCOLICOS 51
176608,SITUADO APARCABICICLETAS - POLIDEPORTIVO MPAL GALLUR,10,LATINA,101,LOS CARMENES,OPERATIVO,CALLE GALLUR 1
176854,SITUADO APARCABICICLETAS - POLIDEPORTIVO GALLUR,10,LATINA,101,LOS CARMENES,OPERATIVO,CALLE GALLUR 2
177370,SITUADO APARCABICICLETAS - CENTRO CULTURAL SARA MONTIEL,10,LATINA,105,CAMPAMENTO,OPERATIVO,CARRETERA BOADILLA DEL MONTE 40
178375,SITUADO APARCABICICLETAS - CENTRO CULTURAL JOSE LUIS SAMPREDO,10,LATINA,103,LUCERO,OPERATIVO,CALLE CASTROSERNA 4
179215,SITUADO APARCABICICLETAS - CENTRO CONCERTADO COLEGIO LOURDES,10,LATINA,103,LUCERO,OPERATIVO,CALLE SAN ROBERTO 8
179635,SITUADO APARCABICICLETAS - C/SAN LEON 3,10,LATINA,103,LUCERO,OPERATIVO,CALLE SAN JUAN DE MATA 21
181120,SITUADO APARCABICICLETAS - C.P SAN JOSE DE CALASANZ,10,LATINA,102,PUERTA DEL ANGEL,OPERATIVO,CALLE MARIA DEL CARMEN 62
181202,SITUADO APARCABICICLETAS - CENTRO COMERCIAL LA ERMITA,10,LATINA,101,LOS CARMENES,OPERATIVO,PASEO ERMITA DEL SANTO 66
182236,SITUADO APARCABICICLETAS - COLEGIO PUBLICO BOLIVIA,10,LATINA,103,LUCERO,OPERATIVO,CALLE VILLAVALIENTE 29
182617,SITUADO APARCABICICLETAS - COLEGIO DIVINO MAESTRO,10,LATINA,103,LUCERO,OPERATIVO,PASEO EXTREMADURA 165
182945,Situado Aparcabicicletas FRENTE AL PARQUE CARAMUEL (Cerca de la cancha),10,LATINA,102,PUERTA DEL ANGEL,OPERATIVO,CALLE CARAMUEL 58
184345,SITUADO APARCABICICLETAS - SALA DE LECTURA JUNTA MUNICIPAL DE LATINA,10,LATINA,102,PUERTA DEL ANGEL,OPERATIVO,PASEO EXTREMADURA 128
186568,SITUADO APARCABICICLETAS - C.P. FERNANDEZ MORATIN,9,MONCLOA-ARAVACA,91,CASA DE CAMPO,OPERATIVO,AVENIDA VALLADOLID 2
186977,SITUADO APARCABICICLETAS - CENTRO DEPORTIVO MUNICIPAL JOSE MARIA CAGIGAL,9,MONCLOA-ARAVACA,91,CASA DE CAMPO,OPERATIVO,CALLE SANTA FE 4
187018,SITUADO APARCABICICLETAS - CENTRO DEPORTIVO MUNICIPAL LA BOMBILLA,9,MONCLOA-ARAVACA,91,CASA DE CAMPO,OPERATIVO,CALLE SENDA DEL REY 8
190946,SITUADO APARCABICICLETAS - ESTACION DE CERCANIAS ARAVACA ( C/ DE LA GOLONDRINA 104),9,MONCLOA-ARAVACA,97,ARAVACA,OPERATIVO,CALLE GOLONDRINA 104
191467,Situado Aparcabicicletas ESTACIÓN DE CERCANÍAS ARAVACA ( C/ de la golondrina cv C/Rosas de Aravaca),9,MONCLOA-ARAVACA,97,ARAVACA,OPERATIVO,CALLE GOLONDRINA 104
193973,SITUADO APARCABICICLETAS - GLORIETA DE ROCIO DURCAL,9,MONCLOA-ARAVACA,93,CIUDAD UNIVERSITARIA,OPERATIVO,AVENIDA PABLO IGLESIAS 93
194340,SITUADO APARCABICICLETAS - CENTRO CULTURAL JUAN GRIS,9,MONCLOA-ARAVACA,94,VALDEZARZA,OPERATIVO,CALLE FRANCOS RODRIGUEZ 100
194451,SITUADO APARCABICICLETAS - C.P ANDRES MANJON,9,MONCLOA-ARAVACA,93,CIUDAD UNIVERSITARIA,OPERATIVO,CALLE MARIA AUXILIADORA 2
196061,SITUADO APARCABICICLETAS - PUENTE DE SAN FERNANDO,9,MONCLOA-ARAVACA,93,CIUDAD UNIVERSITARIA,OPERATIVO,CARRETERA EL PARDO 19
201810,SITUADO APARCABICICLETAS - ESTACION CERCANIAS EL BARRIAL,9,MONCLOA-ARAVACA,96,EL PLANTIO,OPERATIVO,CALLE RAFAEL BOTI 64
205202,SITUADO APARCABICICLETAS - INSTALACION DEPORTIVA VEREDA DE GANAPANES,8,FUENCARRAL-EL PARDO,84,EL PILAR,OPERATIVO,CALLE BECERREA 4
205468,SITUADO APARCABICICLETAS - CENTRO EDUCACION PRIMARIA GUATEMALA,8,FUENCARRAL-EL PARDO,84,EL PILAR,OPERATIVO,CALLE CELANOVA 2
205615,SITUADO APARCABICICLETAS - INSTALACION DEPORTIVA LA CABRERA,8,FUENCARRAL-EL PARDO,83,PEÑA GRANDE,OPERATIVO,CALLE LA CABRERA 33
205792,SITUADO APARCABICICLETAS - C.P FEDERICO GARCIA LORCA,8,FUENCARRAL-EL PARDO,84,EL PILAR,OPERATIVO,CALLE RIBADAVIA 20
207288,SITUADO APARCABICICLETAS - I.E.S GREGORIO MARAÑON,8,FUENCARRAL-EL PARDO,84,EL PILAR,OPERATIVO,AVENIDA EL FERROL 43
207342,SITUADO APARCABICICLETAS - CUATRO TORRES BUSINESS AREA,8,FUENCARRAL-EL PARDO,85,LA PAZ,OPERATIVO,CALLE SINESIO DELGADO 2
207485,SITUADO APARCABICICLETAS - C.P LUIS DE GONGORA,8,FUENCARRAL-EL PARDO,84,EL PILAR,OPERATIVO,CALLE SARRIA 49
208440,SITUADO APARCABICICLETAS - C.P. BREOGAN,8,FUENCARRAL-EL PARDO,85,LA PAZ,OPERATIVO,CALLE GINZO DE LIMIA 2
209788,SITUADO APARCABICICLETAS - INST. DEPORTIVA BASICA ISLA DE TABARCA,8,FUENCARRAL-EL PARDO,83,PEÑA GRANDE,OPERATIVO,CALLE SANTIAGO DE COMPOSTELA 104
211592,SITUADO APARCABICICLETAS - PARQUE DEL POBLADO SAN FRANCISCO,8,FUENCARRAL-EL PARDO,82,FUENTELARREINA,OPERATIVO,CALLE FRESNEDILLAS 
211608,SITUADO APARCABICICLETAS - POLIDEPORTIVO VICENTE DEL BOSQUE,8,FUENCARRAL-EL PARDO,85,LA PAZ,OPERATIVO,AVENIDA MONFORTE DE LEMOS 13
212414,SITUADO APARCABICICLETAS - IES PRINCIPE FELIPE,8,FUENCARRAL-EL PARDO,85,LA PAZ,OPERATIVO,AVENIDA MONFORTE DE LEMOS 28
212758,SITUADO APARCABICICLETAS - COLEGIO BRAVO MURILLO,8,FUENCARRAL-EL PARDO,83,PEÑA GRANDE,OPERATIVO,CALLE FERMIN CABALLERO 82
214609,SITUADO APARCABICICLETAS - COLEGIO LA SALLE,8,FUENCARRAL-EL PARDO,83,PEÑA GRANDE,OPERATIVO,CALLE ISLA DE AROSA 47
214877,SITUADO APARCABICICLETAS - COLEGIO PUBLICO ALHAMBRA,8,FUENCARRAL-EL PARDO,83,PEÑA GRANDE,OPERATIVO,CALLE RAMON GOMEZ DE LA SERNA 103
214966,SITUADO APARCABICICLETAS - C.P. CARDENAL HERRERA ORIA,8,FUENCARRAL-EL PARDO,84,EL PILAR,OPERATIVO,CALLE FERMIN CABALLERO 68
215420,SITUADO APARCABICICLETAS - CASA DE NIÑOS ARROYOFRESNO,8,FUENCARRAL-EL PARDO,83,PEÑA GRANDE,OPERATIVO,PLAZA PICO SALVAGUARDIA 8
215681,SITUADO APARCABICICLETAS - PARROQUIA DE SANTA MARIA DE LA ESPERANZA,8,FUENCARRAL-EL PARDO,84,EL PILAR,OPERATIVO,CALLE GINZO DE LIMIA 47
215745,SITUADO APARCABICICLETAS - POLIDEPORTIVO LA MASO,8,FUENCARRAL-EL PARDO,87,MIRASIERRA,OPERATIVO,AVENIDA VENTISQUERO DE LA CONDESA 2
216205,"SITUADO APARCABICICLETAS - BARRIO DE ARGENTINA, FRENTE A LA CANCHA",8,FUENCARRAL-EL PARDO,83,PEÑA GRANDE,OPERATIVO,CALLE ROSALIA DE CASTRO 69
216640,SITUADO APARCABICICLETAS - INS.DEP/METRO LACOMA,8,FUENCARRAL-EL PARDO,83,PEÑA GRANDE,OPERATIVO,CALLE RISCOS DE POLANCO 3
216786,SITUADO APARCABICICLETAS - C.E.I.P. LORENZO LUZURIAGA,8,FUENCARRAL-EL PARDO,85,LA PAZ,OPERATIVO,CALLE VALENCIA DE DON JUAN 4
216969,SITUADO APARCABICICLETAS - C.P. ENRIQUE GRANADOS,8,FUENCARRAL-EL PARDO,86,VALVERDE,OPERATIVO,CALLE VIRGEN DE ARANZAZU 5
217387,SITUADO APARCABICICLETAS - INSTALACION DEPORTIVA MIRADOR DE LA REINA,8,FUENCARRAL-EL PARDO,87,MIRASIERRA,OPERATIVO,CALLE CERRO MINGUETE 156
217414,SITUADO APARCABICICLETAS - COLEGIO FOMENTO MONTEALTO,8,FUENCARRAL-EL PARDO,87,MIRASIERRA,OPERATIVO,CALLE LA MASO 76
217460,SITUADO APARCABICICLETAS - IES DAMASO ALONSO,8,FUENCARRAL-EL PARDO,85,LA PAZ,OPERATIVO,CALLE ALFREDO MARQUERIE 21
217575,SITUADO APARCABICICLETAS - BIBLIOTECA PUBLICA RAFAEL ALBERTI,8,FUENCARRAL-EL PARDO,85,LA PAZ,OPERATIVO,CALLE SANGENJO 38
217666,SITUADO APARCABICICLETAS - CERCANIAS RAMON Y CAJAL,8,FUENCARRAL-EL PARDO,86,VALVERDE,OPERATIVO,CALLE FRANCISCO SANCHA 44
217909,SITUADO APARCABICICLETAS - POLIGONO INDUSTRIAL DE FUENCARRAL,8,FUENCARRAL-EL PARDO,86,VALVERDE,OPERATIVO,CALLE LABASTIDA 1
218442,SITUADO APARCABICICLETAS - CENTRO CULTURAL ALFREDO KRAUS,8,FUENCARRAL-EL PARDO,87,MIRASIERRA,OPERATIVO,GLORIETA PRADERA DE VAQUERIZAS 9
218669,SITUADO APARCABICICLETAS - COLEGIO MIRASIERRA,8,FUENCARRAL-EL PARDO,87,MIRASIERRA,OPERATIVO,CALLE LA MASO 22
219187,SITUADO APARCABICICLETAS - ANILLO VERDE CICLISTA (PARQUE ARROYO FRESNO),8,FUENCARRAL-EL PARDO,87,MIRASIERRA,OPERATIVO,CALLE SENDA DEL INFANTE 36
220887,SITUADO APARCABICICLETAS - COLEGIO EDUCACION ESPECIAL FRANCISCO DEL POZO,8,FUENCARRAL-EL PARDO,86,VALVERDE,OPERATIVO,CALLEJON DOMINE 6
221789,SITUADO APARCABICICLETAS - ARROYOFRESNO M-612 ACCESO M-40,8,FUENCARRAL-EL PARDO,87,MIRASIERRA,OPERATIVO,CALLE LEONOR LOPEZ DE CORDOBA 2
222575,SITUADO APARCABICICLETAS - COLEGIO PUBLICO VASCO NUÑEZ DE BALBOA,8,FUENCARRAL-EL PARDO,86,VALVERDE,OPERATIVO,CALLE NUESTRA SEÐORA DE VALVERDE 149
222596,SITUADO APARCABICICLETAS - INSTALACION DEPORTIVA MUNICIPAL BASICA MONTECARMELO,8,FUENCARRAL-EL PARDO,87,MIRASIERRA,OPERATIVO,CALLE MONASTERIO DE EL PAULAR 45
223050,SITUADO APARCABICICLETAS - INSTALACION DEPORTIVA BASICA TRES OLIVOS,8,FUENCARRAL-EL PARDO,86,VALVERDE,OPERATIVO,CALLE ROCINANTE 15
223230,SITUADO APARCABICICLETAS - ANILLO VERDE CICLISTA (AVDA STO DOMINGO DE LA CALZADA 1),8,FUENCARRAL-EL PARDO,86,VALVERDE,OPERATIVO,AVENIDA SANTO DOMINGO DE LA CALZADA 1
223251,SITUADO APARCABICICLETAS - ANILLO VERDE CICLISTA (AVDA STO DOMINGO DE LA CALZADA 1),8,FUENCARRAL-EL PARDO,86,VALVERDE,OPERATIVO,AVENIDA SANTO DOMINGO DE LA CALZADA 1
223280,SITUADO APARCABICICLETAS - ANILLO VERDE CICLISTA (AVDA STO DOMINGO DE LA CALZADA 1),8,FUENCARRAL-EL PARDO,86,VALVERDE,OPERATIVO,AVENIDA SANTO DOMINGO DE LA CALZADA 1
223286,SITUADO APARCABICICLETAS - ANILLO VERDE CICLISTA (C/ PALAS DEL REY 4),8,FUENCARRAL-EL PARDO,86,VALVERDE,OPERATIVO,CALLE PALAS DE REY 4
223776,SITUADO APARCABICICLETAS - ANILLO VERDE CICLISTA (AVDA MONASTERIO DEL ESCORIAL 3),8,FUENCARRAL-EL PARDO,88,EL GOLOSO,OPERATIVO,AVENIDA MONASTERIO DE EL ESCORIAL 3
224147,SITUADO APARCABICICLETAS - ANILLO VERDE CICLISTA (C/ NTRA SRA DE VALVERDE 225),8,FUENCARRAL-EL PARDO,86,VALVERDE,OPERATIVO,CALLE NUESTRA SEÑORA DE VALVERDE 225
224514,SITUADO APARCABICICLETAS - ANILLO VERDE CICLISTA (AUTOVIA M-40),8,FUENCARRAL-EL PARDO,88,EL GOLOSO,OPERATIVO,AUTOVIA M-40 5650
